,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737112955000,,0.0,,,,,,
1737112960000,0.0,0.0,,,,,,
1737112965000,68.7833333333,67.6,,,,,,
1737112970000,294.8666666666,290.3333333333,,,,,,
1737112975000,1550.3833333332998,1515.6833333332997,,,,,,
1737112980000,6753.683333329999,6722.95,,,,,,
1737112985000,6904.78333333,6875.15,,,,,,
1737112990000,9936.33333333,9895.91666666,,,,,,
1737112995000,12472.366666659998,12424.85,,,,,,
1737113000000,14773.85,14712.06666666,,,,,,
1737113005000,14962.16666666,14712.06666666,,,,,,
1737113010000,17669.233333329998,17598.566666659997,,,,,,
1737113015000,17669.233333329998,17598.566666659997,,,,,,
1737113020000,21094.733333329998,21028.61666666,,,,,,
1737113025000,21025.95,20961.016666659998,,,,,,
1737113030000,23252.266666659998,23253.2,,,,,,
1737113035000,22867.25,22760.61666666,,,,,,
1737113040000,18066.08333333,18150.18333333,,,,,,
1737113045000,20775.55,20637.25,,,,,,
1737113050000,17744.0,17616.483333329998,,,,,,
1737113055000,16694.53333333,16641.46666666,,,,,,
1737113060000,15736.15,15657.25,,,,,,
1737113065000,15547.83333333,15657.25,,,,,,
1737113070000,15834.16666666,15833.65,,,,,,
1737113075000,20084.13333333,20105.91666666,,,,,,
1737113080000,21579.95,21435.88333333,,,,,,
1737113085000,25228.71666666,25177.95,,,,,,
1737113090000,27063.45,26984.066666659997,,,,,,
1737113095000,30391.45,30277.4,,,,,,
