,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1737078390000,0.0
1737078395000,0.0
1737078400000,0.0
1737078405000,9.0
1737078410000,76.0
1737078415000,80.0
1737078420000,100.0
1737078425000,86.0
1737078430000,74.0
1737078435000,64.0
1737078440000,63.0
1737078445000,60.0
1737078450000,54.0
1737078455000,50.0
1737078460000,49.0
1737078465000,50.0
1737078470000,33.0
1737078475000,25.0
1737078480000,11.0
1737078485000,9.0
1737078490000,11.0
1737078495000,11.0
1737078500000,7.0
1737078505000,5.0
1737078510000,8.0
1737078515000,8.0
1737078520000,8.0
1737078525000,6.0
1737078530000,7.0
1737078535000,7.0
1737078540000,7.0
1737078545000,8.0
1737078550000,10.0
1737078555000,11.0
1737078560000,10.0
1737078565000,10.0
1737078570000,7.0
1737078575000,7.0
1737078580000,7.0
1737078585000,7.0
1737078590000,5.0
1737078595000,5.0
1737078600000,7.0
1737078605000,5.0
1737078610000,2.0
1737078615000,1.0
1737078620000,1.0
1737078625000,2.0
1737078630000,2.0
1737078635000,
1737078655000,0.0
1737078660000,0.0
1737078665000,0.0
1737078670000,0.0
1737078675000,0.0
1737078680000,0.0
1737078685000,0.0
1737078690000,2.0
1737078695000,2.0
1737078700000,2.0
1737078705000,1.0
1737078710000,1.0
1737078715000,1.0
1737078720000,1.0
1737078725000,1.0
1737078730000,2.0
1737078735000,2.0
1737078740000,2.0
1737078745000,2.0
1737078750000,1.0
1737078755000,1.0
1737078760000,1.0
1737078765000,1.0
1737078770000,1.0
1737078775000,1.0
1737078780000,1.0
1737078785000,1.0
1737078790000,0.0
1737078795000,0.0
1737078800000,0.0
1737078805000,0.0
1737078810000,0.0
1737078815000,1.0
1737078820000,1.0
1737078825000,1.0
1737078830000,1.0
1737078835000,1.0
1737078840000,1.0
1737078845000,1.0
1737078850000,1.0
1737078855000,1.0
1737078860000,1.0
1737078865000,1.0
1737078870000,1.0
1737078875000,0.0
1737078880000,0.0
1737078885000,0.0
1737078890000,0.0
1737078895000,0.0
1737078900000,0.0
1737078905000,0.0
1737078910000,1.0
1737078915000,
1737078960000,0.0
1737078965000,0.0
1737078970000,0.0
1737078975000,64.0
1737078980000,298.0
1737078985000,438.0
1737078990000,532.0
1737078995000,598.0
1737079000000,1000.0
1737079005000,1000.0
1737079010000,1000.0
1737079015000,1000.0
1737079020000,1000.0
1737079025000,1000.0
1737079030000,1000.0
1737079035000,1000.0
1737079040000,1000.0
1737079045000,1000.0
1737079050000,929.0
1737079055000,846.0
1737079060000,418.0
1737079065000,361.0
1737079070000,311.0
1737079075000,192.0
1737079080000,166.0
1737079085000,134.0
1737079090000,81.0
1737079095000,27.0
1737079100000,6.0
1737079105000,6.0
1737079110000,5.0
1737079115000,5.0
1737079120000,6.0
1737079125000,5.0
1737079130000,6.0
1737079135000,6.0
1737079140000,5.0
1737079145000,5.0
1737079150000,5.0
1737079155000,4.0
1737079160000,2.0
1737079165000,2.0
1737079170000,5.0
1737079175000,5.0
1737079180000,3.0
1737079185000,3.0
1737079190000,2.0
1737079195000,2.0
1737079200000,2.0
1737079205000,2.0
1737079210000,
1737079265000,0.0
1737079270000,0.0
1737079275000,0.0
1737079280000,190.0
1737079285000,392.0
1737079290000,828.0
1737079295000,856.0
1737079300000,877.0
1737079305000,1000.0
1737079310000,1000.0
1737079315000,1000.0
1737079320000,1000.0
1737079325000,1000.0
1737079330000,1000.0
1737079335000,1000.0
1737079340000,1000.0
1737079345000,1000.0
1737079350000,1000.0
1737079355000,998.0
1737079360000,927.0
1737079365000,684.0
1737079370000,607.0
1737079375000,545.0
1737079380000,468.0
1737079385000,269.0
1737079390000,201.0
1737079395000,152.0
1737079400000,100.0
1737079405000,110.0
1737079410000,136.0
1737079415000,170.0
1737079420000,178.0
1737079425000,168.0
1737079430000,192.0
1737079435000,203.0
1737079440000,213.0
1737079445000,231.0
1737079450000,278.0
1737079455000,279.0
1737079460000,273.0
1737079465000,247.0
1737079470000,246.0
1737079475000,253.0
1737079480000,238.0
1737079485000,252.0
1737079490000,227.0
1737079495000,228.0
1737079500000,217.0
1737079505000,199.0
1737079510000,
