,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737079605000,-9.223372036854775e+18
1737079610000,-9.223372036854775e+18
1737079615000,-9.223372036854775e+18
1737079620000,-9.223372036854775e+18
1737079625000,-9.223372036854775e+18
1737079630000,-9.223372036854775e+18
1737079635000,-9.223372036854775e+18
1737079640000,-9.223372036854775e+18
1737079645000,-9.223372036854775e+18
1737079650000,-9.223372036854775e+18
1737079655000,-9.223372036854775e+18
1737079660000,-9.223372036854775e+18
1737079665000,-9.223372036854775e+18
1737079670000,-9.223372036854775e+18
1737079675000,-9.223372036854775e+18
1737079680000,-9.223372036854775e+18
1737079685000,-9.223372036854775e+18
1737079690000,-9.223372036854775e+18
1737079695000,-9.223372036854775e+18
1737079700000,-9.223372036854775e+18
1737079705000,-9.223372036854775e+18
1737079710000,-9.223372036854775e+18
1737079715000,-9.223372036854775e+18
1737079720000,-9.223372036854775e+18
1737079725000,-9.223372036854775e+18
1737079730000,-9.223372036854775e+18
1737079735000,-9.223372036854775e+18
1737079740000,-9.223372036854775e+18
1737079745000,-9.223372036854775e+18
1737079750000,-9.223372036854775e+18
1737079755000,-9.223372036854775e+18
1737079760000,-9.223372036854775e+18
1737079765000,-9.223372036854775e+18
1737079770000,-9.223372036854775e+18
1737079775000,-9.223372036854775e+18
1737079780000,-9.223372036854775e+18
1737079785000,-9.223372036854775e+18
1737079790000,-9.223372036854775e+18
1737079795000,-9.223372036854775e+18
1737079800000,-9.223372036854775e+18
1737079805000,-9.223372036854775e+18
1737079810000,-9.223372036854775e+18
1737079815000,-9.223372036854775e+18
1737079820000,-9.223372036854775e+18
1737079825000,-9.223372036854775e+18
1737079830000,-9.223372036854775e+18
1737079835000,-9.223372036854775e+18
1737079840000,-9.223372036854775e+18
1737079845000,
1737079875000,-9.223372036854776e+18
1737079880000,-9.223372036854776e+18
1737079885000,-9.223372036854776e+18
1737079890000,-9.223372036854776e+18
1737079895000,-9.223372036854776e+18
1737079900000,-9.223372036854776e+18
1737079905000,-9.223372036854776e+18
1737079910000,-9.223372036854776e+18
1737079915000,-9.223372036854776e+18
1737079920000,-9.223372036854776e+18
1737079925000,-9.223372036854776e+18
1737079930000,-9.223372036854776e+18
1737079935000,-9.223372036854776e+18
1737079940000,-9.223372036854776e+18
1737079945000,-9.223372036854776e+18
