,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737118495000,-9.223372036854775e+18
1737118500000,-9.223372036854775e+18
1737118505000,-9.223372036854775e+18
1737118510000,-9.223372036854775e+18
1737118515000,-9.223372036854775e+18
1737118520000,-9.223372036854775e+18
1737118525000,-9.223372036854775e+18
1737118530000,-9.223372036854775e+18
1737118535000,-9.223372036854775e+18
1737118540000,-9.223372036854775e+18
1737118545000,-9.223372036854775e+18
1737118550000,-9.223372036854775e+18
1737118555000,-9.223372036854775e+18
1737118560000,-9.223372036854775e+18
1737118565000,-9.223372036854775e+18
1737118570000,-9.223372036854775e+18
1737118575000,-9.223372036854775e+18
1737118580000,-9.223372036854775e+18
1737118585000,-9.223372036854775e+18
1737118590000,-9.223372036854775e+18
1737118595000,-9.223372036854775e+18
1737118600000,-9.223372036854775e+18
1737118605000,-9.223372036854775e+18
1737118610000,-9.223372036854775e+18
1737118615000,-9.223372036854775e+18
1737118620000,-9.223372036854775e+18
1737118625000,-9.223372036854775e+18
1737118630000,-9.223372036854775e+18
1737118635000,-9.223372036854775e+18
1737118640000,-9.223372036854775e+18
1737118645000,-9.223372036854775e+18
1737118650000,-9.223372036854775e+18
1737118655000,-9.223372036854775e+18
1737118660000,-9.223372036854775e+18
1737118665000,-9.223372036854775e+18
1737118670000,-9.223372036854775e+18
1737118675000,-9.223372036854775e+18
1737118680000,-9.223372036854775e+18
1737118685000,-9.223372036854775e+18
1737118690000,-9.223372036854775e+18
1737118695000,-9.223372036854775e+18
1737118700000,-9.223372036854775e+18
1737118705000,-9.223372036854775e+18
1737118710000,-9.223372036854775e+18
1737118715000,-9.223372036854775e+18
1737118720000,-9.223372036854775e+18
1737118725000,-9.223372036854775e+18
1737118730000,-9.223372036854775e+18
1737118735000,-9.223372036854775e+18
1737118740000,
1737118765000,-9.223372036854775e+18
1737118770000,-9.223372036854775e+18
1737118775000,-9.223372036854775e+18
1737118780000,-9.223372036854775e+18
1737118785000,-9.223372036854775e+18
1737118790000,-9.223372036854775e+18
1737118795000,-9.223372036854775e+18
1737118800000,-9.223372036854775e+18
1737118805000,-9.223372036854775e+18
1737118810000,-9.223372036854775e+18
1737118815000,-9.223372036854775e+18
1737118820000,-9.223372036854775e+18
1737118825000,-9.223372036854775e+18
1737118830000,-9.223372036854775e+18
