,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1737118495000,0.0
1737118500000,0.0
1737118505000,0.0
1737118510000,0.0
1737118515000,0.0
1737118520000,64.0
1737118525000,102.0
1737118530000,130.0
1737118535000,163.0
1737118540000,169.0
1737118545000,156.0
1737118550000,141.0
1737118555000,130.0
1737118560000,130.0
1737118565000,130.0
1737118570000,130.0
1737118575000,130.0
1737118580000,104.0
1737118585000,79.0
1737118590000,55.0
1737118595000,22.0
1737118600000,3.0
1737118605000,1.0
1737118610000,2.0
1737118615000,2.0
1737118620000,2.0
1737118625000,3.0
1737118630000,3.0
1737118635000,4.0
1737118640000,3.0
1737118645000,3.0
1737118650000,3.0
1737118655000,3.0
1737118660000,3.0
1737118665000,3.0
1737118670000,2.0
1737118675000,2.0
1737118680000,2.0
1737118685000,1.0
1737118690000,1.0
1737118695000,0.0
1737118700000,0.0
1737118705000,0.0
1737118710000,0.0
1737118715000,0.0
1737118720000,0.0
1737118725000,0.0
1737118730000,0.0
1737118735000,0.0
1737118740000,
1737118765000,0.0
1737118770000,0.0
1737118775000,0.0
1737118780000,24.0
1737118785000,18.0
1737118790000,14.0
1737118795000,12.0
1737118800000,13.0
1737118805000,11.0
1737118810000,10.0
1737118815000,9.0
1737118820000,9.0
1737118825000,9.0
1737118830000,10.0
1737118835000,10.0
1737118840000,4.0
1737118845000,5.0
1737118850000,5.0
1737118855000,5.0
1737118860000,3.0
1737118865000,3.0
1737118870000,3.0
1737118875000,3.0
1737118880000,2.0
1737118885000,3.0
1737118890000,2.0
1737118895000,3.0
1737118900000,5.0
1737118905000,3.0
1737118910000,3.0
1737118915000,3.0
1737118920000,3.0
1737118925000,3.0
1737118930000,3.0
1737118935000,3.0
1737118940000,3.0
1737118945000,2.0
1737118950000,3.0
1737118955000,2.0
1737118960000,1.0
1737118965000,1.0
1737118970000,3.0
1737118975000,3.0
1737118980000,5.0
1737118985000,5.0
1737118990000,5.0
1737118995000,5.0
1737119000000,5.0
1737119005000,5.0
1737119010000,5.0
1737119015000,5.0
1737119020000,
1737119075000,0.0
1737119080000,0.0
1737119085000,1.0
1737119090000,0.0
1737119095000,76.0
1737119100000,307.0
1737119105000,445.0
1737119110000,
1737119125000,0.0
1737119130000,0.0
1737119135000,231.0
1737119140000,726.0
1737119145000,549.0
1737119150000,677.0
1737119155000,765.0
1737119160000,693.0
1737119165000,677.0
1737119170000,717.0
1737119175000,816.0
1737119180000,761.0
1737119185000,701.0
1737119190000,643.0
1737119195000,626.0
1737119200000,524.0
1737119205000,508.0
1737119210000,420.0
1737119215000,328.0
1737119220000,307.0
1737119225000,260.0
1737119230000,187.0
1737119235000,62.0
1737119240000,54.0
1737119245000,46.0
1737119250000,45.0
1737119255000,43.0
1737119260000,43.0
1737119265000,56.0
1737119270000,59.0
1737119275000,58.0
1737119280000,51.0
1737119285000,50.0
1737119290000,40.0
1737119295000,31.0
1737119300000,16.0
1737119305000,16.0
1737119310000,19.0
1737119315000,19.0
1737119320000,19.0
1737119325000,7.0
1737119330000,3.0
1737119335000,
1737119380000,0.0
1737119385000,0.0
1737119390000,0.0
1737119395000,0.0
1737119400000,0.0
1737119405000,67.0
1737119410000,254.0
1737119415000,378.0
1737119420000,
1737119430000,0.0
1737119435000,0.0
1737119440000,5.0
1737119445000,729.0
1737119450000,729.0
1737119455000,672.0
1737119460000,738.0
1737119465000,934.0
1737119470000,890.0
1737119475000,875.0
1737119480000,859.0
1737119485000,879.0
1737119490000,879.0
1737119495000,846.0
1737119500000,877.0
1737119505000,807.0
1737119510000,708.0
1737119515000,586.0
1737119520000,586.0
1737119525000,426.0
1737119530000,374.0
1737119535000,249.0
1737119540000,139.0
1737119545000,139.0
1737119550000,47.0
1737119555000,47.0
1737119560000,15.0
1737119565000,10.0
1737119570000,10.0
1737119575000,7.0
1737119580000,7.0
1737119585000,17.0
1737119590000,17.0
1737119595000,17.0
1737119600000,17.0
1737119605000,17.0
1737119610000,19.0
1737119615000,19.0
1737119620000,20.0
1737119625000,
