,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1737102315000,0.0
1737102320000,0.0
1737102325000,0.0
1737102330000,0.0
1737102335000,0.0
1737102340000,0.0
1737102345000,0.0
1737102350000,0.0
1737102355000,0.0
1737102360000,27.0
1737102365000,24.0
1737102370000,29.0
1737102375000,26.0
1737102380000,24.0
1737102385000,24.0
1737102390000,24.0
1737102395000,24.0
1737102400000,24.0
1737102405000,24.0
1737102410000,24.0
1737102415000,24.0
1737102420000,6.0
1737102425000,6.0
1737102430000,0.0
1737102435000,0.0
1737102440000,0.0
1737102445000,1.0
1737102450000,1.0
1737102455000,1.0
1737102460000,1.0
1737102465000,1.0
1737102470000,2.0
1737102475000,2.0
1737102480000,2.0
1737102485000,2.0
1737102490000,2.0
1737102495000,2.0
1737102500000,2.0
1737102505000,1.0
1737102510000,1.0
1737102515000,1.0
1737102520000,1.0
1737102525000,1.0
1737102530000,0.0
1737102535000,1.0
1737102540000,1.0
1737102545000,1.0
1737102550000,1.0
1737102555000,
1737102585000,0.0
1737102590000,0.0
1737102595000,0.0
1737102600000,0.0
1737102605000,0.0
1737102610000,0.0
1737102615000,4.0
1737102620000,20.0
1737102625000,19.0
1737102630000,19.0
1737102635000,17.0
1737102640000,16.0
1737102645000,14.0
1737102650000,14.0
1737102655000,15.0
1737102660000,15.0
1737102665000,15.0
1737102670000,15.0
1737102675000,12.0
1737102680000,3.0
1737102685000,2.0
1737102690000,1.0
1737102695000,1.0
1737102700000,1.0
1737102705000,1.0
1737102710000,1.0
1737102715000,0.0
1737102720000,0.0
1737102725000,0.0
1737102730000,0.0
1737102735000,0.0
1737102740000,0.0
1737102745000,0.0
1737102750000,0.0
1737102755000,0.0
1737102760000,0.0
1737102765000,0.0
1737102770000,0.0
1737102775000,0.0
1737102780000,0.0
1737102785000,0.0
1737102790000,0.0
1737102795000,0.0
1737102800000,0.0
1737102805000,0.0
1737102810000,0.0
1737102815000,0.0
1737102820000,0.0
1737102825000,1.0
1737102830000,1.0
1737102835000,1.0
1737102840000,
1737102865000,0.0
1737102870000,0.0
1737102875000,0.0
1737102880000,0.0
1737102885000,0.0
1737102890000,0.0
1737102895000,0.0
1737102900000,0.0
1737102905000,0.0
1737102910000,0.0
1737102915000,0.0
1737102920000,2.0
1737102925000,2.0
1737102930000,3.0
1737102935000,3.0
1737102940000,3.0
1737102945000,3.0
1737102950000,3.0
1737102955000,3.0
1737102960000,3.0
1737102965000,3.0
1737102970000,3.0
1737102975000,3.0
1737102980000,2.0
1737102985000,2.0
1737102990000,0.0
1737102995000,0.0
1737103000000,0.0
1737103005000,0.0
1737103010000,0.0
1737103015000,0.0
1737103020000,0.0
1737103025000,0.0
1737103030000,0.0
1737103035000,0.0
1737103040000,0.0
1737103045000,0.0
1737103050000,0.0
1737103055000,0.0
1737103060000,0.0
1737103065000,0.0
1737103070000,0.0
1737103075000,0.0
1737103080000,0.0
1737103085000,0.0
1737103090000,0.0
1737103095000,0.0
1737103100000,0.0
1737103105000,0.0
1737103110000,0.0
1737103115000,0.0
1737103120000,
1737103145000,0.0
1737103150000,0.0
1737103155000,0.0
1737103160000,1.0
1737103165000,1.0
1737103170000,5.0
1737103175000,4.0
1737103180000,3.0
1737103185000,2.0
1737103190000,2.0
1737103195000,2.0
1737103200000,2.0
1737103205000,1.0
1737103210000,1.0
1737103215000,1.0
1737103220000,1.0
1737103225000,1.0
1737103230000,0.0
1737103235000,0.0
1737103240000,0.0
1737103245000,0.0
1737103250000,0.0
1737103255000,0.0
1737103260000,0.0
1737103265000,0.0
1737103270000,0.0
1737103275000,0.0
1737103280000,0.0
1737103285000,0.0
1737103290000,0.0
1737103295000,0.0
1737103300000,0.0
1737103305000,0.0
1737103310000,0.0
1737103315000,0.0
1737103320000,0.0
1737103325000,0.0
1737103330000,0.0
1737103335000,0.0
1737103340000,0.0
1737103345000,0.0
1737103350000,0.0
1737103355000,0.0
1737103360000,0.0
1737103365000,0.0
1737103370000,1.0
1737103375000,1.0
1737103380000,2.0
1737103385000,1.0
1737103390000,
