,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737107035000,-9.223372036854775e+18
1737107040000,-9.223372036854775e+18
1737107045000,-9.223372036854775e+18
1737107050000,-9.223372036854775e+18
1737107055000,-9.223372036854775e+18
1737107060000,-9.223372036854775e+18
1737107065000,-9.223372036854775e+18
1737107070000,-9.223372036854775e+18
1737107075000,-9.223372036854775e+18
1737107080000,-9.223372036854775e+18
1737107085000,-9.223372036854775e+18
1737107090000,-9.223372036854775e+18
1737107095000,-9.223372036854775e+18
1737107100000,-9.223372036854775e+18
1737107105000,-9.223372036854775e+18
1737107110000,-9.223372036854775e+18
1737107115000,-9.223372036854775e+18
1737107120000,-9.223372036854775e+18
1737107125000,-9.223372036854775e+18
1737107130000,-9.223372036854775e+18
1737107135000,-9.223372036854775e+18
1737107140000,-9.223372036854775e+18
1737107145000,-9.223372036854775e+18
1737107150000,-9.223372036854775e+18
1737107155000,-9.223372036854775e+18
1737107160000,-9.223372036854775e+18
1737107165000,-9.223372036854775e+18
1737107170000,-9.223372036854775e+18
1737107175000,-9.223372036854775e+18
1737107180000,-9.223372036854775e+18
1737107185000,-9.223372036854775e+18
1737107190000,-9.223372036854775e+18
1737107195000,-9.223372036854775e+18
1737107200000,-9.223372036854775e+18
1737107205000,-9.223372036854775e+18
1737107210000,-9.223372036854775e+18
1737107215000,-9.223372036854775e+18
1737107220000,-9.223372036854775e+18
1737107225000,-9.223372036854775e+18
1737107230000,-9.223372036854775e+18
1737107235000,-9.223372036854775e+18
1737107240000,-9.223372036854775e+18
1737107245000,-9.223372036854775e+18
1737107250000,-9.223372036854775e+18
1737107255000,-9.223372036854775e+18
1737107260000,-9.223372036854775e+18
1737107265000,-9.223372036854775e+18
1737107270000,-9.223372036854775e+18
1737107275000,
1737107295000,-9.223372036854776e+18
1737107300000,-9.223372036854776e+18
1737107305000,-9.223372036854776e+18
1737107310000,-9.223372036854776e+18
1737107315000,-9.223372036854776e+18
1737107320000,-9.223372036854776e+18
1737107325000,-9.223372036854776e+18
1737107330000,-9.223372036854776e+18
1737107335000,-9.223372036854776e+18
1737107340000,-9.223372036854776e+18
1737107345000,-9.223372036854776e+18
1737107350000,-9.223372036854776e+18
1737107355000,-9.223372036854776e+18
1737107360000,-9.223372036854776e+18
1737107365000,-9.223372036854776e+18
