,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1736535305000,0.0
1736535310000,0.0
1736535315000,0.0
1736535320000,393.0
1736535325000,295.0
1736535330000,250.0
1736535335000,417.0
1736535340000,526.0
1736535345000,641.0
1736535350000,686.0
1736535355000,722.0
1736535360000,750.0
1736535365000,
1736535380000,0.0
1736535385000,0.0
1736535390000,246.0
1736535395000,444.0
1736535400000,583.0
1736535405000,875.0
1736535410000,894.0
1736535415000,909.0
1736535420000,1000.0
1736535425000,1000.0
1736535430000,
1736535450000,0.0
1736535455000,0.0
1736535460000,328.0
1736535465000,654.0
1736535470000,740.0
1736535475000,775.0
1736535480000,807.0
1736535485000,840.0
1736535490000,
1736535580000,0.0
1736535585000,43.0
1736535590000,295.0
1736535595000,197.0
1736535600000,288.0
1736535605000,434.0
1736535610000,520.0
1736535615000,581.0
1736535620000,621.0
1736535625000,689.0
1736535630000,716.0
1736535635000,742.0
1736535640000,896.0
1736535645000,972.0
1736535650000,1000.0
1736535655000,1000.0
1736535660000,1000.0
1736535665000,1000.0
1736535670000,1000.0
1736535675000,1000.0
1736535680000,1000.0
1736535685000,1000.0
1736535690000,1000.0
1736535695000,1000.0
1736535700000,1000.0
1736535705000,1000.0
1736535710000,1000.0
1736535715000,1000.0
1736535720000,1000.0
1736535725000,1000.0
1736535730000,1000.0
1736535735000,1000.0
1736535740000,1000.0
1736535745000,1000.0
1736535750000,1000.0
1736535755000,1000.0
1736535760000,
1736535855000,0.0
1736535860000,434.0
1736535865000,449.0
1736535870000,367.0
1736535875000,553.0
1736535880000,642.0
1736535885000,702.0
1736535890000,716.0
1736535895000,774.0
1736535900000,777.0
1736535905000,799.0
1736535910000,818.0
1736535915000,999.0
1736535920000,1000.0
1736535925000,1000.0
1736535930000,1000.0
1736535935000,1000.0
1736535940000,1000.0
1736535945000,1000.0
1736535950000,1000.0
1736535955000,1000.0
1736535960000,1000.0
1736535965000,1000.0
1736535970000,1000.0
1736535975000,1000.0
1736535980000,1000.0
1736535985000,1000.0
1736535990000,1000.0
1736535995000,1000.0
1736536000000,1000.0
1736536005000,1000.0
1736536010000,1000.0
1736536015000,1000.0
1736536020000,1000.0
1736536025000,1000.0
1736536030000,1000.0
1736536035000,
1736536130000,0.0
1736536135000,287.0
1736536140000,370.0
1736536145000,327.0
1736536150000,448.0
1736536155000,601.0
1736536160000,657.0
1736536165000,706.0
1736536170000,742.0
1736536175000,1000.0
1736536180000,1000.0
1736536185000,1000.0
1736536190000,1000.0
1736536195000,1000.0
1736536200000,1000.0
1736536205000,1000.0
1736536210000,1000.0
1736536215000,1000.0
1736536220000,1000.0
1736536225000,1000.0
1736536230000,1000.0
1736536235000,1000.0
1736536240000,1000.0
1736536245000,1000.0
1736536250000,1000.0
1736536255000,1000.0
1736536260000,1000.0
1736536265000,1000.0
1736536270000,1000.0
1736536275000,1000.0
1736536280000,1000.0
1736536285000,1000.0
1736536290000,1000.0
1736536295000,1000.0
1736536300000,1000.0
1736536305000,1000.0
1736536310000,
1736536410000,0.0
1736536415000,0.0
1736536420000,359.0
1736536425000,570.0
1736536430000,437.0
1736536435000,577.0
1736536440000,661.0
1736536445000,866.0
1736536450000,864.0
1736536455000,881.0
1736536460000,894.0
1736536465000,1000.0
1736536470000,1000.0
1736536475000,1000.0
1736536480000,1000.0
1736536485000,1000.0
1736536490000,1000.0
1736536495000,1000.0
1736536500000,1000.0
1736536505000,1000.0
1736536510000,1000.0
1736536515000,1000.0
1736536520000,1000.0
1736536525000,1000.0
1736536530000,1000.0
1736536535000,1000.0
1736536540000,1000.0
1736536545000,1000.0
1736536550000,1000.0
1736536555000,1000.0
1736536560000,1000.0
1736536565000,1000.0
1736536570000,1000.0
1736536575000,1000.0
1736536580000,1000.0
1736536585000,1000.0
1736536590000,1000.0
1736536595000,
1736536695000,0.0
1736536700000,67.0
1736536705000,331.0
1736536710000,221.0
1736536715000,309.0
1736536720000,420.0
1736536725000,517.0
1736536730000,721.0
1736536735000,746.0
1736536740000,774.0
1736536745000,797.0
1736536750000,815.0
1736536755000,1000.0
1736536760000,1000.0
1736536765000,1000.0
1736536770000,1000.0
1736536775000,1000.0
1736536780000,1000.0
1736536785000,1000.0
1736536790000,1000.0
1736536795000,1000.0
1736536800000,1000.0
1736536805000,1000.0
1736536810000,1000.0
1736536815000,1000.0
1736536820000,1000.0
1736536825000,1000.0
1736536830000,1000.0
1736536835000,1000.0
1736536840000,1000.0
1736536845000,1000.0
1736536850000,1000.0
1736536855000,1000.0
1736536860000,1000.0
1736536865000,1000.0
1736536870000,1000.0
1736536875000,
1736536970000,0.0
1736536975000,0.0
1736536980000,290.0
1736536985000,145.0
1736536990000,96.0
1736536995000,253.0
1736537000000,404.0
1736537005000,505.0
1736537010000,
1736537030000,0.0
1736537035000,744.0
1736537040000,1000.0
1736537045000,1000.0
1736537050000,
1736537070000,0.0
1736537075000,0.0
1736537080000,887.0
1736537085000,
1736537115000,0.0
1736537120000,0.0
1736537125000,930.0
1736537130000,892.0
1736537135000,
1736537240000,0.0
1736537245000,0.0
1736537250000,14.0
1736537255000,9.0
1736537260000,199.0
1736537265000,356.0
1736537270000,456.0
1736537275000,533.0
1736537280000,777.0
1736537285000,802.0
1736537290000,821.0
1736537295000,1000.0
1736537300000,1000.0
1736537305000,1000.0
1736537310000,1000.0
1736537315000,1000.0
1736537320000,1000.0
1736537325000,1000.0
1736537330000,1000.0
1736537335000,1000.0
1736537340000,1000.0
1736537345000,1000.0
1736537350000,1000.0
1736537355000,1000.0
1736537360000,1000.0
1736537365000,1000.0
1736537370000,1000.0
1736537375000,1000.0
1736537380000,1000.0
1736537385000,1000.0
1736537390000,1000.0
1736537395000,1000.0
1736537400000,1000.0
1736537405000,1000.0
1736537410000,1000.0
1736537415000,1000.0
1736537420000,1000.0
1736537425000,
1736537515000,0.0
1736537520000,0.0
1736537525000,17.0
1736537530000,11.0
1736537535000,79.0
1736537540000,310.0
1736537545000,421.0
1736537550000,503.0
1736537555000,668.0
1736537560000,694.0
1736537565000,724.0
1736537570000,749.0
1736537575000,928.0
1736537580000,1000.0
1736537585000,1000.0
1736537590000,1000.0
1736537595000,1000.0
1736537600000,1000.0
1736537605000,1000.0
1736537610000,1000.0
1736537615000,1000.0
1736537620000,1000.0
1736537625000,1000.0
1736537630000,1000.0
1736537635000,1000.0
1736537640000,1000.0
1736537645000,1000.0
1736537650000,1000.0
1736537655000,1000.0
1736537660000,1000.0
1736537665000,1000.0
1736537670000,1000.0
1736537675000,1000.0
1736537680000,1000.0
1736537685000,1000.0
1736537690000,1000.0
1736537695000,1000.0
1736537700000,
1736537800000,0.0
1736537805000,0.0
1736537810000,40.0
1736537815000,27.0
1736537820000,115.0
1736537825000,263.0
1736537830000,391.0
1736537835000,478.0
1736537840000,742.0
1736537845000,770.0
1736537850000,793.0
1736537855000,812.0
1736537860000,1000.0
1736537865000,1000.0
1736537870000,1000.0
1736537875000,1000.0
1736537880000,1000.0
1736537885000,1000.0
1736537890000,1000.0
1736537895000,1000.0
1736537900000,1000.0
1736537905000,1000.0
1736537910000,1000.0
1736537915000,1000.0
1736537920000,1000.0
1736537925000,1000.0
1736537930000,1000.0
1736537935000,1000.0
1736537940000,1000.0
1736537945000,1000.0
1736537950000,1000.0
1736537955000,1000.0
1736537960000,1000.0
1736537965000,1000.0
1736537970000,1000.0
1736537975000,1000.0
1736537980000,
1736538080000,0.0
1736538085000,0.0
1736538090000,29.0
1736538095000,19.0
1736538100000,14.0
1736538105000,135.0
1736538110000,269.0
1736538115000,373.0
1736538120000,633.0
1736538125000,674.0
1736538130000,707.0
1736538135000,939.0
1736538140000,933.0
1736538145000,1000.0
1736538150000,1000.0
1736538155000,1000.0
1736538160000,1000.0
1736538165000,1000.0
1736538170000,1000.0
1736538175000,1000.0
1736538180000,1000.0
1736538185000,1000.0
1736538190000,1000.0
1736538195000,1000.0
1736538200000,1000.0
1736538205000,1000.0
1736538210000,1000.0
1736538215000,1000.0
1736538220000,1000.0
1736538225000,1000.0
1736538230000,1000.0
1736538235000,1000.0
1736538240000,1000.0
1736538245000,1000.0
1736538250000,1000.0
1736538255000,1000.0
1736538260000,
1736538355000,0.0
1736538360000,0.0
1736538365000,0.0
1736538370000,0.0
1736538375000,0.0
1736538380000,0.0
1736538385000,0.0
1736538390000,141.0
1736538395000,263.0
1736538400000,355.0
1736538405000,427.0
1736538410000,865.0
1736538415000,884.0
1736538420000,894.0
1736538425000,1000.0
1736538430000,1000.0
1736538435000,1000.0
1736538440000,1000.0
1736538445000,1000.0
1736538450000,1000.0
1736538455000,1000.0
1736538460000,1000.0
1736538465000,1000.0
1736538470000,1000.0
1736538475000,1000.0
1736538480000,1000.0
1736538485000,1000.0
1736538490000,1000.0
1736538495000,1000.0
1736538500000,1000.0
1736538505000,1000.0
1736538510000,1000.0
1736538515000,1000.0
1736538520000,1000.0
1736538525000,1000.0
1736538530000,1000.0
1736538535000,1000.0
1736538540000,
1736538640000,0.0
1736538645000,0.0
1736538650000,0.0
1736538655000,0.0
1736538660000,0.0
1736538665000,244.0
1736538670000,395.0
1736538675000,496.0
1736538680000,
1736538700000,0.0
1736538705000,722.0
1736538710000,840.0
1736538715000,898.0
1736538720000,1000.0
1736538725000,1000.0
1736538730000,1000.0
1736538735000,
1736538750000,0.0
1736538755000,0.0
1736538760000,
1736538790000,0.0
1736538795000,0.0
1736538800000,1000.0
1736538805000,1000.0
1736538810000,1000.0
1736538815000,1000.0
1736538820000,1000.0
1736538825000,
1736538915000,0.0
1736538920000,0.0
1736538925000,0.0
1736538930000,0.0
1736538935000,185.0
1736538940000,395.0
1736538945000,516.0
1736538950000,773.0
1736538955000,805.0
1736538960000,1000.0
1736538965000,998.0
1736538970000,998.0
1736538975000,1000.0
1736538980000,1000.0
1736538985000,1000.0
1736538990000,1000.0
1736538995000,1000.0
1736539000000,1000.0
1736539005000,1000.0
1736539010000,1000.0
1736539015000,1000.0
1736539020000,1000.0
1736539025000,1000.0
1736539030000,1000.0
1736539035000,1000.0
1736539040000,1000.0
1736539045000,1000.0
1736539050000,1000.0
1736539055000,1000.0
1736539060000,1000.0
1736539065000,1000.0
1736539070000,1000.0
1736539075000,1000.0
1736539080000,1000.0
1736539085000,1000.0
1736539090000,1000.0
1736539095000,
1736539195000,0.0
1736539200000,0.0
1736539205000,18.0
1736539210000,9.0
1736539215000,181.0
1736539220000,370.0
1736539225000,491.0
1736539230000,693.0
1736539235000,737.0
1736539240000,770.0
1736539245000,1000.0
1736539250000,1000.0
1736539255000,1000.0
1736539260000,1000.0
1736539265000,1000.0
1736539270000,1000.0
1736539275000,1000.0
1736539280000,1000.0
1736539285000,1000.0
1736539290000,1000.0
1736539295000,1000.0
1736539300000,1000.0
1736539305000,1000.0
1736539310000,1000.0
1736539315000,1000.0
1736539320000,1000.0
1736539325000,1000.0
1736539330000,1000.0
1736539335000,1000.0
1736539340000,1000.0
1736539345000,1000.0
1736539350000,1000.0
1736539355000,1000.0
1736539360000,1000.0
1736539365000,1000.0
1736539370000,1000.0
1736539375000,1000.0
1736539380000,
1736539475000,0.0
1736539480000,0.0
1736539485000,0.0
1736539490000,0.0
1736539495000,95.0
1736539500000,388.0
1736539505000,581.0
1736539510000,649.0
1736539515000,699.0
1736539520000,850.0
1736539525000,854.0
1736539530000,869.0
1736539535000,1000.0
1736539540000,1000.0
1736539545000,1000.0
1736539550000,1000.0
1736539555000,1000.0
1736539560000,1000.0
1736539565000,1000.0
1736539570000,1000.0
1736539575000,1000.0
1736539580000,1000.0
1736539585000,1000.0
1736539590000,1000.0
1736539595000,1000.0
1736539600000,1000.0
1736539605000,1000.0
1736539610000,1000.0
1736539615000,1000.0
1736539620000,1000.0
1736539625000,1000.0
1736539630000,1000.0
1736539635000,1000.0
1736539640000,1000.0
1736539645000,1000.0
1736539650000,1000.0
1736539655000,
1736539750000,0.0
1736539755000,0.0
1736539760000,50.0
1736539765000,25.0
1736539770000,112.0
1736539775000,316.0
1736539780000,602.0
1736539785000,636.0
1736539790000,667.0
1736539795000,776.0
1736539800000,773.0
1736539805000,796.0
1736539810000,814.0
1736539815000,1000.0
1736539820000,1000.0
1736539825000,1000.0
1736539830000,1000.0
1736539835000,1000.0
1736539840000,1000.0
1736539845000,1000.0
1736539850000,1000.0
1736539855000,1000.0
1736539860000,1000.0
1736539865000,1000.0
1736539870000,1000.0
1736539875000,1000.0
1736539880000,1000.0
1736539885000,1000.0
1736539890000,1000.0
1736539895000,1000.0
1736539900000,1000.0
1736539905000,1000.0
1736539910000,1000.0
1736539915000,1000.0
1736539920000,1000.0
1736539925000,1000.0
1736539930000,
1736540020000,0.0
1736540025000,0.0
1736540030000,0.0
1736540035000,0.0
1736540040000,150.0
1736540045000,367.0
1736540050000,551.0
1736540055000,706.0
1736540060000,736.0
1736540065000,769.0
1736540070000,795.0
1736540075000,1000.0
1736540080000,1000.0
1736540085000,1000.0
1736540090000,1000.0
1736540095000,1000.0
1736540100000,1000.0
1736540105000,1000.0
1736540110000,1000.0
1736540115000,1000.0
1736540120000,1000.0
1736540125000,1000.0
1736540130000,1000.0
1736540135000,1000.0
1736540140000,1000.0
1736540145000,1000.0
1736540150000,1000.0
1736540155000,1000.0
1736540160000,1000.0
1736540165000,1000.0
1736540170000,1000.0
1736540175000,1000.0
1736540180000,1000.0
1736540185000,1000.0
1736540190000,1000.0
1736540195000,1000.0
1736540200000,
1736540305000,0.0
1736540310000,0.0
1736540315000,9.0
1736540320000,4.0
1736540325000,249.0
1736540330000,456.0
1736540335000,573.0
1736540340000,644.0
1736540345000,
1736540360000,0.0
1736540365000,0.0
1736540370000,679.0
1736540375000,839.0
1736540380000,1000.0
1736540385000,1000.0
1736540390000,1000.0
1736540395000,1000.0
1736540400000,1000.0
1736540405000,1000.0
1736540410000,
1736540430000,0.0
1736540435000,0.0
1736540440000,1000.0
1736540445000,1000.0
1736540450000,1000.0
1736540455000,1000.0
1736540460000,1000.0
1736540465000,1000.0
1736540470000,1000.0
1736540475000,1000.0
1736540480000,1000.0
1736540485000,
1736540570000,0.0
1736540575000,0.0
1736540580000,17.0
1736540585000,8.0
1736540590000,5.0
1736540595000,167.0
1736540600000,326.0
1736540605000,441.0
1736540610000,623.0
1736540615000,666.0
1736540620000,703.0
1736540625000,903.0
1736540630000,910.0
1736540635000,917.0
1736540640000,1000.0
1736540645000,1000.0
1736540650000,1000.0
1736540655000,1000.0
1736540660000,1000.0
1736540665000,1000.0
1736540670000,1000.0
1736540675000,1000.0
1736540680000,1000.0
1736540685000,1000.0
1736540690000,1000.0
1736540695000,1000.0
1736540700000,1000.0
1736540705000,1000.0
1736540710000,1000.0
1736540715000,1000.0
1736540720000,
1736540740000,0.0
1736540745000,617.0
1736540750000,1000.0
1736540755000,
1736540850000,0.0
1736540855000,0.0
1736540860000,0.0
1736540865000,0.0
1736540870000,218.0
1736540875000,469.0
1736540880000,672.0
1736540885000,726.0
1736540890000,903.0
1736540895000,903.0
1736540900000,914.0
1736540905000,1000.0
1736540910000,1000.0
1736540915000,1000.0
1736540920000,1000.0
1736540925000,1000.0
1736540930000,1000.0
1736540935000,1000.0
1736540940000,1000.0
1736540945000,1000.0
1736540950000,1000.0
1736540955000,1000.0
1736540960000,1000.0
1736540965000,1000.0
1736540970000,1000.0
1736540975000,1000.0
1736540980000,1000.0
1736540985000,1000.0
1736540990000,1000.0
1736540995000,1000.0
1736541000000,1000.0
1736541005000,1000.0
1736541010000,1000.0
1736541015000,1000.0
1736541020000,1000.0
1736541025000,1000.0
1736541030000,
1736541125000,0.0
1736541130000,0.0
1736541135000,0.0
1736541140000,0.0
1736541145000,232.0
1736541150000,418.0
1736541155000,532.0
1736541160000,736.0
1736541165000,764.0
1736541170000,794.0
1736541175000,984.0
1736541180000,978.0
1736541185000,980.0
1736541190000,1000.0
1736541195000,1000.0
1736541200000,1000.0
1736541205000,1000.0
1736541210000,1000.0
1736541215000,1000.0
1736541220000,1000.0
1736541225000,1000.0
1736541230000,1000.0
1736541235000,1000.0
1736541240000,1000.0
1736541245000,1000.0
1736541250000,1000.0
1736541255000,1000.0
1736541260000,1000.0
1736541265000,1000.0
1736541270000,1000.0
1736541275000,1000.0
1736541280000,1000.0
1736541285000,1000.0
1736541290000,1000.0
1736541295000,1000.0
1736541300000,1000.0
1736541305000,1000.0
1736541310000,
1736541400000,0.0
1736541405000,0.0
1736541410000,0.0
1736541415000,0.0
1736541420000,155.0
1736541425000,319.0
1736541430000,455.0
1736541435000,683.0
1736541440000,710.0
1736541445000,746.0
1736541450000,936.0
1736541455000,932.0
1736541460000,939.0
1736541465000,1000.0
1736541470000,1000.0
1736541475000,1000.0
1736541480000,1000.0
1736541485000,1000.0
1736541490000,1000.0
1736541495000,1000.0
1736541500000,1000.0
1736541505000,1000.0
1736541510000,1000.0
1736541515000,1000.0
1736541520000,1000.0
1736541525000,1000.0
1736541530000,1000.0
1736541535000,1000.0
1736541540000,1000.0
1736541545000,1000.0
1736541550000,1000.0
1736541555000,1000.0
1736541560000,1000.0
1736541565000,1000.0
1736541570000,1000.0
1736541575000,1000.0
1736541580000,1000.0
1736541585000,
1736541675000,0.0
1736541680000,0.0
1736541685000,0.0
1736541690000,0.0
1736541695000,228.0
1736541700000,418.0
1736541705000,527.0
1736541710000,606.0
1736541715000,879.0
1736541720000,891.0
1736541725000,903.0
1736541730000,1000.0
1736541735000,1000.0
1736541740000,1000.0
1736541745000,1000.0
1736541750000,1000.0
1736541755000,1000.0
1736541760000,1000.0
1736541765000,1000.0
1736541770000,1000.0
1736541775000,1000.0
1736541780000,1000.0
1736541785000,1000.0
1736541790000,1000.0
1736541795000,1000.0
1736541800000,1000.0
1736541805000,1000.0
1736541810000,1000.0
1736541815000,1000.0
1736541820000,1000.0
1736541825000,1000.0
1736541830000,1000.0
1736541835000,1000.0
1736541840000,1000.0
1736541845000,1000.0
1736541850000,1000.0
1736541855000,1000.0
1736541860000,
1736541960000,0.0
1736541965000,0.0
1736541970000,0.0
1736541975000,0.0
1736541980000,223.0
1736541985000,416.0
1736541990000,
1736542005000,0.0
1736542010000,769.0
1736542015000,884.0
1736542020000,923.0
1736542025000,942.0
1736542030000,1000.0
1736542035000,1000.0
1736542040000,
1736542055000,0.0
1736542060000,0.0
1736542065000,1000.0
1736542070000,1000.0
1736542075000,1000.0
1736542080000,1000.0
1736542085000,1000.0
1736542090000,1000.0
1736542095000,1000.0
1736542100000,1000.0
1736542105000,1000.0
1736542110000,
1736542135000,0.0
1736542140000,
1736542230000,0.0
1736542235000,0.0
1736542240000,0.0
1736542245000,0.0
1736542250000,231.0
1736542255000,437.0
1736542260000,618.0
1736542265000,677.0
1736542270000,723.0
1736542275000,960.0
1736542280000,964.0
1736542285000,1000.0
1736542290000,1000.0
1736542295000,1000.0
1736542300000,1000.0
1736542305000,1000.0
1736542310000,1000.0
1736542315000,1000.0
1736542320000,1000.0
1736542325000,1000.0
1736542330000,1000.0
1736542335000,1000.0
1736542340000,1000.0
1736542345000,1000.0
1736542350000,1000.0
1736542355000,1000.0
1736542360000,1000.0
1736542365000,1000.0
1736542370000,1000.0
1736542375000,1000.0
1736542380000,1000.0
1736542385000,1000.0
1736542390000,1000.0
1736542395000,1000.0
1736542400000,1000.0
1736542405000,1000.0
1736542410000,
1736542535000,0.0
1736542540000,0.0
1736542545000,0.0
1736542550000,0.0
1736542555000,0.0
1736542560000,237.0
1736542565000,570.0
1736542570000,639.0
1736542575000,735.0
1736542580000,854.0
1736542585000,870.0
1736542590000,981.0
1736542595000,980.0
1736542600000,982.0
1736542605000,1000.0
1736542610000,1000.0
1736542615000,1000.0
1736542620000,1000.0
1736542625000,1000.0
1736542630000,1000.0
1736542635000,1000.0
1736542640000,1000.0
1736542645000,1000.0
1736542650000,1000.0
1736542655000,1000.0
1736542660000,1000.0
1736542665000,1000.0
1736542670000,1000.0
1736542675000,1000.0
1736542680000,1000.0
1736542685000,1000.0
1736542690000,1000.0
1736542695000,1000.0
1736542700000,1000.0
1736542705000,1000.0
1736542710000,1000.0
1736542715000,
1736542810000,0.0
1736542815000,0.0
1736542820000,0.0
1736542825000,0.0
1736542830000,78.0
1736542835000,299.0
1736542840000,439.0
1736542845000,686.0
1736542850000,731.0
1736542855000,764.0
1736542860000,1000.0
1736542865000,1000.0
1736542870000,1000.0
1736542875000,1000.0
1736542880000,1000.0
1736542885000,1000.0
1736542890000,1000.0
1736542895000,1000.0
1736542900000,1000.0
1736542905000,1000.0
1736542910000,1000.0
1736542915000,1000.0
1736542920000,1000.0
1736542925000,1000.0
1736542930000,1000.0
1736542935000,1000.0
1736542940000,1000.0
1736542945000,1000.0
1736542950000,1000.0
1736542955000,1000.0
1736542960000,1000.0
1736542965000,1000.0
1736542970000,1000.0
1736542975000,1000.0
1736542980000,1000.0
1736542985000,1000.0
1736542990000,1000.0
1736542995000,
1736543090000,0.0
1736543095000,0.0
1736543100000,8.0
1736543105000,4.0
1736543110000,138.0
1736543115000,321.0
1736543120000,457.0
1736543125000,754.0
1736543130000,773.0
1736543135000,801.0
1736543140000,823.0
1736543145000,1000.0
1736543150000,1000.0
1736543155000,1000.0
1736543160000,1000.0
1736543165000,1000.0
1736543170000,1000.0
1736543175000,1000.0
1736543180000,1000.0
1736543185000,1000.0
1736543190000,1000.0
1736543195000,1000.0
1736543200000,1000.0
1736543205000,1000.0
1736543210000,1000.0
1736543215000,1000.0
