,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1736535305000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535310000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,8924000.0,2082.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535315000,9.0,18.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,71919000.0,776.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535320000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,56951.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535325000,6.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,862.0,741000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535330000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,103617000.0,55.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535335000,4.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,9.0,655.0,94.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535340000,1.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,32.0,64.0,642.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535345000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,19458000.0,142.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535350000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,142.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535355000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,142.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535360000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,142.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535365000,,,,,,,,,,,,,,,
1736535380000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26823000.0,0.0,12393.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535385000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1396.0,734.0,7333.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535390000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,361.0,335.0,1563.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535395000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,80253000.0,683.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535400000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,17.0,618.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535405000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,34.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535410000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,5697000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535415000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535420000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2.0,288.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535425000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,11268000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535430000,,,,,,,,,,,,,,,
1736535450000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5819.0,0.0,5360.0,-9.223372036854775e+18,-9.223372036854775e+18
