,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737530875000,1000.0
1737530880000,1000.0
1737530885000,0.0
1737530890000,0.0
1737530895000,0.0
1737530900000,0.0
1737530905000,0.0
1737530910000,138.0
1737530915000,258.0
1737530920000,351.0
1737530925000,423.0
1737530930000,481.0
1737530935000,528.0
1737530940000,567.0
1737530945000,711.0
1737530950000,793.0
1737530955000,871.0
1737530960000,954.0
1737530965000,998.0
1737530970000,998.0
1737530975000,1000.0
1737530980000,1000.0
1737530985000,1000.0
1737530990000,1000.0
1737530995000,1000.0
1737531000000,1000.0
1737531005000,1000.0
1737531010000,1000.0
1737531015000,1000.0
1737531020000,1000.0
1737531025000,1000.0
1737531030000,1000.0
1737531035000,1000.0
1737531040000,1000.0
1737531045000,1000.0
1737531050000,1000.0
1737531055000,1000.0
1737531060000,1000.0
1737531065000,1000.0
1737531070000,1000.0
1737531075000,1000.0
1737531080000,1000.0
1737531085000,1000.0
1737531090000,1000.0
1737531095000,1000.0
1737531100000,1000.0
1737531105000,1000.0
1737531110000,1000.0
1737531115000,1000.0
1737531120000,
