,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737494640000,-9.223372036854775e+18
1737494645000,-9.223372036854775e+18
1737494650000,-9.223372036854775e+18
1737494655000,-9.223372036854775e+18
1737494660000,-9.223372036854775e+18
1737494665000,-9.223372036854775e+18
1737494670000,-9.223372036854775e+18
1737494675000,-9.223372036854775e+18
1737494680000,-9.223372036854775e+18
1737494685000,-9.223372036854775e+18
1737494690000,-9.223372036854775e+18
1737494695000,-9.223372036854775e+18
1737494700000,-9.223372036854775e+18
1737494705000,-9.223372036854775e+18
1737494710000,-9.223372036854775e+18
1737494715000,-9.223372036854775e+18
1737494720000,
1737494735000,-9.223372036854775e+18
1737494740000,-9.223372036854775e+18
1737494745000,-9.223372036854775e+18
1737494750000,-9.223372036854775e+18
1737494755000,-9.223372036854775e+18
1737494760000,-9.223372036854775e+18
1737494765000,-9.223372036854775e+18
1737494770000,-9.223372036854775e+18
1737494775000,-9.223372036854775e+18
1737494780000,-9.223372036854775e+18
1737494785000,-9.223372036854775e+18
1737494790000,-9.223372036854775e+18
1737494795000,-9.223372036854775e+18
1737494800000,-9.223372036854775e+18
1737494805000,-9.223372036854775e+18
1737494810000,-9.223372036854775e+18
1737494815000,-9.223372036854775e+18
1737494820000,-9.223372036854775e+18
1737494825000,-9.223372036854775e+18
1737494830000,-9.223372036854775e+18
1737494835000,-9.223372036854775e+18
1737494840000,
1737494860000,-9.223372036854775e+18
1737494865000,-9.223372036854775e+18
1737494870000,-9.223372036854775e+18
1737494875000,-9.223372036854775e+18
1737494880000,
