,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737495290000,0.0
1737495295000,0.0
1737495300000,0.0
1737495305000,108.4666666666
1737495310000,469.35
1737495315000,560.55
1737495320000,4208.75
1737495325000,9470.6
1737495330000,14416.716666659999
1737495335000,17146.233333329998
1737495340000,18963.96666666
1737495345000,
1737495355000,0.0
1737495360000,5326.63333333
1737495365000,5870.58333333
1737495370000,6908.95
1737495375000,11729.93333333
1737495380000,11729.93333333
1737495385000,14432.766666659998
1737495390000,
1737495420000,0.0
1737495425000,17.166666666666
1737495430000,4052.13333333
1737495435000,10492.23333333
1737495440000,16794.016666659998
1737495445000,21236.93333333
1737495450000,21236.93333333
1737495455000,
1737495490000,0.0
1737495495000,0.0
1737495500000,5.183333333333
1737495505000,114.1666666666
1737495510000,
