,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737501220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,3286000.0,1354.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,271000.0,1027.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501235000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,256000.0,394.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501240000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9216.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501245000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,256000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501250000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,266823000.0,2.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501255000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,197604000.0,4.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501260000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,16146000.0,4.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501265000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4.0,12.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501270000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,4428000.0,18.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501275000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,18.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501280000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,18.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501285000,9.0,21.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,7776000.0,77.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501290000,9.0,21.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,77.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501295000,9.0,21.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,77.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501300000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,75.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501305000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,3474000.0,86.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501310000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,86.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501315000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2.0,120.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501320000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,250.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501325000,9.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,8.0,278.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501330000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,83.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737501335000,9.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0,2304000.0,5502.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
