Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,-1.0,-1.0,1
5,0.0,1000.0,0.0,0.0,22637.0,16.0,1
10,0.0,0.0,0.0,0.0,22637.0,12.0,1
15,0.0,0.0,0.0,0.0,271010.0,329.0,1
20,507.35,0.0,0.0,0.0,1660144.0,177.0,1
25,664.7333333333,0.0,0.0,0.0,5562370.0,362.0,1
30,4707.8,0.0,0.0,24.0,28672964.0,519.0,1
35,14888.48333333,113.0,27.0,136.0,28672964.0,519.0,1
40,14888.48333333,240.0,166.0,259.0,28672964.0,519.0,1
45,14888.48333333,335.0,270.0,352.0,28672964.0,519.0,1
50,,,,,28672964.0,519.0,0
65,0.0,1000.0,0.0,0.0,28672964.0,519.0,1
70,211.8166666666,895.0,1000.0,1000.0,28672964.0,519.0,1
75,4639.45,948.0,1000.0,1000.0,25011917.0,568.0,1
80,,,,,25011917.0,568.0,0
95,0.0,1000.0,0.0,0.0,25011917.0,568.0,1
100,0.0,1000.0,0.0,0.0,22475586.0,646.0,1
105,10411.5,870.0,1000.0,1000.0,36556062.0,753.0,1
110,16366.48333333,935.0,1000.0,1000.0,24266254.0,1309.0,1
115,17239.83333333,957.0,1000.0,1000.0,24266254.0,1309.0,1
120,17239.83333333,968.0,1000.0,1000.0,24266254.0,1309.0,1
125,17239.83333333,974.0,1000.0,1000.0,24266254.0,1309.0,1
130,17239.83333333,979.0,1000.0,1000.0,24266254.0,1309.0,1
135,17239.83333333,982.0,1000.0,1000.0,24266254.0,1309.0,1
140,,,,,24266254.0,1309.0,0
170,0.0,1000.0,0.0,0.0,24266254.0,1309.0,1
175,0.0,1000.0,0.0,0.0,24266254.0,1309.0,1
180,608.6333333333,837.0,1000.0,1000.0,5956901.0,453.0,1
185,6944.06666666,919.0,1000.0,1000.0,13784676.0,757.0,1
190,6957.23333333,946.0,1000.0,1000.0,13784676.0,757.0,1
195,,,,,13784676.0,757.0,0
55,,,,,28672964.0,519.0,0
60,,,,,28672964.0,519.0,0
85,,,,,25011917.0,568.0,0
90,,,,,25011917.0,568.0,0
145,,,,,24266254.0,1309.0,0
150,,,,,24266254.0,1309.0,0
155,,,,,24266254.0,1309.0,0
160,,,,,24266254.0,1309.0,0
165,,,,,24266254.0,1309.0,0
200,,,,,13784676.0,757.0,0
205,,,,,13784676.0,757.0,0
210,,,,,13784676.0,757.0,0
215,,,,,13784676.0,757.0,0
220,,,,,13784676.0,757.0,0
225,,,,,13784676.0,757.0,0
230,,,,,13784676.0,757.0,0
235,,,,,13784676.0,757.0,0
240,,,,,,,0
