,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength
,Source:_Source2
,0
Timestamp,
1737507500000,0.0
1737507505000,0.0
1737507510000,0.0
1737507515000,1.0
1737507520000,0.0
1737507525000,10.0
1737507530000,9.0
1737507535000,9.0
1737507540000,9.0
1737507545000,9.0
1737507550000,9.0
1737507555000,9.0
1737507560000,9.0
1737507565000,9.0
1737507570000,9.0
1737507575000,9.0
1737507580000,9.0
1737507585000,9.0
1737507590000,9.0
1737507595000,9.0
1737507600000,9.0
1737507605000,9.0
1737507610000,9.0
1737507615000,9.0
1737507620000,1.0
1737507625000,9.0
1737507630000,9.0
1737507635000,9.0
1737507640000,9.0
1737507645000,9.0
1737507650000,9.0
1737507655000,9.0
1737507660000,9.0
1737507665000,9.0
1737507670000,9.0
1737507675000,9.0
1737507680000,9.0
1737507685000,9.0
1737507690000,9.0
1737507695000,1.0
1737507700000,9.0
1737507705000,9.0
1737507710000,9.0
1737507715000,9.0
1737507720000,9.0
1737507725000,9.0
1737507730000,1.0
1737507735000,9.0
1737507740000,
