Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,404.0
5,21.0
10,13.0
15,13.0
20,14.0
25,344.0
30,460.0
35,888.0
40,888.0
45,502.0
50,950.0
55,2236.0
60,450.0
65,450.0
70,8581.0
75,1175.0
80,1175.0
85,1175.0
90,608.0
95,608.0
100,10603.0
105,619.0
110,619.0
115,628.0
120,628.0
125,7632.0
130,7632.0
135,587.0
140,805.0
145,795.0
150,1282.0
155,1847.0
160,1847.0
165,575.0
170,575.0
175,576.0
180,576.0
185,6117.0
190,6117.0
195,6117.0
200,347.0
205,1660.0
210,1890.0
215,2317.0
220,2465.0
225,2963.0
230,862.0
235,550.0
240,550.0
245,
