,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736613105000,1000.0
1736613110000,807.0
1736613115000,629.0
1736613120000,745.0
1736613125000,809.0
1736613130000,842.0
1736613135000,868.0
1736613140000,887.0
1736613145000,901.0
1736613150000,912.0
1736613155000,921.0
1736613160000,928.0
1736613165000,934.0
1736613170000,951.0
1736613175000,996.0
1736613180000,998.0
1736613185000,998.0
1736613190000,1000.0
1736613195000,1000.0
1736613200000,1000.0
1736613205000,1000.0
1736613210000,1000.0
1736613215000,1000.0
1736613220000,1000.0
1736613225000,1000.0
1736613230000,1000.0
1736613235000,1000.0
1736613240000,1000.0
1736613245000,1000.0
1736613250000,1000.0
1736613255000,1000.0
1736613260000,1000.0
1736613265000,1000.0
1736613270000,1000.0
1736613275000,1000.0
1736613280000,1000.0
1736613285000,
1736613385000,1000.0
1736613390000,1000.0
1736613395000,677.0
1736613400000,809.0
1736613405000,873.0
1736613410000,905.0
1736613415000,924.0
1736613420000,937.0
1736613425000,946.0
1736613430000,953.0
1736613435000,958.0
1736613440000,962.0
1736613445000,966.0
1736613450000,969.0
1736613455000,995.0
1736613460000,1000.0
1736613465000,1000.0
1736613470000,1000.0
1736613475000,1000.0
1736613480000,1000.0
1736613485000,1000.0
1736613490000,1000.0
1736613495000,1000.0
1736613500000,1000.0
1736613505000,1000.0
1736613510000,1000.0
1736613515000,1000.0
1736613520000,1000.0
1736613525000,1000.0
1736613530000,1000.0
1736613535000,1000.0
1736613540000,1000.0
1736613545000,1000.0
1736613550000,1000.0
1736613555000,1000.0
1736613560000,1000.0
1736613565000,1000.0
1736613570000,
1736613660000,1000.0
1736613665000,1000.0
1736613670000,752.0
1736613675000,677.0
1736613680000,611.0
1736613685000,709.0
1736613690000,767.0
1736613695000,806.0
1736613700000,834.0
1736613705000,855.0
1736613710000,871.0
1736613715000,884.0
1736613720000,894.0
1736613725000,903.0
1736613730000,924.0
1736613735000,957.0
1736613740000,1000.0
1736613745000,1000.0
1736613750000,1000.0
1736613755000,1000.0
1736613760000,1000.0
1736613765000,1000.0
1736613770000,1000.0
1736613775000,1000.0
1736613780000,1000.0
1736613785000,1000.0
1736613790000,1000.0
1736613795000,1000.0
1736613800000,1000.0
1736613805000,1000.0
1736613810000,1000.0
1736613815000,1000.0
1736613820000,1000.0
1736613825000,1000.0
1736613830000,1000.0
1736613835000,1000.0
1736613840000,
1736613940000,1000.0
1736613945000,760.0
1736613950000,602.0
1736613955000,456.0
1736613960000,578.0
1736613965000,663.0
1736613970000,719.0
1736613975000,759.0
1736613980000,789.0
1736613985000,813.0
1736613990000,832.0
1736613995000,847.0
1736614000000,860.0
1736614005000,880.0
1736614010000,926.0
1736614015000,996.0
1736614020000,1000.0
1736614025000,1000.0
1736614030000,1000.0
1736614035000,1000.0
1736614040000,1000.0
1736614045000,1000.0
1736614050000,1000.0
1736614055000,1000.0
1736614060000,1000.0
1736614065000,1000.0
1736614070000,1000.0
1736614075000,1000.0
1736614080000,1000.0
1736614085000,1000.0
1736614090000,1000.0
1736614095000,1000.0
1736614100000,1000.0
1736614105000,1000.0
1736614110000,1000.0
1736614115000,1000.0
1736614120000,
1736614215000,1000.0
1736614220000,742.0
1736614225000,802.0
1736614230000,672.0
1736614235000,754.0
1736614240000,803.0
1736614245000,836.0
1736614250000,860.0
1736614255000,877.0
1736614260000,891.0
1736614265000,902.0
1736614270000,911.0
1736614275000,918.0
1736614280000,940.0
1736614285000,951.0
1736614290000,1000.0
1736614295000,1000.0
1736614300000,1000.0
1736614305000,1000.0
1736614310000,1000.0
1736614315000,1000.0
1736614320000,1000.0
1736614325000,1000.0
1736614330000,1000.0
1736614335000,1000.0
1736614340000,1000.0
1736614345000,1000.0
1736614350000,1000.0
1736614355000,1000.0
1736614360000,1000.0
1736614365000,1000.0
1736614370000,1000.0
1736614375000,1000.0
1736614380000,1000.0
1736614385000,1000.0
1736614390000,1000.0
1736614395000,
