,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736613105000,-9.223372036854775e+18
1736613110000,-9.223372036854775e+18
1736613115000,-9.223372036854775e+18
1736613120000,-9.223372036854775e+18
1736613125000,-9.223372036854775e+18
1736613130000,-9.223372036854775e+18
1736613135000,-9.223372036854775e+18
1736613140000,-9.223372036854775e+18
1736613145000,-9.223372036854775e+18
1736613150000,-9.223372036854775e+18
1736613155000,-9.223372036854775e+18
1736613160000,-9.223372036854775e+18
1736613165000,-9.223372036854775e+18
1736613170000,-9.223372036854775e+18
1736613175000,-9.223372036854775e+18
1736613180000,-9.223372036854775e+18
1736613185000,-9.223372036854775e+18
1736613190000,-9.223372036854775e+18
1736613195000,-9.223372036854775e+18
1736613200000,-9.223372036854775e+18
1736613205000,-9.223372036854775e+18
1736613210000,-9.223372036854775e+18
1736613215000,-9.223372036854775e+18
1736613220000,-9.223372036854775e+18
1736613225000,-9.223372036854775e+18
1736613230000,-9.223372036854775e+18
1736613235000,-9.223372036854775e+18
1736613240000,-9.223372036854775e+18
1736613245000,-9.223372036854775e+18
1736613250000,-9.223372036854775e+18
1736613255000,-9.223372036854775e+18
1736613260000,-9.223372036854775e+18
1736613265000,-9.223372036854775e+18
1736613270000,-9.223372036854775e+18
1736613275000,-9.223372036854775e+18
1736613280000,-9.223372036854775e+18
1736613285000,
1736613385000,-9.223372036854775e+18
1736613390000,-9.223372036854775e+18
1736613395000,-9.223372036854775e+18
1736613400000,-9.223372036854775e+18
1736613405000,-9.223372036854775e+18
1736613410000,-9.223372036854775e+18
1736613415000,-9.223372036854775e+18
1736613420000,-9.223372036854775e+18
1736613425000,-9.223372036854775e+18
1736613430000,-9.223372036854775e+18
1736613435000,-9.223372036854775e+18
1736613440000,-9.223372036854775e+18
1736613445000,-9.223372036854775e+18
1736613450000,-9.223372036854775e+18
1736613455000,-9.223372036854775e+18
1736613460000,-9.223372036854775e+18
1736613465000,-9.223372036854775e+18
1736613470000,-9.223372036854775e+18
1736613475000,-9.223372036854775e+18
1736613480000,-9.223372036854775e+18
1736613485000,-9.223372036854775e+18
1736613490000,-9.223372036854775e+18
1736613495000,-9.223372036854775e+18
1736613500000,-9.223372036854775e+18
1736613505000,-9.223372036854775e+18
1736613510000,-9.223372036854775e+18
1736613515000,-9.223372036854775e+18
