,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737232520000,0.0
1737232525000,956.5333333333
1737232530000,2354.6833333332997
1737232535000,2354.6833333332997
1737232540000,3607.65
1737232545000,10930.783333329999
1737232550000,16701.3
1737232555000,18919.4
1737232560000,18919.4
1737232565000,25098.833333330003
1737232570000,25098.833333330003
1737232575000,25098.833333330003
1737232580000,31158.266666659998
1737232585000,30201.73333333
1737232590000,29039.46666666
1737232595000,34380.76666666
1737232600000,33127.8
1737232605000,31820.05
1737232610000,26049.53333333
1737232615000,25930.133333330003
1737232620000,30012.21666666
1737232625000,23832.78333333
1737232630000,25607.0
1737232635000,30455.8
1737232640000,30060.21666666
1737232645000,30060.21666666
1737232650000,34716.4
1737232655000,30576.78333333
1737232660000,30906.683333330002
1737232665000,30262.23333333
1737232670000,30262.23333333
1737232675000,33923.41666666
1737232680000,29841.333333330003
1737232685000,31238.183333330002
1737232690000,35179.38333333
1737232695000,36636.83333333
1737232700000,37305.65
1737232705000,42314.63333333
1737232710000,38226.83333333
1737232715000,41910.08333333
1737232720000,41580.18333333
1737232725000,42080.2
1737232730000,42080.2
1737232735000,42549.45
1737232740000,42549.45
1737232745000,42371.11666666
1737232750000,38978.86666666
1737232755000,32672.61666666
1737232760000,
