Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,-1.0,-1.0,1
5,628.65,423.0,7.0,0.0,4878174.0,559.0,1
10,2308.35,411.0,55.0,0.0,5033466.0,143.0,1
15,6760.133333329999,422.0,37.0,63.0,16618252.0,1299.0,1
20,14955.883333329999,557.0,44.0,210.0,16618252.0,1299.0,1
25,15001.95,646.0,235.0,401.0,38811806.0,698.0,1
30,18420.7,705.0,537.0,520.0,44414376.0,3101.0,1
35,24152.53333333,745.0,658.0,614.0,13625116.0,2675.0,1
40,29813.433333330002,777.0,701.0,638.0,24302061.0,995.0,1
45,34238.3,802.0,729.0,662.0,24302061.0,995.0,1
50,34238.3,822.0,756.0,696.0,12192448.0,358.0,1
55,42575.51666666,838.0,915.0,845.0,28103548.0,1169.0,1
60,46746.35,851.0,913.0,852.0,28103548.0,1169.0,1
65,46117.7,900.0,996.0,936.0,28103548.0,1169.0,1
70,44438.0,950.0,1000.0,1000.0,26415432.0,868.0,1
75,46462.1,996.0,1000.0,1000.0,29727987.0,821.0,1
80,38266.35,999.0,1000.0,1000.0,29727987.0,821.0,1
85,38920.28333333,999.0,1000.0,1000.0,26572534.0,736.0,1
90,40986.11666666,999.0,1000.0,1000.0,26572534.0,736.0,1
95,35254.28333333,1000.0,1000.0,1000.0,35373262.0,10252.0,1
100,33193.483333330005,1000.0,1000.0,1000.0,32078787.0,916.0,1
105,28864.066666659997,1000.0,1000.0,1000.0,32078787.0,916.0,1
110,28864.066666659997,1000.0,1000.0,1000.0,24886060.0,694.0,1
115,24492.0,1000.0,1000.0,1000.0,15549195.0,1001.0,1
120,26227.8,1000.0,1000.0,1000.0,21617599.0,1757.0,1
125,32024.066666659997,1000.0,1000.0,1000.0,22659372.0,2260.0,1
130,38057.18333333,1000.0,1000.0,1000.0,33360607.0,941.0,1
135,37314.15,1000.0,1000.0,1000.0,44106660.0,1127.0,1
140,43236.45,1000.0,1000.0,1000.0,39120898.0,1235.0,1
145,48170.91666666001,1000.0,1000.0,1000.0,39120898.0,1235.0,1
150,42686.33333333,1000.0,1000.0,1000.0,44299815.0,970.0,1
155,48321.766666660005,1000.0,1000.0,1000.0,44299815.0,970.0,1
160,44721.66666666,1000.0,1000.0,1000.0,39124022.0,7801.0,1
165,47631.65,1000.0,1000.0,1000.0,39705889.0,767.0,1
170,48138.63333333,1000.0,1000.0,1000.0,39705889.0,767.0,1
175,44173.483333330005,1000.0,1000.0,1000.0,39705889.0,767.0,1
180,38266.85,1000.0,1000.0,1000.0,36204384.0,14167.0,1
185,34733.65,1000.0,1000.0,1000.0,9834420.0,482.0,1
190,35528.58333333,1000.0,1000.0,1000.0,14619768.0,1771.0,1
195,36920.13333333,1000.0,1000.0,1000.0,26001790.0,2542.0,1
200,36852.86666666,1000.0,1000.0,1000.0,31811339.0,900.0,1
205,36938.43333333,1000.0,1000.0,1000.0,32710375.0,1086.0,1
210,44103.05,1000.0,1000.0,1000.0,42079989.0,1021.0,1
215,43683.33333333,1000.0,1000.0,1000.0,53302728.0,2163.0,1
220,46571.0,1000.0,1000.0,1000.0,53302728.0,2163.0,1
225,43883.15,1000.0,1000.0,1000.0,42187834.0,798.0,1
230,48684.06666666,1000.0,1000.0,1000.0,42187834.0,798.0,1
235,48684.06666666,1000.0,1000.0,1000.0,49440462.0,10535.0,1
240,49848.18333333,1000.0,1000.0,1000.0,49440462.0,10535.0,1
245,,,,,,,0
