,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737210455000,1000.0
1737210460000,438.0
1737210465000,372.0
1737210470000,240.0
1737210475000,430.0
1737210480000,544.0
1737210485000,620.0
1737210490000,674.0
1737210495000,715.0
1737210500000,747.0
1737210505000,772.0
1737210510000,793.0
1737210515000,810.0
1737210520000,857.0
1737210525000,915.0
1737210530000,1000.0
1737210535000,1000.0
1737210540000,1000.0
1737210545000,1000.0
1737210550000,1000.0
1737210555000,1000.0
1737210560000,1000.0
1737210565000,1000.0
1737210570000,1000.0
1737210575000,1000.0
1737210580000,1000.0
1737210585000,1000.0
1737210590000,1000.0
1737210595000,1000.0
1737210600000,1000.0
1737210605000,1000.0
1737210610000,1000.0
1737210615000,1000.0
1737210620000,1000.0
1737210625000,1000.0
1737210630000,1000.0
1737210635000,1000.0
1737210640000,1000.0
1737210645000,1000.0
1737210650000,1000.0
1737210655000,1000.0
1737210660000,1000.0
1737210665000,1000.0
1737210670000,1000.0
1737210675000,1000.0
1737210680000,1000.0
1737210685000,1000.0
1737210690000,1000.0
1737210695000,
