,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737212400000,-9.223372036854775e+18
1737212405000,-9.223372036854775e+18
1737212410000,-9.223372036854775e+18
1737212415000,-9.223372036854775e+18
1737212420000,-9.223372036854775e+18
1737212425000,-9.223372036854775e+18
1737212430000,-9.223372036854775e+18
1737212435000,-9.223372036854775e+18
1737212440000,-9.223372036854775e+18
1737212445000,-9.223372036854775e+18
1737212450000,-9.223372036854775e+18
1737212455000,-9.223372036854775e+18
1737212460000,-9.223372036854775e+18
1737212465000,-9.223372036854775e+18
1737212470000,-9.223372036854775e+18
1737212475000,-9.223372036854775e+18
1737212480000,-9.223372036854775e+18
1737212485000,-9.223372036854775e+18
1737212490000,-9.223372036854775e+18
1737212495000,-9.223372036854775e+18
1737212500000,-9.223372036854775e+18
1737212505000,-9.223372036854775e+18
1737212510000,-9.223372036854775e+18
1737212515000,-9.223372036854775e+18
1737212520000,-9.223372036854775e+18
1737212525000,-9.223372036854775e+18
1737212530000,-9.223372036854775e+18
1737212535000,-9.223372036854775e+18
1737212540000,-9.223372036854775e+18
1737212545000,-9.223372036854775e+18
1737212550000,-9.223372036854775e+18
1737212555000,-9.223372036854775e+18
1737212560000,-9.223372036854775e+18
1737212565000,-9.223372036854775e+18
1737212570000,-9.223372036854775e+18
1737212575000,-9.223372036854775e+18
1737212580000,-9.223372036854775e+18
1737212585000,-9.223372036854775e+18
1737212590000,-9.223372036854775e+18
1737212595000,-9.223372036854775e+18
1737212600000,-9.223372036854775e+18
1737212605000,-9.223372036854775e+18
1737212610000,-9.223372036854775e+18
1737212615000,-9.223372036854775e+18
1737212620000,-9.223372036854775e+18
1737212625000,-9.223372036854775e+18
1737212630000,-9.223372036854775e+18
1737212635000,-9.223372036854775e+18
1737212640000,
