,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737219210000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2232.0,8074000.0,632.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219215000,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11302000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,2966000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219225000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,79074000.0,5.0,642.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219230000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,64044000.0,17.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219235000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,59571000.0,27.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219240000,5.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,5.0,4.0,34.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219245000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3546000.0,804.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219250000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,804.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219255000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,66.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219260000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,66.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219265000,9.0,18.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,77.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219270000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219275000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219280000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,4176000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219285000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219290000,9.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,1.0,83.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219295000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219300000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,4.0,74.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219305000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,4662000.0,79.0,642.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219310000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3078000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219315000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219320000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3717000.0,83.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737219325000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,83.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
