Timestamp,flink_jobmanager_job_lastCheckpointSize
0,363690.0
5,3579678.0
10,4199315.0
15,5158449.0
20,21184060.0
25,38220867.0
30,34428359.0
35,18816975.0
40,29977950.0
45,42709441.0
50,42709441.0
55,42709441.0
60,29673758.0
65,29673758.0
70,29673758.0
75,36730147.0
80,36730147.0
85,32884498.0
90,40426603.0
95,40426603.0
100,41530211.0
105,41530211.0
110,10133403.0
115,13349841.0
120,25235149.0
125,38760151.0
130,38760151.0
135,39308074.0
140,39308074.0
145,39701825.0
150,39701825.0
155,42657510.0
160,29741537.0
165,29741537.0
170,13768700.0
175,20548646.0
180,21642913.0
185,21642913.0
190,32220753.0
195,32220753.0
200,22163286.0
205,22163286.0
210,29952797.0
215,17273300.0
220,17273300.0
225,28248190.0
230,28248190.0
235,23269945.0
240,23269945.0
245,
