Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,-1.0
5,-1.0
10,1707.0
15,1819.0
20,1513.0
25,3010.0
30,3490.0
35,1561.0
40,1707.0
45,2727.0
50,1193.0
55,1483.0
60,1483.0
65,1000.0
70,4907.0
75,1501.0
80,1143.0
85,3008.0
90,3008.0
95,1108.0
100,1163.0
105,1163.0
110,844.0
115,1318.0
120,1318.0
125,1182.0
130,2844.0
135,1475.0
140,1475.0
145,1010.0
150,2199.0
155,773.0
160,1933.0
165,1933.0
170,1533.0
175,990.0
180,1809.0
185,3817.0
190,787.0
195,3608.0
200,5785.0
205,5573.0
210,826.0
215,2316.0
220,927.0
225,2111.0
230,3997.0
235,2108.0
240,2108.0
245,1210.0
250,3011.0
255,
300,-1.0
305,-1.0
310,-1.0
315,4962.0
320,2256.0
325,1654.0
330,2154.0
335,1865.0
340,1753.0
345,1530.0
350,1347.0
355,1347.0
360,1234.0
365,3455.0
370,3653.0
375,2721.0
380,2858.0
385,2878.0
390,2454.0
395,2252.0
400,1855.0
405,1115.0
410,1155.0
415,1466.0
420,1854.0
425,1299.0
430,1553.0
435,1653.0
440,1006.0
445,1161.0
450,3255.0
455,2861.0
460,2869.0
465,2607.0
470,2153.0
475,1852.0
480,1254.0
485,1260.0
490,1136.0
495,3554.0
500,3863.0
505,1335.0
510,1335.0
515,3856.0
520,850.0
525,2959.0
530,2417.0
535,1274.0
540,1053.0
545,3134.0
550,1985.0
555,1453.0
560,1311.0
565,3351.0
570,3103.0
575,2855.0
580,
625,-1.0
630,-1.0
635,3097.0
640,1990.0
645,2189.0
650,5037.0
655,2785.0
660,2534.0
665,1289.0
670,1286.0
675,2886.0
680,1837.0
685,1287.0
690,2542.0
695,1591.0
700,2288.0
705,1388.0
710,2186.0
715,808.0
720,2090.0
725,1387.0
730,889.0
735,2187.0
740,1846.0
745,3389.0
750,1169.0
755,1941.0
760,3388.0
765,1509.0
770,1348.0
775,2488.0
780,887.0
785,1411.0
790,1890.0
795,873.0
800,1383.0
805,2095.0
810,1643.0
815,2486.0
820,1964.0
825,3489.0
830,2487.0
835,1767.0
840,3299.0
845,1591.0
850,1387.0
855,3074.0
860,1088.0
865,1115.0
870,2440.0
875,886.0
880,1688.0
885,1486.0
890,1585.0
895,2187.0
900,1287.0
905,
945,-1.0
950,-1.0
955,-1.0
960,2330.0
965,1809.0
970,4108.0
975,2255.0
980,2007.0
985,2708.0
990,1287.0
995,2033.0
1000,2033.0
