,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1706107135000,0.0
1706107140000,0.0
1706107145000,0.0
1706107150000,0.0
1706107155000,18.0
1706107160000,270.0
1706107165000,466.0
1706107170000,626.0
1706107175000,722.0
1706107180000,749.0
1706107185000,851.0
1706107190000,866.0
1706107195000,979.0
1706107200000,1000.0
1706107205000,1000.0
1706107210000,1000.0
1706107215000,1000.0
1706107220000,1000.0
1706107225000,1000.0
1706107230000,1000.0
1706107235000,1000.0
1706107240000,1000.0
1706107245000,1000.0
1706107250000,1000.0
1706107255000,1000.0
1706107260000,1000.0
1706107265000,1000.0
1706107270000,1000.0
1706107275000,1000.0
1706107280000,1000.0
1706107285000,1000.0
1706107290000,1000.0
1706107295000,1000.0
1706107300000,1000.0
1706107305000,1000.0
1706107310000,1000.0
1706107315000,1000.0
1706107320000,1000.0
1706107325000,1000.0
1706107330000,1000.0
1706107335000,1000.0
1706107340000,1000.0
1706107345000,1000.0
1706107350000,1000.0
1706107355000,1000.0
1706107360000,1000.0
1706107365000,1000.0
1706107370000,1000.0
1706107375000,1000.0
1706107380000,1000.0
1706107385000,1000.0
1706107390000,
1706107440000,0.0
1706107445000,0.0
1706107450000,241.0
1706107455000,321.0
1706107460000,405.0
1706107465000,495.0
1706107470000,590.0
1706107475000,677.0
1706107480000,699.0
1706107485000,736.0
1706107490000,767.0
1706107495000,776.0
1706107500000,795.0
1706107505000,873.0
1706107510000,899.0
1706107515000,932.0
1706107520000,955.0
1706107525000,949.0
1706107530000,934.0
1706107535000,931.0
1706107540000,927.0
1706107545000,923.0
1706107550000,939.0
1706107555000,937.0
1706107560000,933.0
1706107565000,940.0
1706107570000,972.0
1706107575000,973.0
1706107580000,969.0
1706107585000,998.0
1706107590000,993.0
1706107595000,974.0
1706107600000,979.0
1706107605000,967.0
1706107610000,946.0
1706107615000,949.0
1706107620000,948.0
1706107625000,945.0
1706107630000,922.0
1706107635000,926.0
1706107640000,952.0
1706107645000,929.0
1706107650000,957.0
1706107655000,954.0
1706107660000,975.0
1706107665000,970.0
1706107670000,971.0
1706107675000,978.0
1706107680000,986.0
1706107685000,978.0
1706107690000,983.0
1706107695000,1000.0
1706107700000,993.0
1706107705000,992.0
1706107710000,966.0
1706107715000,
1706107760000,0.0
1706107765000,0.0
1706107770000,0.0
1706107775000,53.0
1706107780000,252.0
1706107785000,366.0
1706107790000,431.0
1706107795000,484.0
1706107800000,535.0
1706107805000,558.0
1706107810000,600.0
1706107815000,611.0
1706107820000,633.0
1706107825000,697.0
1706107830000,767.0
1706107835000,822.0
1706107840000,814.0
1706107845000,810.0
1706107850000,820.0
1706107855000,831.0
1706107860000,835.0
1706107865000,843.0
1706107870000,819.0
1706107875000,804.0
1706107880000,800.0
1706107885000,801.0
1706107890000,793.0
1706107895000,788.0
1706107900000,796.0
1706107905000,802.0
1706107910000,798.0
1706107915000,787.0
1706107920000,777.0
1706107925000,774.0
1706107930000,784.0
1706107935000,821.0
1706107940000,823.0
1706107945000,827.0
1706107950000,829.0
1706107955000,846.0
1706107960000,850.0
1706107965000,843.0
1706107970000,845.0
1706107975000,845.0
1706107980000,853.0
1706107985000,857.0
1706107990000,864.0
1706107995000,850.0
1706108000000,842.0
1706108005000,854.0
1706108010000,857.0
1706108015000,845.0
1706108020000,842.0
1706108025000,856.0
1706108030000,850.0
1706108035000,
1706108085000,0.0
1706108090000,0.0
1706108095000,0.0
1706108100000,0.0
1706108105000,205.0
1706108110000,236.0
1706108115000,328.0
1706108120000,399.0
1706108125000,459.0
1706108130000,509.0
1706108135000,541.0
1706108140000,565.0
1706108145000,586.0
1706108150000,664.0
1706108155000,734.0
1706108160000,805.0
1706108165000,808.0
1706108170000,845.0
1706108175000,855.0
1706108180000,860.0
1706108185000,859.0
1706108190000,855.0
1706108195000,872.0
1706108200000,883.0
1706108205000,880.0
1706108210000,870.0
1706108215000,870.0
1706108220000,876.0
1706108225000,875.0
1706108230000,885.0
1706108235000,884.0
1706108240000,878.0
1706108245000,892.0
1706108250000,894.0
1706108255000,886.0
1706108260000,892.0
1706108265000,903.0
1706108270000,909.0
1706108275000,908.0
1706108280000,915.0
1706108285000,910.0
1706108290000,903.0
1706108295000,895.0
1706108300000,901.0
1706108305000,874.0
1706108310000,872.0
1706108315000,862.0
1706108320000,857.0
1706108325000,857.0
1706108330000,859.0
1706108335000,862.0
1706108340000,856.0
1706108345000,875.0
1706108350000,873.0
1706108355000,872.0
1706108360000,
1706108405000,0.0
1706108410000,0.0
1706108415000,0.0
1706108420000,0.0
1706108425000,69.0
1706108430000,262.0
1706108435000,362.0
1706108440000,452.0
1706108445000,488.0
1706108450000,531.0
1706108455000,562.0
1706108460000,583.0
1706108465000,600.0
1706108470000,665.0
1706108475000,729.0
1706108480000,796.0
1706108485000,841.0
1706108490000,816.0
1706108495000,805.0
1706108500000,786.0
1706108505000,793.0
1706108510000,795.0
1706108515000,791.0
1706108520000,783.0
1706108525000,785.0
1706108530000,773.0
1706108535000,766.0
1706108540000,752.0
1706108545000,744.0
1706108550000,760.0
1706108555000,759.0
1706108560000,761.0
1706108565000,757.0
1706108570000,737.0
1706108575000,735.0
1706108580000,750.0
1706108585000,757.0
1706108590000,780.0
1706108595000,788.0
1706108600000,810.0
1706108605000,823.0
1706108610000,801.0
1706108615000,806.0
1706108620000,800.0
1706108625000,796.0
1706108630000,798.0
1706108635000,804.0
1706108640000,791.0
1706108645000,780.0
1706108650000,766.0
1706108655000,755.0
1706108660000,742.0
1706108665000,737.0
1706108670000,750.0
1706108675000,747.0
1706108680000,
1706108725000,0.0
1706108730000,0.0
1706108735000,0.0
1706108740000,0.0
1706108745000,92.0
1706108750000,208.0
1706108755000,274.0
1706108760000,342.0
1706108765000,384.0
1706108770000,431.0
1706108775000,453.0
1706108780000,478.0
1706108785000,501.0
1706108790000,575.0
1706108795000,630.0
1706108800000,661.0
1706108805000,695.0
1706108810000,682.0
1706108815000,700.0
1706108820000,696.0
1706108825000,698.0
1706108830000,683.0
1706108835000,688.0
1706108840000,691.0
1706108845000,679.0
1706108850000,662.0
1706108855000,663.0
1706108860000,695.0
1706108865000,686.0
1706108870000,696.0
1706108875000,677.0
1706108880000,662.0
1706108885000,661.0
1706108890000,657.0
1706108895000,657.0
1706108900000,647.0
1706108905000,641.0
1706108910000,630.0
1706108915000,634.0
1706108920000,631.0
1706108925000,614.0
1706108930000,610.0
1706108935000,618.0
1706108940000,635.0
1706108945000,628.0
1706108950000,640.0
1706108955000,649.0
1706108960000,646.0
1706108965000,656.0
1706108970000,679.0
1706108975000,677.0
1706108980000,691.0
1706108985000,711.0
1706108990000,709.0
1706108995000,700.0
1706109000000,
1706109050000,0.0
1706109055000,0.0
1706109060000,153.0
1706109065000,274.0
1706109070000,205.0
1706109075000,276.0
1706109080000,311.0
1706109085000,353.0
1706109090000,389.0
1706109095000,401.0
1706109100000,408.0
1706109105000,425.0
1706109110000,424.0
1706109115000,480.0
1706109120000,506.0
1706109125000,505.0
1706109130000,533.0
1706109135000,529.0
1706109140000,532.0
1706109145000,530.0
1706109150000,518.0
1706109155000,525.0
1706109160000,535.0
1706109165000,530.0
1706109170000,537.0
1706109175000,538.0
1706109180000,536.0
1706109185000,539.0
1706109190000,553.0
1706109195000,557.0
1706109200000,564.0
1706109205000,569.0
1706109210000,565.0
1706109215000,569.0
1706109220000,559.0
1706109225000,561.0
1706109230000,569.0
1706109235000,561.0
1706109240000,568.0
1706109245000,567.0
1706109250000,572.0
1706109255000,555.0
1706109260000,569.0
1706109265000,570.0
1706109270000,573.0
1706109275000,577.0
1706109280000,595.0
1706109285000,598.0
1706109290000,599.0
1706109295000,599.0
1706109300000,599.0
1706109305000,595.0
1706109310000,598.0
1706109315000,624.0
1706109320000,604.0
1706109325000,579.0
1706109330000,
1706109370000,0.0
1706109375000,0.0
1706109380000,0.0
1706109385000,0.0
1706109390000,0.0
1706109395000,107.0
1706109400000,191.0
1706109405000,242.0
1706109410000,229.0
1706109415000,205.0
1706109420000,186.0
1706109425000,176.0
1706109430000,165.0
1706109435000,171.0
1706109440000,171.0
1706109445000,171.0
1706109450000,171.0
1706109455000,126.0
1706109460000,126.0
1706109465000,30.0
1706109470000,30.0
1706109475000,25.0
1706109480000,28.0
1706109485000,24.0
1706109490000,24.0
1706109495000,31.0
1706109500000,27.0
1706109505000,27.0
1706109510000,27.0
1706109515000,31.0
1706109520000,33.0
1706109525000,44.0
1706109530000,38.0
1706109535000,48.0
1706109540000,43.0
1706109545000,43.0
1706109550000,34.0
1706109555000,34.0
1706109560000,34.0
1706109565000,34.0
1706109570000,34.0
1706109575000,39.0
1706109580000,37.0
1706109585000,32.0
1706109590000,30.0
1706109595000,35.0
1706109600000,27.0
1706109605000,33.0
1706109610000,33.0
1706109615000,53.0
1706109620000,53.0
1706109625000,53.0
1706109630000,53.0
1706109635000,52.0
1706109640000,52.0
