,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1701874155000,0.0
1701874160000,0.0
1701874165000,0.0
1701874170000,0.0
1701874175000,53.0
1701874180000,42.0
1701874185000,186.0
1701874190000,291.0
1701874195000,386.0
1701874200000,448.0
1701874205000,559.0
1701874210000,599.0
1701874215000,687.0
1701874220000,768.0
1701874225000,913.0
1701874230000,993.0
1701874235000,1000.0
1701874240000,1000.0
1701874245000,1000.0
1701874250000,1000.0
1701874255000,1000.0
1701874260000,1000.0
1701874265000,1000.0
1701874270000,1000.0
1701874275000,1000.0
1701874280000,1000.0
1701874285000,1000.0
1701874290000,1000.0
1701874295000,1000.0
1701874300000,1000.0
1701874305000,1000.0
1701874310000,1000.0
1701874315000,1000.0
1701874320000,1000.0
1701874325000,1000.0
1701874330000,1000.0
1701874335000,1000.0
1701874340000,1000.0
1701874345000,1000.0
1701874350000,1000.0
1701874355000,1000.0
1701874360000,1000.0
1701874365000,1000.0
1701874370000,1000.0
1701874375000,1000.0
1701874380000,1000.0
1701874385000,1000.0
1701874390000,1000.0
1701874395000,1000.0
1701874400000,1000.0
1701874405000,1000.0
1701874410000,1000.0
1701874415000,1000.0
1701874420000,1000.0
1701874425000,1000.0
1701874430000,1000.0
1701874435000,1000.0
1701874440000,1000.0
1701874445000,1000.0
1701874450000,1000.0
1701874455000,1000.0
1701874460000,1000.0
1701874465000,1000.0
1701874470000,1000.0
1701874475000,1000.0
1701874480000,1000.0
1701874485000,1000.0
1701874490000,1000.0
1701874495000,1000.0
1701874500000,1000.0
1701874505000,1000.0
1701874510000,1000.0
1701874515000,1000.0
1701874520000,1000.0
1701874525000,1000.0
1701874530000,1000.0
1701874535000,1000.0
1701874540000,1000.0
1701874545000,1000.0
1701874550000,1000.0
1701874555000,1000.0
1701874560000,1000.0
1701874565000,1000.0
1701874570000,1000.0
1701874575000,1000.0
1701874580000,1000.0
1701874585000,1000.0
1701874590000,
1701874640000,0.0
1701874645000,0.0
1701874650000,0.0
1701874655000,0.0
1701874660000,166.0
1701874665000,346.0
1701874670000,439.0
1701874675000,500.0
1701874680000,537.0
1701874685000,605.0
1701874690000,635.0
1701874695000,677.0
1701874700000,700.0
1701874705000,776.0
1701874710000,868.0
1701874715000,942.0
1701874720000,969.0
1701874725000,963.0
1701874730000,989.0
1701874735000,985.0
1701874740000,1000.0
1701874745000,1000.0
1701874750000,1000.0
1701874755000,996.0
1701874760000,1000.0
1701874765000,1000.0
1701874770000,996.0
1701874775000,1000.0
1701874780000,1000.0
1701874785000,1000.0
1701874790000,1000.0
1701874795000,1000.0
1701874800000,1000.0
1701874805000,1000.0
1701874810000,1000.0
1701874815000,1000.0
1701874820000,1000.0
1701874825000,1000.0
1701874830000,1000.0
1701874835000,1000.0
1701874840000,1000.0
1701874845000,996.0
1701874850000,1000.0
1701874855000,1000.0
1701874860000,1000.0
1701874865000,1000.0
1701874870000,1000.0
1701874875000,1000.0
1701874880000,1000.0
1701874885000,1000.0
1701874890000,1000.0
1701874895000,1000.0
1701874900000,1000.0
1701874905000,1000.0
1701874910000,1000.0
1701874915000,1000.0
1701874920000,1000.0
1701874925000,1000.0
1701874930000,1000.0
1701874935000,1000.0
1701874940000,991.0
1701874945000,1000.0
1701874950000,978.0
1701874955000,991.0
1701874960000,963.0
1701874965000,966.0
1701874970000,975.0
1701874975000,981.0
1701874980000,983.0
1701874985000,976.0
1701874990000,997.0
1701874995000,981.0
1701875000000,1000.0
1701875005000,987.0
1701875010000,984.0
1701875015000,974.0
1701875020000,1000.0
1701875025000,993.0
1701875030000,1000.0
1701875035000,1000.0
1701875040000,1000.0
1701875045000,1000.0
1701875050000,1000.0
1701875055000,1000.0
1701875060000,996.0
1701875065000,1000.0
1701875070000,1000.0
1701875075000,1000.0
1701875080000,1000.0
1701875085000,1000.0
1701875090000,982.0
1701875095000,
1701875140000,0.0
1701875145000,0.0
1701875150000,288.0
1701875155000,325.0
1701875160000,269.0
1701875165000,291.0
1701875170000,315.0
1701875175000,406.0
1701875180000,485.0
1701875185000,516.0
1701875190000,552.0
1701875195000,586.0
1701875200000,607.0
1701875205000,682.0
1701875210000,705.0
1701875215000,746.0
1701875220000,810.0
1701875225000,855.0
1701875230000,889.0
1701875235000,884.0
1701875240000,867.0
1701875245000,869.0
1701875250000,865.0
1701875255000,878.0
1701875260000,890.0
1701875265000,893.0
1701875270000,907.0
1701875275000,918.0
1701875280000,929.0
1701875285000,943.0
1701875290000,943.0
1701875295000,941.0
1701875300000,941.0
1701875305000,948.0
1701875310000,952.0
1701875315000,935.0
1701875320000,927.0
1701875325000,921.0
1701875330000,916.0
1701875335000,916.0
1701875340000,921.0
1701875345000,910.0
1701875350000,913.0
1701875355000,915.0
1701875360000,931.0
1701875365000,931.0
1701875370000,924.0
1701875375000,917.0
1701875380000,917.0
1701875385000,914.0
1701875390000,899.0
1701875395000,886.0
1701875400000,859.0
1701875405000,852.0
1701875410000,856.0
1701875415000,849.0
1701875420000,837.0
1701875425000,841.0
1701875430000,846.0
1701875435000,853.0
1701875440000,857.0
1701875445000,862.0
1701875450000,868.0
1701875455000,872.0
1701875460000,880.0
1701875465000,880.0
1701875470000,883.0
1701875475000,888.0
1701875480000,889.0
1701875485000,879.0
1701875490000,876.0
1701875495000,879.0
1701875500000,870.0
1701875505000,867.0
