,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1701874155000,0.0,,,,,,,
1701874160000,0.0,,,,,,,
1701874165000,0.0,,,,,,,
1701874170000,30.75,,,,,,,
1701874175000,580.2333333333,,,,,,,
1701874180000,1385.35,,,,,,,
1701874185000,2846.9833333333,,,,,,,
1701874190000,4613.43333333,,,,,,,
1701874195000,5987.08333333,,,,,,,
1701874200000,7237.55,,,,,,,
1701874205000,8240.21666666,,,,,,,
1701874210000,9968.783333329999,,,,,,,
1701874215000,10962.58333333,,,,,,,
1701874220000,11978.6,,,,,,,
1701874225000,12867.633333329999,,,,,,,
1701874230000,14365.16666666,,,,,,,
1701874235000,15001.266666659998,,,,,,,
1701874240000,14934.66666666,,,,,,,
1701874245000,15325.6,,,,,,,
1701874250000,14797.41666666,,,,,,,
1701874255000,14000.033333329999,,,,,,,
1701874260000,14634.05,,,,,,,
1701874265000,15213.18333333,,,,,,,
1701874270000,13722.383333329999,,,,,,,
1701874275000,14040.716666659999,,,,,,,
1701874280000,14785.98333333,,,,,,,
1701874285000,15067.93333333,,,,,,,
1701874290000,14024.35,,,,,,,
1701874295000,14441.93333333,,,,,,,
1701874300000,15475.0,,,,,,,
1701874305000,14008.783333329999,,,,,,,
1701874310000,14154.616666659998,,,,,,,
1701874315000,15017.41666666,,,,,,,
1701874320000,14738.383333329999,,,,,,,
1701874325000,13542.08333333,,,,,,,
1701874330000,14713.68333333,,,,,,,
1701874335000,15246.366666659998,,,,,,,
1701874340000,14857.33333333,,,,,,,
1701874345000,14558.383333329999,,,,,,,
1701874350000,14862.35,,,,,,,
1701874355000,15087.8,,,,,,,
1701874360000,14954.35,,,,,,,
1701874365000,15179.533333329999,,,,,,,
