,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4
Timestamp,,,,,
1706109700000,1000.0,,,,
1706109705000,357.0,,,,
1706109710000,175.0,,,,
1706109715000,151.0,,,,
1706109720000,109.0,,,,
1706109725000,86.0,,,,
1706109730000,72.0,,,,
1706109735000,63.0,,,,
1706109740000,57.0,,,,
1706109745000,51.0,,,,
1706109750000,44.0,,,,
1706109755000,40.0,,,,
1706109760000,37.0,,,,
1706109765000,10.0,,,,
1706109770000,63.0,,,,
1706109775000,101.0,,,,
1706109780000,181.0,,,,
1706109785000,264.0,,,,
1706109790000,348.0,,,,
1706109795000,430.0,,,,
1706109800000,513.0,,,,
1706109805000,596.0,,,,
1706109810000,681.0,,,,
1706109815000,764.0,,,,
1706109820000,847.0,,,,
1706109825000,928.0,,,,
1706109830000,959.0,,,,
1706109835000,996.0,,,,
1706109840000,1000.0,,,,
1706109845000,1000.0,,,,
1706109850000,1000.0,,,,
1706109855000,1000.0,,,,
1706109860000,1000.0,,,,
1706109865000,1000.0,,,,
1706109870000,1000.0,,,,
1706109875000,1000.0,,,,
1706109880000,1000.0,,,,
1706109885000,1000.0,,,,
1706109890000,1000.0,,,,
1706109895000,1000.0,,,,
1706109900000,1000.0,,,,
1706109905000,1000.0,,,,
1706109910000,1000.0,,,,
1706109915000,1000.0,,,,
1706109920000,1000.0,,,,
1706109925000,1000.0,,,,
1706109930000,1000.0,,,,
1706109935000,1000.0,,,,
1706109940000,1000.0,,,,
1706109945000,1000.0,,,,
1706109950000,1000.0,,,,
1706109955000,1000.0,,,,
1706109960000,1000.0,,,,
1706109965000,1000.0,,,,
1706109970000,1000.0,,,,
1706109975000,1000.0,,,,
1706109980000,1000.0,,,,
1706109985000,1000.0,,,,
1706109990000,1000.0,,,,
1706109995000,1000.0,,,,
1706110000000,1000.0,,,,
1706110005000,,,,,
1706110055000,1000.0,,,,
1706110060000,866.0,583.0,,,
1706110065000,905.0,675.0,,,
1706110070000,937.0,533.0,,,
1706110075000,953.0,524.0,,,
1706110080000,962.0,522.0,,,
1706110085000,969.0,553.0,,,
1706110090000,973.0,553.0,,,
1706110095000,977.0,555.0,,,
1706110100000,979.0,576.0,,,
1706110105000,981.0,591.0,,,
1706110110000,983.0,594.0,,,
1706110115000,985.0,612.0,,,
1706110120000,996.0,628.0,,,
1706110125000,1000.0,617.0,,,
1706110130000,1000.0,650.0,,,
1706110135000,1000.0,671.0,,,
1706110140000,1000.0,685.0,,,
1706110145000,1000.0,696.0,,,
1706110150000,1000.0,715.0,,,
1706110155000,1000.0,728.0,,,
1706110160000,1000.0,728.0,,,
1706110165000,1000.0,725.0,,,
1706110170000,1000.0,743.0,,,
1706110175000,1000.0,730.0,,,
1706110180000,1000.0,722.0,,,
1706110185000,1000.0,730.0,,,
1706110190000,1000.0,743.0,,,
1706110195000,1000.0,731.0,,,
1706110200000,1000.0,727.0,,,
1706110205000,1000.0,719.0,,,
1706110210000,1000.0,716.0,,,
1706110215000,1000.0,710.0,,,
1706110220000,1000.0,709.0,,,
1706110225000,1000.0,718.0,,,
1706110230000,1000.0,700.0,,,
1706110235000,1000.0,705.0,,,
1706110240000,1000.0,713.0,,,
1706110245000,1000.0,704.0,,,
1706110250000,1000.0,688.0,,,
1706110255000,1000.0,703.0,,,
1706110260000,1000.0,715.0,,,
1706110265000,1000.0,707.0,,,
1706110270000,1000.0,686.0,,,
1706110275000,1000.0,696.0,,,
1706110280000,1000.0,700.0,,,
1706110285000,1000.0,692.0,,,
1706110290000,1000.0,690.0,,,
1706110295000,1000.0,697.0,,,
1706110300000,1000.0,695.0,,,
1706110305000,1000.0,709.0,,,
1706110310000,1000.0,721.0,,,
1706110315000,1000.0,705.0,,,
1706110320000,1000.0,712.0,,,
1706110325000,1000.0,727.0,,,
1706110330000,,,,,
1706110380000,1000.0,1000.0,1000.0,,
1706110385000,793.0,622.0,495.0,,
1706110390000,816.0,615.0,537.0,,
1706110395000,877.0,572.0,480.0,,
1706110400000,908.0,500.0,446.0,,
1706110405000,927.0,463.0,486.0,,
1706110410000,939.0,459.0,516.0,,
1706110415000,948.0,496.0,542.0,,
1706110420000,954.0,502.0,537.0,,
1706110425000,959.0,515.0,547.0,,
1706110430000,964.0,530.0,561.0,,
1706110435000,967.0,543.0,567.0,,
1706110440000,970.0,550.0,567.0,,
1706110445000,987.0,558.0,581.0,,
1706110450000,1000.0,558.0,585.0,,
1706110455000,1000.0,571.0,609.0,,
1706110460000,1000.0,587.0,619.0,,
1706110465000,1000.0,624.0,630.0,,
1706110470000,1000.0,639.0,632.0,,
1706110475000,1000.0,637.0,636.0,,
1706110480000,1000.0,651.0,651.0,,
1706110485000,1000.0,655.0,651.0,,
1706110490000,1000.0,668.0,647.0,,
1706110495000,1000.0,665.0,646.0,,
1706110500000,1000.0,673.0,652.0,,
1706110505000,1000.0,666.0,651.0,,
1706110510000,1000.0,667.0,650.0,,
1706110515000,1000.0,670.0,648.0,,
1706110520000,1000.0,685.0,661.0,,
1706110525000,1000.0,670.0,651.0,,
1706110530000,1000.0,667.0,641.0,,
1706110535000,1000.0,667.0,640.0,,
1706110540000,1000.0,668.0,647.0,,
1706110545000,1000.0,665.0,645.0,,
1706110550000,1000.0,654.0,648.0,,
1706110555000,1000.0,660.0,654.0,,
1706110560000,1000.0,659.0,660.0,,
1706110565000,1000.0,670.0,663.0,,
1706110570000,1000.0,675.0,672.0,,
1706110575000,1000.0,672.0,671.0,,
1706110580000,1000.0,675.0,669.0,,
1706110585000,1000.0,686.0,674.0,,
1706110590000,999.0,680.0,672.0,,
1706110595000,999.0,685.0,672.0,,
1706110600000,999.0,680.0,664.0,,
1706110605000,999.0,686.0,675.0,,
1706110610000,998.0,690.0,680.0,,
1706110615000,998.0,704.0,689.0,,
1706110620000,998.0,696.0,685.0,,
1706110625000,998.0,692.0,689.0,,
1706110630000,999.0,692.0,689.0,,
1706110635000,999.0,699.0,698.0,,
1706110640000,999.0,703.0,708.0,,
1706110645000,999.0,694.0,698.0,,
1706110650000,1000.0,709.0,,,
1706110655000,,,1000.0,,
1706110660000,1000.0,555.0,546.0,,
1706110665000,,,,,
1706110710000,1000.0,1000.0,1000.0,1000.0,
1706110715000,821.0,642.0,540.0,577.0,
1706110720000,781.0,450.0,369.0,383.0,
1706110725000,797.0,392.0,365.0,346.0,
1706110730000,848.0,418.0,451.0,451.0,
1706110735000,878.0,363.0,398.0,395.0,
1706110740000,899.0,376.0,426.0,409.0,
1706110745000,913.0,423.0,463.0,445.0,
1706110750000,924.0,442.0,486.0,469.0,
1706110755000,933.0,474.0,519.0,495.0,
1706110760000,939.0,484.0,519.0,504.0,
1706110765000,945.0,497.0,533.0,516.0,
1706110770000,950.0,523.0,560.0,542.0,
1706110775000,965.0,512.0,567.0,535.0,
1706110780000,986.0,558.0,613.0,580.0,
1706110785000,1000.0,590.0,648.0,609.0,
1706110790000,1000.0,612.0,647.0,608.0,
1706110795000,1000.0,651.0,687.0,648.0,
1706110800000,1000.0,673.0,702.0,668.0,
1706110805000,1000.0,679.0,716.0,677.0,
1706110810000,1000.0,685.0,727.0,694.0,
1706110815000,1000.0,681.0,720.0,696.0,
1706110820000,1000.0,705.0,738.0,709.0,
1706110825000,1000.0,720.0,741.0,712.0,
1706110830000,1000.0,705.0,723.0,702.0,
1706110835000,1000.0,729.0,732.0,727.0,
1706110840000,1000.0,721.0,732.0,723.0,
1706110845000,999.0,724.0,722.0,724.0,
1706110850000,999.0,719.0,726.0,720.0,
1706110855000,999.0,735.0,735.0,726.0,
1706110860000,999.0,737.0,729.0,720.0,
1706110865000,999.0,726.0,710.0,713.0,
1706110870000,1000.0,727.0,698.0,696.0,
1706110875000,1000.0,731.0,707.0,698.0,
1706110880000,1000.0,718.0,703.0,699.0,
1706110885000,1000.0,713.0,701.0,698.0,
1706110890000,1000.0,720.0,704.0,699.0,
1706110895000,1000.0,720.0,711.0,691.0,
1706110900000,1000.0,720.0,712.0,689.0,
1706110905000,1000.0,729.0,728.0,695.0,
1706110910000,1000.0,719.0,718.0,689.0,
