,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4
Timestamp,,,,,
1706109695000,0.0,,,,
1706109700000,0.0,,,,
1706109705000,0.0,,,,
1706109710000,0.0,,,,
1706109715000,0.0,,,,
1706109720000,0.0,,,,
1706109725000,0.0,,,,
1706109730000,0.0,,,,
1706109735000,0.0,,,,
1706109740000,0.0,,,,
1706109745000,0.0,,,,
1706109750000,0.0,,,,
1706109755000,0.0,,,,
1706109760000,0.0,,,,
1706109765000,672.35,,,,
1706109770000,672.35,,,,
1706109775000,1232.7166666666,,,,
1706109780000,2517.2333333333,,,,
1706109785000,4097.56666667,,,,
1706109790000,5702.6,,,,
1706109795000,7616.4,,,,
1706109800000,9376.21666666,,,,
1706109805000,10437.36666666,,,,
1706109810000,13071.366666659998,,,,
1706109815000,13071.366666659998,,,,
1706109820000,14890.68333333,,,,
1706109825000,15313.75,,,,
1706109830000,16729.6,,,,
1706109835000,16176.58333333,,,,
1706109840000,16611.566666659997,,,,
1706109845000,16063.33333333,,,,
1706109850000,15040.383333329999,,,,
1706109855000,15049.16666666,,,,
1706109860000,13691.216666659999,,,,
1706109865000,13701.6,,,,
1706109870000,12557.6,,,,
1706109875000,14209.15,,,,
1706109880000,13019.55,,,,
1706109885000,13819.25,,,,
1706109890000,13330.66666666,,,,
1706109895000,14942.266666659998,,,,
1706109900000,14795.31666666,,,,
1706109905000,14522.15,,,,
1706109910000,14848.35,,,,
1706109915000,14542.05,,,,
1706109920000,15951.58333333,,,,
1706109925000,16136.5,,,,
1706109930000,15292.06666666,,,,
1706109935000,15123.7,,,,
1706109940000,15819.5,,,,
1706109945000,16204.93333333,,,,
1706109950000,16370.283333329999,,,,
1706109955000,16332.68333333,,,,
1706109960000,15374.45,,,,
1706109965000,15660.83333333,,,,
1706109970000,16456.6,,,,
1706109975000,16227.7,,,,
1706109980000,16080.8,,,,
1706109985000,15832.73333333,,,,
1706109990000,16221.766666659998,,,,
1706109995000,16118.16666666,,,,
1706110000000,16440.71666666,,,,
1706110005000,,,,,
1706110055000,0.0,0.0,,,
1706110060000,0.0,0.0,,,
1706110065000,3.75,165.5,,,
1706110070000,581.1833333333,748.2666666666,,,
1706110075000,1536.6666666666,1706.0166666666,,,
1706110080000,2500.1666666666,2622.0,,,
1706110085000,3343.13333333,3601.66666667,,,
1706110090000,4332.71666667,4448.16666667,,,
1706110095000,5607.35,5606.43333333,,,
1706110100000,6330.25,6355.78333333,,,
1706110105000,7379.56666666,7419.933333329999,,,
1706110110000,8544.81666666,8664.15,,,
1706110115000,9591.8,9591.23333333,,,
1706110120000,10395.25,10578.23333333,,,
1706110125000,11612.016666659998,11591.966666659999,,,
1706110130000,12459.48333333,12291.55,,,
1706110135000,12309.16666666,12210.533333329999,,,
1706110140000,12643.716666659999,12599.48333333,,,
1706110145000,12829.65,12593.83333333,,,
1706110150000,12727.75,12877.766666659998,,,
1706110155000,12894.216666659999,12957.8,,,
1706110160000,13099.31666666,13142.83333333,,,
1706110165000,13596.43333333,13627.033333329999,,,
1706110170000,13207.65,13187.5,,,
1706110175000,13183.516666659998,13243.283333329999,,,
1706110180000,14101.8,14049.466666659999,,,
1706110185000,13923.216666659999,13924.466666659999,,,
1706110190000,13301.81666666,13449.73333333,,,
1706110195000,13773.016666659998,13916.65,,,
1706110200000,13840.766666659998,13908.516666659998,,,
1706110205000,13636.516666659998,13753.966666659999,,,
1706110210000,13802.366666659998,13693.23333333,,,
1706110215000,13851.15,14028.783333329999,,,
1706110220000,13830.4,13930.56666666,,,
1706110225000,13355.466666659999,13485.016666659998,,,
1706110230000,14093.05,14206.65,,,
1706110235000,13985.98333333,14115.383333329999,,,
1706110240000,13266.283333329999,13439.05,,,
1706110245000,13234.75,13396.06666666,,,
1706110250000,13880.48333333,13960.73333333,,,
1706110255000,13583.016666659998,13589.516666659998,,,
1706110260000,13261.43333333,13317.91666666,,,
1706110265000,14118.93333333,14448.533333329999,,,
1706110270000,16147.55,16099.033333329999,,,
1706110275000,15671.43333333,15713.866666659998,,,
1706110280000,15636.6,15699.4,,,
1706110285000,15615.116666659998,15694.83333333,,,
1706110290000,15667.216666659999,15718.45,,,
1706110295000,15498.33333333,15578.033333329999,,,
1706110300000,15844.116666659998,15815.06666666,,,
1706110305000,15808.0,15790.98333333,,,
1706110310000,15449.366666659998,15650.616666659998,,,
1706110315000,15787.7,15852.43333333,,,
1706110320000,15584.06666666,15676.216666659999,,,
1706110325000,15444.43333333,15253.35,,,
1706110330000,,,,,
1706110375000,,,0.0,,
1706110380000,0.0,0.0,0.0,,
1706110385000,0.0,0.0,0.0,,
1706110390000,126.7166666666,137.65,128.9666666666,,
1706110395000,126.7166666666,298.2166666666,282.1666666666,,
1706110400000,731.0166666666,746.8166666666,711.5333333333,,
1706110405000,1023.45,1303.6833333333,1213.2,,
1706110410000,1788.9166666666,1961.2,1861.4333333332997,,
1706110415000,2475.2833333332997,2770.8333333333,2594.0333333332997,,
1706110420000,3546.31666667,3640.16666667,3472.56666667,,
1706110425000,4371.81666667,4714.58333333,4482.23333333,,
1706110430000,5284.75,5643.16666667,5364.98333333,,
1706110435000,6480.28333333,6695.1,6363.366666670001,,
1706110440000,7622.65,7768.5,7385.6,,
1706110445000,8559.45,8758.16666666,8325.35,,
1706110450000,8977.25,9407.61666666,8948.56666666,,
1706110455000,10078.7,10297.76666666,9666.43333333,,
1706110460000,10429.05,10825.5,10244.68333333,,
1706110465000,10843.61666666,11074.65,10558.45,,
1706110470000,11077.81666666,11441.48333333,10882.15,,
1706110475000,11661.45,11921.0,11377.11666666,,
1706110480000,11568.266666659998,11786.616666659998,11219.73333333,,
1706110485000,11934.55,11890.883333329999,11311.8,,
1706110490000,11955.266666659998,12083.55,11490.23333333,,
1706110495000,11481.16666666,11780.766666659998,11101.71666666,,
1706110500000,11532.716666659999,12063.56666666,11231.83333333,,
1706110505000,12106.366666659998,12372.883333329999,11764.133333329999,,
1706110510000,12686.033333329999,12720.516666659998,12096.33333333,,
1706110515000,12032.033333329999,12391.25,11910.966666659999,,
1706110520000,12246.783333329999,12365.766666659998,11813.93333333,,
1706110525000,12698.766666659998,12709.6,12087.0,,
1706110530000,12782.33333333,12791.45,12164.716666659999,,
1706110535000,12515.16666666,12611.15,11987.81666666,,
1706110540000,12666.68333333,12971.41666666,12310.783333329999,,
1706110545000,12565.48333333,13089.65,12374.65,,
1706110550000,13059.0,13301.5,12625.7,,
1706110555000,13140.83333333,13564.33333333,12937.783333329999,,
1706110560000,12910.85,12960.45,12713.0,,
1706110565000,12471.65,13002.283333329999,12369.533333329999,,
1706110570000,12515.16666666,13060.85,12381.2,,
1706110575000,13366.533333329999,13421.81666666,12761.06666666,,
1706110580000,13474.616666659998,13806.48333333,13122.7,,
1706110585000,13293.4,13615.73333333,12945.18333333,,
1706110590000,13298.43333333,13636.41666666,12968.15,,
1706110595000,13158.93333333,13650.216666659999,12945.7,,
1706110600000,13301.81666666,13715.0,13042.23333333,,
1706110605000,13520.75,13691.633333329999,13080.81666666,,
1706110610000,13226.3,13545.73333333,12908.08333333,,
1706110615000,13506.31666666,13623.3,13043.85,,
1706110620000,13680.716666659999,14042.9,13210.95,,
1706110625000,13334.633333329999,13569.73333333,12857.75,,
1706110630000,13452.5,13714.98333333,13041.116666659998,,
1706110635000,13328.0,13628.0,12963.05,,
1706110640000,12962.91666666,13448.033333329999,12785.866666659998,,
1706110645000,13084.73333333,13415.18333333,12758.116666659998,,
1706110650000,13187.25,13727.05,0.0,,
1706110655000,0.0,0.0,0.0,,
1706110660000,860.1333333333,874.7333333333,825.65,,
1706110665000,,,,,
1706110705000,,,0.0,,
1706110710000,0.0,0.0,0.0,0.0,
1706110715000,0.0,0.0,0.0,0.0,
1706110720000,182.6166666666,221.6333333333,245.3166666666,215.6333333333,
1706110725000,639.6333333333,655.7833333333,663.3,652.15,
1706110730000,639.6333333333,888.9,897.95,881.8166666666,
1706110735000,991.2666666666,1252.6166666666,1296.15,1242.5333333333,
1706110740000,2218.1166666666,2260.1833333332997,2498.95,2218.9666666666,
