,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701850960000,0.0,,,,,,,,
1701850965000,0.0,,,,,,,,
1701850970000,0.0,,,,,,,,
1701850975000,0.0,,,,,,,,
1701850980000,441.5333333333,,,,,,,,
1701850985000,726.3,,,,,,,,
1701850990000,1393.7166666666,,,,,,,,
1701850995000,2559.35,,,,,,,,
1701851000000,4001.2,,,,,,,,
1701851005000,5759.9,,,,,,,,
1701851010000,8212.26666666,,,,,,,,
1701851015000,8230.86666666,,,,,,,,
1701851020000,11172.133333329999,,,,,,,,
1701851025000,11172.133333329999,,,,,,,,
1701851030000,13760.35,,,,,,,,
1701851035000,13760.35,,,,,,,,
1701851040000,15416.25,,,,,,,,
1701851045000,15131.48333333,,,,,,,,
1701851050000,16245.0,,,,,,,,
1701851055000,15857.116666659998,,,,,,,,
1701851060000,15587.25,,,,,,,,
1701851065000,15618.35,,,,,,,,
1701851070000,14164.033333329999,,,,,,,,
1701851075000,14614.216666659999,,,,,,,,
1701851080000,13485.383333329999,,,,,,,,
1701851085000,15109.216666659999,,,,,,,,
1701851090000,13077.966666659999,,,,,,,,
1701851095000,14244.05,,,,,,,,
1701851100000,13825.18333333,,,,,,,,
1701851105000,15518.866666659998,,,,,,,,
1701851110000,14718.31666666,,,,,,,,
1701851115000,14869.116666659998,,,,,,,,
1701851120000,15224.91666666,,,,,,,,
1701851125000,15005.48333333,,,,,,,,
1701851130000,15662.31666666,,,,,,,,
1701851135000,15334.633333329999,,,,,,,,
1701851140000,15079.23333333,,,,,,,,
1701851145000,15423.866666659998,,,,,,,,
1701851150000,16437.53333333,,,,,,,,
1701851155000,16293.783333329999,,,,,,,,
1701851160000,15520.2,,,,,,,,
1701851165000,15175.133333329999,,,,,,,,
1701851170000,15833.23333333,,,,,,,,
1701851175000,16290.55,,,,,,,,
1701851180000,15606.1,,,,,,,,
1701851185000,15254.533333329999,,,,,,,,
1701851190000,15447.05,,,,,,,,
1701851195000,16813.91666666,,,,,,,,
