Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 8)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,1000.0,,,,,,,,,0.0,0.0,22464.0,91.0,1
5,0.0,,,,,,,,,321.0,,,,,,,,,0.0,0.0,22464.0,85.0,1
10,0.0,,,,,,,,,170.0,,,,,,,,,0.0,0.0,378921.0,1893.0,1
15,0.0,,,,,,,,,112.0,,,,,,,,,0.0,0.0,1754269.0,812.0,1
20,441.5333333333,,,,,,,,,237.0,,,,,,,,,29.0,43.0,1884221.0,589.0,1
25,726.3,,,,,,,,,259.0,,,,,,,,,76.0,35.0,2316848.0,2086.0,1
30,1393.7166666666,,,,,,,,,357.0,,,,,,,,,188.0,147.0,2122416.0,2393.0,1
35,2559.35,,,,,,,,,445.0,,,,,,,,,342.0,315.0,5891433.0,989.0,1
40,4001.2,,,,,,,,,511.0,,,,,,,,,479.0,463.0,5069945.0,2498.0,1
45,5759.9,,,,,,,,,564.0,,,,,,,,,604.0,589.0,5069945.0,2498.0,1
50,8212.26666666,,,,,,,,,608.0,,,,,,,,,683.0,672.0,6718313.0,1171.0,1
55,8230.86666666,,,,,,,,,643.0,,,,,,,,,721.0,711.0,6718313.0,1171.0,1
60,11172.133333329999,,,,,,,,,673.0,,,,,,,,,730.0,721.0,3790875.0,894.0,1
65,11172.133333329999,,,,,,,,,730.0,,,,,,,,,813.0,805.0,3790875.0,894.0,1
70,13760.35,,,,,,,,,811.0,,,,,,,,,985.0,978.0,10795966.0,1370.0,1
75,13760.35,,,,,,,,,895.0,,,,,,,,,1000.0,1000.0,10795966.0,1370.0,1
80,15416.25,,,,,,,,,928.0,,,,,,,,,1000.0,1000.0,8059420.0,1078.0,1
85,15131.48333333,,,,,,,,,982.0,,,,,,,,,1000.0,1000.0,10929029.0,5498.0,1
90,16245.0,,,,,,,,,995.0,,,,,,,,,1000.0,1000.0,12699895.0,1349.0,1
95,15857.116666659998,,,,,,,,,997.0,,,,,,,,,1000.0,1000.0,8130435.0,1244.0,1
100,15587.25,,,,,,,,,999.0,,,,,,,,,1000.0,1000.0,11090909.0,4086.0,1
105,15618.35,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12933518.0,1348.0,1
110,14164.033333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,6059820.0,2686.0,1
115,14614.216666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,11546291.0,1214.0,1
120,13485.383333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,14062289.0,4692.0,1
125,15109.216666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,4242947.0,913.0,1
130,13077.966666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,7038663.0,3186.0,1
135,14244.05,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12138360.0,1358.0,1
140,13825.18333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,6383424.0,3811.0,1
145,15518.866666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8069223.0,1016.0,1
150,14718.31666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10758235.0,2696.0,1
155,14869.116666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,4640228.0,781.0,1
160,15224.91666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,7150919.0,3386.0,1
165,15005.48333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10461767.0,1436.0,1
170,15662.31666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12439536.0,2988.0,1
175,15334.633333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,7735004.0,891.0,1
180,15079.23333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,11069544.0,2885.0,1
