,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1704790465000,0.0
1704790470000,0.0
1704790475000,0.0
1704790480000,0.0
1704790485000,0.0
1704790490000,40.0
1704790495000,79.0
1704790500000,135.0
1704790505000,255.0
1704790510000,345.0
1704790515000,465.0
1704790520000,515.0
1704790525000,580.0
1704790530000,610.0
1704790535000,738.0
1704790540000,820.0
1704790545000,972.0
1704790550000,1000.0
1704790555000,1000.0
1704790560000,1000.0
1704790565000,1000.0
1704790570000,1000.0
1704790575000,1000.0
1704790580000,1000.0
1704790585000,1000.0
1704790590000,1000.0
1704790595000,1000.0
1704790600000,1000.0
1704790605000,1000.0
1704790610000,1000.0
1704790615000,1000.0
1704790620000,1000.0
1704790625000,1000.0
1704790630000,1000.0
1704790635000,1000.0
1704790640000,1000.0
1704790645000,1000.0
1704790650000,1000.0
1704790655000,1000.0
1704790660000,1000.0
1704790665000,1000.0
1704790670000,1000.0
1704790675000,
1704790725000,0.0
1704790730000,0.0
1704790735000,0.0
1704790740000,138.0
1704790745000,338.0
1704790750000,455.0
1704790755000,543.0
1704790760000,607.0
1704790765000,659.0
1704790770000,687.0
1704790775000,703.0
1704790780000,722.0
1704790785000,732.0
1704790790000,814.0
1704790795000,909.0
1704790800000,944.0
1704790805000,944.0
1704790810000,952.0
1704790815000,970.0
1704790820000,964.0
1704790825000,952.0
1704790830000,948.0
1704790835000,948.0
1704790840000,956.0
1704790845000,997.0
1704790850000,995.0
1704790855000,982.0
1704790860000,1000.0
1704790865000,1000.0
1704790870000,1000.0
1704790875000,1000.0
1704790880000,1000.0
1704790885000,1000.0
1704790890000,1000.0
1704790895000,1000.0
1704790900000,1000.0
1704790905000,1000.0
1704790910000,1000.0
1704790915000,1000.0
1704790920000,1000.0
1704790925000,1000.0
1704790930000,1000.0
1704790935000,1000.0
1704790940000,1000.0
1704790945000,
1704790985000,0.0
1704790990000,0.0
1704790995000,0.0
1704791000000,189.0
1704791005000,350.0
1704791010000,348.0
1704791015000,374.0
1704791020000,440.0
1704791025000,499.0
1704791030000,533.0
1704791035000,566.0
1704791040000,598.0
1704791045000,638.0
1704791050000,658.0
1704791055000,729.0
1704791060000,777.0
1704791065000,802.0
1704791070000,845.0
1704791075000,875.0
1704791080000,893.0
1704791085000,892.0
1704791090000,901.0
1704791095000,899.0
1704791100000,903.0
1704791105000,895.0
1704791110000,895.0
1704791115000,901.0
1704791120000,901.0
1704791125000,891.0
1704791130000,893.0
1704791135000,894.0
1704791140000,885.0
1704791145000,878.0
1704791150000,874.0
1704791155000,877.0
1704791160000,872.0
1704791165000,863.0
1704791170000,858.0
1704791175000,855.0
1704791180000,852.0
1704791185000,851.0
1704791190000,855.0
1704791195000,863.0
1704791200000,873.0
1704791205000,
1704791210000,0.0
1704791215000,
1704791265000,0.0
1704791270000,0.0
1704791275000,0.0
1704791280000,224.0
1704791285000,389.0
1704791290000,391.0
1704791295000,409.0
1704791300000,417.0
1704791305000,453.0
1704791310000,474.0
1704791315000,509.0
1704791320000,537.0
1704791325000,562.0
1704791330000,583.0
1704791335000,648.0
1704791340000,673.0
1704791345000,668.0
1704791350000,703.0
1704791355000,737.0
1704791360000,765.0
1704791365000,766.0
1704791370000,773.0
1704791375000,773.0
1704791380000,767.0
1704791385000,766.0
1704791390000,767.0
1704791395000,764.0
1704791400000,766.0
1704791405000,778.0
1704791410000,772.0
1704791415000,764.0
1704791420000,752.0
1704791425000,752.0
1704791430000,761.0
1704791435000,765.0
1704791440000,771.0
1704791445000,768.0
1704791450000,756.0
1704791455000,770.0
1704791460000,787.0
1704791465000,756.0
1704791470000,731.0
1704791475000,730.0
1704791480000,737.0
1704791485000,
1704791525000,0.0
1704791530000,0.0
1704791535000,0.0
1704791540000,244.0
1704791545000,308.0
1704791550000,411.0
1704791555000,464.0
1704791560000,522.0
1704791565000,550.0
1704791570000,567.0
1704791575000,580.0
1704791580000,585.0
1704791585000,589.0
1704791590000,647.0
1704791595000,711.0
1704791600000,716.0
1704791605000,724.0
1704791610000,717.0
1704791615000,716.0
1704791620000,709.0
1704791625000,703.0
1704791630000,707.0
1704791635000,713.0
1704791640000,727.0
1704791645000,731.0
1704791650000,739.0
1704791655000,739.0
1704791660000,739.0
1704791665000,753.0
1704791670000,747.0
1704791675000,749.0
1704791680000,749.0
1704791685000,752.0
1704791690000,751.0
1704791695000,738.0
1704791700000,714.0
1704791705000,717.0
1704791710000,703.0
1704791715000,703.0
1704791720000,703.0
1704791725000,700.0
1704791730000,707.0
1704791735000,718.0
1704791740000,
1704791785000,0.0
1704791790000,0.0
1704791795000,0.0
1704791800000,0.0
1704791805000,0.0
1704791810000,63.0
1704791815000,246.0
1704791820000,350.0
1704791825000,410.0
1704791830000,440.0
1704791835000,477.0
1704791840000,510.0
1704791845000,542.0
1704791850000,565.0
1704791855000,627.0
1704791860000,694.0
1704791865000,757.0
1704791870000,799.0
1704791875000,779.0
1704791880000,770.0
1704791885000,767.0
1704791890000,779.0
1704791895000,782.0
1704791900000,777.0
1704791905000,769.0
1704791910000,766.0
1704791915000,771.0
1704791920000,772.0
1704791925000,745.0
1704791930000,727.0
1704791935000,745.0
1704791940000,742.0
1704791945000,742.0
1704791950000,743.0
1704791955000,744.0
1704791960000,756.0
1704791965000,754.0
1704791970000,758.0
1704791975000,764.0
