Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,1135.9166666666,,,,,,,285.0,,,,,,,147.0,123.0,1430174.0,360.0,1
5,2579.2333333333,,,,,,,329.0,,,,,,,157.0,190.0,1430174.0,258.0,1
10,4776.86666667,,,,,,,410.0,,,,,,,252.0,284.0,3214127.0,1134.0,1
15,8307.13333333,,,,,,,475.0,,,,,,,310.0,347.0,3692840.0,934.0,1
20,10783.78333333,,,,,,,527.0,,,,,,,374.0,403.0,8608075.0,1235.0,1
25,13138.75,,,,,,,570.0,,,,,,,418.0,449.0,13996904.0,1734.0,1
30,15659.35,,,,,,,606.0,,,,,,,456.0,487.0,18615579.0,2017.0,1
35,18841.95,,,,,,,653.0,,,,,,,523.0,565.0,9070746.0,1034.0,1
40,20560.78333333,,,,,,,673.0,,,,,,,544.0,600.0,18288702.0,1736.0,1
45,22135.78333333,,,,,,,722.0,,,,,,,595.0,660.0,22407959.0,2137.0,1
50,25512.13333333,,,,,,,806.0,,,,,,,676.0,759.0,9811177.0,1135.0,1
55,28741.8,,,,,,,881.0,,,,,,,740.0,837.0,14959397.0,2811.0,1
60,30481.78333333,,,,,,,964.0,,,,,,,816.0,913.0,23071647.0,2035.0,1
65,32629.23333333,,,,,,,997.0,,,,,,,873.0,947.0,10109868.0,1035.0,1
70,33544.5,,,,,,,1000.0,,,,,,,866.0,955.0,15383066.0,1448.0,1
75,32365.45,,,,,,,1000.0,,,,,,,869.0,959.0,21466846.0,2713.0,1
80,33432.91666666,,,,,,,1000.0,,,,,,,852.0,960.0,8901348.0,1140.0,1
85,33948.08333333,,,,,,,1000.0,,,,,,,853.0,961.0,15360139.0,2236.0,1
90,34322.58333333,,,,,,,1000.0,,,,,,,857.0,972.0,19408324.0,1497.0,1
95,34648.86666666,,,,,,,1000.0,,,,,,,856.0,968.0,25272382.0,3240.0,1
415,806.2833333333,447.4833333333,,,,,,871.0,266.0,,,,,,478.0,330.0,,,2
420,1919.1833333333,986.0333333333,,,,,,914.0,363.0,,,,,,729.0,551.0,8441521.0,,2
425,3826.31666667,1816.9666666666,,,,,,936.0,347.0,,,,,,749.0,602.0,8441521.0,2384.0,2
430,6488.55,3169.0666666666,,,,,,949.0,369.0,,,,,,763.0,652.0,11671638.0,1942.0,2
435,9958.8,4818.93333333,,,,,,957.0,371.0,,,,,,755.0,671.0,5338695.0,1059.0,2
440,12834.033333329999,6204.2,,,,,,964.0,384.0,,,,,,749.0,698.0,14834659.0,1575.0,2
445,15682.7,7589.15,,,,,,968.0,388.0,,,,,,763.0,704.0,15643448.0,2487.0,2
450,18727.4,9159.633333329999,,,,,,972.0,386.0,,,,,,762.0,706.0,10840483.0,1288.0,2
455,22042.08333333,10633.46666666,,,,,,975.0,377.0,,,,,,774.0,709.0,19048229.0,2286.0,2
460,24193.48333333,11698.93333333,,,,,,977.0,389.0,,,,,,782.0,720.0,24054444.0,1786.0,2
465,27079.41666666,13123.48333333,,,,,,979.0,389.0,,,,,,781.0,719.0,16528487.0,1792.0,2
470,29905.633333330003,14422.883333329999,,,,,,1000.0,416.0,,,,,,828.0,774.0,23250128.0,1520.0,2
475,31179.433333330002,15019.516666659998,,,,,,1000.0,402.0,,,,,,836.0,784.0,30988818.0,2258.0,2
480,33732.7,16295.1,,,,,,1000.0,394.0,,,,,,792.0,770.0,22603608.0,1466.0,2
485,34878.75,16891.266666659998,,,,,,1000.0,411.0,,,,,,791.0,767.0,32065506.0,2285.0,2
490,35109.45,16941.65,,,,,,1000.0,404.0,,,,,,789.0,746.0,39309863.0,1699.0,2
495,35080.45,17002.65,,,,,,1000.0,406.0,,,,,,790.0,749.0,46279146.0,2585.0,2
500,34589.8,16823.7,,,,,,1000.0,404.0,,,,,,801.0,743.0,30618691.0,1890.0,2
505,34638.483333330005,16849.38333333,,,,,,1000.0,405.0,,,,,,799.0,754.0,44602153.0,2184.0,2
510,34353.63333333,16499.766666659998,,,,,,1000.0,403.0,,,,,,802.0,749.0,53208608.0,3289.0,2
515,34486.75,16813.58333333,,,,,,1000.0,413.0,,,,,,793.0,763.0,39263157.0,2686.0,2
520,35379.33333333,17156.85,,,,,,1000.0,415.0,,,,,,782.0,753.0,44345803.0,1786.0,2
525,34164.06666666,16510.3,,,,,,1000.0,428.0,,,,,,794.0,760.0,60550084.0,2523.0,2
530,34368.41666666,16751.2,,,,,,1000.0,431.0,,,,,,805.0,781.0,48981212.0,2086.0,2
535,36028.03333333,17482.68333333,,,,,,1000.0,437.0,,,,,,802.0,792.0,57026082.0,2886.0,2
540,33862.733333330005,16524.13333333,,,,,,1000.0,447.0,,,,,,819.0,790.0,62740295.0,2285.0,2
545,33280.0,16172.616666659998,,,,,,1000.0,446.0,,,,,,842.0,814.0,71370256.0,3890.0,2
550,33071.7,16013.633333329999,,,,,,1000.0,446.0,,,,,,836.0,825.0,61588390.0,3319.0,2
555,31542.333333330003,15218.633333329999,,,,,,1000.0,465.0,,,,,,849.0,828.0,66629636.0,2398.0,2
560,30787.03333333,14847.116666659998,,,,,,1000.0,460.0,,,,,,850.0,816.0,74449697.0,2910.0,2
565,30390.41666666,14603.633333329999,,,,,,1000.0,461.0,,,,,,836.0,804.0,67636276.0,2590.0,2
570,29303.816666659997,14140.5,,,,,,1000.0,455.0,,,,,,848.0,821.0,74410574.0,2687.0,2
575,27376.183333330002,13044.45,,,,,,1000.0,467.0,,,,,,856.0,820.0,77969721.0,3287.0,2
580,26950.5,12906.93333333,,,,,,1000.0,464.0,,,,,,879.0,830.0,77292703.0,3895.0,2
585,27379.683333330002,13156.91666666,,,,,,1000.0,445.0,,,,,,875.0,815.0,78053666.0,3190.0,2
590,25835.41666666,12281.16666666,,,,,,1000.0,446.0,,,,,,876.0,800.0,82850985.0,3320.0,2
595,24535.53333333,11642.85,,,,,,1000.0,449.0,,,,,,877.0,799.0,77844240.0,4002.0,2
600,25700.8,11972.45,,,,,,1000.0,446.0,,,,,,870.0,795.0,77649186.0,3581.0,2
605,24400.8,11606.383333329999,,,,,,1000.0,440.0,,,,,,855.0,779.0,89801402.0,3493.0,2
610,23722.36666666,11388.383333329999,,,,,,1000.0,445.0,,,,,,867.0,775.0,83613943.0,3597.0,2
615,22611.58333333,10723.25,,,,,,1000.0,455.0,,,,,,876.0,781.0,83870127.0,3432.0,2
