,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709766560000,1000.0,,,,,
1709766565000,836.0,,,,,
1709766570000,918.0,,,,,
1709766575000,626.0,,,,,
1709766580000,464.0,,,,,
1709766585000,482.0,,,,,
1709766590000,566.0,,,,,
1709766595000,628.0,,,,,
1709766600000,674.0,,,,,
1709766605000,711.0,,,,,
1709766610000,740.0,,,,,
1709766615000,763.0,,,,,
1709766620000,783.0,,,,,
1709766625000,797.0,,,,,
1709766630000,797.0,,,,,
1709766635000,877.0,,,,,
1709766640000,962.0,,,,,
1709766645000,999.0,,,,,
1709766650000,1000.0,,,,,
1709766655000,1000.0,,,,,
1709766660000,1000.0,,,,,
1709766665000,1000.0,,,,,
1709766670000,1000.0,,,,,
1709766675000,1000.0,,,,,
1709766680000,1000.0,,,,,
1709766685000,1000.0,,,,,
1709766690000,1000.0,,,,,
1709766695000,1000.0,,,,,
1709766700000,1000.0,,,,,
1709766705000,1000.0,,,,,
1709766710000,1000.0,,,,,
1709766715000,1000.0,,,,,
1709766720000,1000.0,,,,,
1709766725000,1000.0,,,,,
1709766730000,1000.0,,,,,
1709766735000,1000.0,,,,,
1709766740000,1000.0,,,,,
1709766745000,1000.0,,,,,
1709766750000,1000.0,,,,,
1709766755000,1000.0,,,,,
1709766760000,1000.0,,,,,
1709766765000,1000.0,,,,,
1709766770000,1000.0,,,,,
1709766775000,1000.0,,,,,
1709766780000,1000.0,,,,,
1709766785000,1000.0,,,,,
1709766790000,1000.0,,,,,
1709766795000,1000.0,,,,,
1709766800000,1000.0,,,,,
1709766805000,1000.0,,,,,
1709766810000,1000.0,,,,,
1709766815000,1000.0,,,,,
1709766820000,1000.0,,,,,
1709766825000,1000.0,,,,,
1709766830000,1000.0,,,,,
1709766835000,1000.0,,,,,
1709766840000,1000.0,,,,,
1709766845000,1000.0,,,,,
1709766850000,1000.0,,,,,
1709766855000,1000.0,,,,,
1709766860000,1000.0,,,,,
1709766865000,1000.0,,,,,
1709766870000,1000.0,,,,,
1709766875000,1000.0,,,,,
1709766880000,1000.0,,,,,
1709766885000,1000.0,,,,,
1709766890000,1000.0,,,,,
1709766895000,1000.0,,,,,
1709766900000,1000.0,,,,,
1709766905000,1000.0,,,,,
1709766910000,1000.0,,,,,
1709766915000,1000.0,,,,,
1709766920000,1000.0,,,,,
1709766925000,1000.0,,,,,
1709766930000,1000.0,,,,,
1709766935000,1000.0,,,,,
1709766940000,,,,,,
1709766990000,1000.0,1000.0,,,,
1709766995000,679.0,276.0,,,,
1709767000000,840.0,450.0,,,,
1709767005000,893.0,454.0,,,,
1709767010000,920.0,466.0,,,,
1709767015000,936.0,446.0,,,,
1709767020000,947.0,438.0,,,,
1709767025000,955.0,430.0,,,,
1709767030000,960.0,425.0,,,,
1709767035000,965.0,425.0,,,,
1709767040000,968.0,424.0,,,,
1709767045000,971.0,434.0,,,,
1709767050000,974.0,478.0,,,,
1709767055000,1000.0,490.0,,,,
1709767060000,1000.0,472.0,,,,
1709767065000,1000.0,467.0,,,,
1709767070000,1000.0,459.0,,,,
1709767075000,1000.0,468.0,,,,
1709767080000,1000.0,468.0,,,,
1709767085000,1000.0,478.0,,,,
1709767090000,1000.0,477.0,,,,
1709767095000,1000.0,472.0,,,,
1709767100000,1000.0,483.0,,,,
1709767105000,1000.0,475.0,,,,
1709767110000,1000.0,426.0,,,,
1709767115000,1000.0,429.0,,,,
1709767120000,1000.0,432.0,,,,
1709767125000,1000.0,444.0,,,,
1709767130000,1000.0,440.0,,,,
1709767135000,1000.0,440.0,,,,
1709767140000,1000.0,437.0,,,,
1709767145000,1000.0,426.0,,,,
1709767150000,1000.0,430.0,,,,
1709767155000,1000.0,453.0,,,,
1709767160000,1000.0,440.0,,,,
1709767165000,1000.0,445.0,,,,
1709767170000,1000.0,451.0,,,,
1709767175000,1000.0,436.0,,,,
1709767180000,1000.0,428.0,,,,
1709767185000,1000.0,420.0,,,,
1709767190000,1000.0,414.0,,,,
1709767195000,1000.0,413.0,,,,
1709767200000,1000.0,424.0,,,,
1709767205000,1000.0,426.0,,,,
1709767210000,1000.0,418.0,,,,
1709767215000,1000.0,401.0,,,,
1709767220000,1000.0,416.0,,,,
1709767225000,1000.0,403.0,,,,
1709767230000,1000.0,406.0,,,,
1709767235000,1000.0,411.0,,,,
1709767240000,1000.0,418.0,,,,
