,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1709766560000,0.0
1709766565000,72.0
1709766570000,36.0
1709766575000,24.0
1709766580000,18.0
1709766585000,122.0
1709766590000,264.0
1709766595000,362.0
1709766600000,463.0
1709766605000,515.0
1709766610000,558.0
1709766615000,589.0
1709766620000,620.0
1709766625000,711.0
1709766630000,801.0
1709766635000,879.0
1709766640000,955.0
1709766645000,985.0
1709766650000,985.0
1709766655000,980.0
1709766660000,960.0
1709766665000,968.0
1709766670000,976.0
1709766675000,992.0
1709766680000,1000.0
1709766685000,999.0
1709766690000,1000.0
1709766695000,1000.0
1709766700000,1000.0
1709766705000,1000.0
1709766710000,1000.0
1709766715000,1000.0
1709766720000,1000.0
1709766725000,1000.0
1709766730000,1000.0
1709766735000,991.0
1709766740000,978.0
1709766745000,961.0
1709766750000,940.0
1709766755000,935.0
1709766760000,947.0
1709766765000,946.0
1709766770000,963.0
1709766775000,976.0
1709766780000,980.0
1709766785000,985.0
1709766790000,986.0
1709766795000,999.0
1709766800000,998.0
1709766805000,995.0
1709766810000,997.0
1709766815000,999.0
1709766820000,985.0
1709766825000,987.0
1709766830000,972.0
1709766835000,961.0
1709766840000,959.0
1709766845000,975.0
1709766850000,983.0
1709766855000,966.0
1709766860000,977.0
1709766865000,988.0
1709766870000,986.0
1709766875000,985.0
1709766880000,1000.0
1709766885000,1000.0
1709766890000,1000.0
1709766895000,1000.0
1709766900000,1000.0
1709766905000,995.0
1709766910000,992.0
1709766915000,992.0
1709766920000,987.0
1709766925000,990.0
1709766930000,997.0
1709766935000,1000.0
1709766940000,
1709766985000,0.0
1709766990000,0.0
1709766995000,134.0
1709767000000,480.0
1709767005000,603.0
1709767010000,730.0
1709767015000,813.0
1709767020000,833.0
1709767025000,852.0
1709767030000,857.0
1709767035000,874.0
1709767040000,869.0
1709767045000,874.0
1709767050000,900.0
1709767055000,966.0
1709767060000,971.0
1709767065000,988.0
1709767070000,981.0
1709767075000,972.0
1709767080000,971.0
1709767085000,973.0
1709767090000,976.0
1709767095000,968.0
1709767100000,977.0
1709767105000,971.0
1709767110000,947.0
1709767115000,950.0
1709767120000,963.0
1709767125000,947.0
1709767130000,939.0
1709767135000,939.0
1709767140000,943.0
1709767145000,953.0
1709767150000,953.0
1709767155000,952.0
1709767160000,971.0
1709767165000,976.0
1709767170000,987.0
1709767175000,988.0
1709767180000,974.0
1709767185000,980.0
1709767190000,973.0
1709767195000,963.0
1709767200000,946.0
1709767205000,940.0
1709767210000,965.0
1709767215000,962.0
1709767220000,937.0
1709767225000,950.0
1709767230000,953.0
1709767235000,946.0
1709767240000,941.0
1709767245000,935.0
1709767250000,944.0
1709767255000,948.0
1709767260000,975.0
1709767265000,979.0
1709767270000,961.0
1709767275000,973.0
1709767280000,985.0
1709767285000,978.0
1709767290000,972.0
1709767295000,982.0
1709767300000,1000.0
1709767305000,1000.0
1709767310000,1000.0
1709767315000,1000.0
1709767320000,1000.0
1709767325000,1000.0
1709767330000,1000.0
1709767335000,1000.0
1709767340000,1000.0
1709767345000,1000.0
1709767350000,1000.0
1709767355000,1000.0
1709767360000,972.0
1709767365000,970.0
1709767370000,962.0
1709767375000,963.0
1709767380000,948.0
1709767385000,919.0
1709767390000,
1709767440000,0.0
1709767445000,0.0
1709767450000,0.0
1709767455000,52.0
1709767460000,330.0
1709767465000,552.0
1709767470000,616.0
1709767475000,616.0
1709767480000,622.0
1709767485000,633.0
1709767490000,679.0
1709767495000,763.0
1709767500000,784.0
1709767505000,778.0
1709767510000,827.0
1709767515000,881.0
1709767520000,862.0
1709767525000,817.0
1709767530000,806.0
1709767535000,800.0
1709767540000,803.0
1709767545000,800.0
1709767550000,773.0
1709767555000,719.0
1709767560000,712.0
1709767565000,707.0
1709767570000,713.0
1709767575000,707.0
1709767580000,723.0
1709767585000,741.0
1709767590000,740.0
1709767595000,752.0
1709767600000,750.0
1709767605000,748.0
1709767610000,743.0
1709767615000,737.0
1709767620000,710.0
1709767625000,714.0
1709767630000,718.0
1709767635000,720.0
1709767640000,706.0
1709767645000,692.0
1709767650000,717.0
1709767655000,715.0
1709767660000,724.0
1709767665000,722.0
1709767670000,727.0
1709767675000,736.0
1709767680000,750.0
1709767685000,755.0
1709767690000,752.0
1709767695000,758.0
1709767700000,761.0
1709767705000,745.0
1709767710000,721.0
1709767715000,731.0
1709767720000,748.0
1709767725000,779.0
1709767730000,1000.0
1709767735000,973.0
1709767740000,943.0
1709767745000,936.0
1709767750000,940.0
1709767755000,956.0
1709767760000,969.0
1709767765000,1000.0
1709767770000,1000.0
1709767775000,1000.0
1709767780000,1000.0
1709767785000,1000.0
1709767790000,822.0
1709767795000,860.0
1709767800000,905.0
1709767805000,927.0
1709767810000,945.0
1709767815000,944.0
1709767820000,944.0
1709767825000,927.0
1709767830000,931.0
1709767835000,901.0
1709767840000,
1709767885000,0.0
1709767890000,0.0
1709767895000,0.0
1709767900000,21.0
1709767905000,52.0
1709767910000,193.0
1709767915000,281.0
1709767920000,326.0
1709767925000,370.0
1709767930000,422.0
1709767935000,472.0
1709767940000,489.0
1709767945000,502.0
1709767950000,504.0
1709767955000,566.0
1709767960000,630.0
1709767965000,675.0
1709767970000,680.0
1709767975000,694.0
1709767980000,721.0
1709767985000,735.0
1709767990000,733.0
1709767995000,732.0
1709768000000,749.0
1709768005000,774.0
1709768010000,821.0
1709768015000,832.0
1709768020000,835.0
1709768025000,860.0
1709768030000,877.0
1709768035000,874.0
1709768040000,881.0
1709768045000,883.0
1709768050000,889.0
1709768055000,884.0
1709768060000,883.0
1709768065000,881.0
1709768070000,862.0
1709768075000,859.0
1709768080000,862.0
1709768085000,864.0
1709768090000,867.0
1709768095000,869.0
1709768100000,867.0
1709768105000,870.0
1709768110000,866.0
1709768115000,855.0
1709768120000,863.0
1709768125000,858.0
1709768130000,862.0
1709768135000,870.0
1709768140000,855.0
1709768145000,849.0
1709768150000,841.0
1709768155000,848.0
1709768160000,853.0
1709768165000,967.0
1709768170000,968.0
1709768175000,973.0
1709768180000,972.0
1709768185000,968.0
1709768190000,950.0
1709768195000,941.0
1709768200000,933.0
1709768205000,934.0
1709768210000,923.0
1709768215000,897.0
1709768220000,875.0
1709768225000,767.0
1709768230000,750.0
1709768235000,756.0
1709768240000,754.0
1709768245000,753.0
1709768250000,750.0
1709768255000,754.0
1709768260000,780.0
1709768265000,754.0
1709768270000,753.0
1709768275000,786.0
1709768280000,775.0
1709768285000,
1709768340000,0.0
1709768345000,0.0
1709768350000,0.0
1709768355000,173.0
1709768360000,454.0
1709768365000,454.0
1709768370000,454.0
1709768375000,464.0
1709768380000,497.0
1709768385000,560.0
1709768390000,745.0
1709768395000,723.0
1709768400000,744.0
1709768405000,753.0
1709768410000,804.0
1709768415000,828.0
1709768420000,805.0
1709768425000,809.0
1709768430000,852.0
1709768435000,852.0
1709768440000,851.0
1709768445000,828.0
1709768450000,712.0
1709768455000,738.0
1709768460000,727.0
1709768465000,717.0
1709768470000,732.0
1709768475000,752.0
1709768480000,757.0
1709768485000,771.0
1709768490000,768.0
1709768495000,773.0
1709768500000,776.0
1709768505000,789.0
1709768510000,787.0
1709768515000,789.0
1709768520000,795.0
1709768525000,799.0
1709768530000,804.0
1709768535000,805.0
1709768540000,813.0
1709768545000,809.0
1709768550000,788.0
1709768555000,792.0
1709768560000,805.0
1709768565000,812.0
1709768570000,808.0
1709768575000,808.0
1709768580000,812.0
1709768585000,817.0
1709768590000,807.0
1709768595000,805.0
1709768600000,816.0
1709768605000,839.0
1709768610000,863.0
1709768615000,880.0
1709768620000,878.0
1709768625000,861.0
1709768630000,861.0
1709768635000,854.0
1709768640000,844.0
1709768645000,841.0
1709768650000,843.0
1709768655000,842.0
1709768660000,840.0
1709768665000,818.0
1709768670000,823.0
1709768675000,809.0
1709768680000,808.0
1709768685000,813.0
1709768690000,816.0
1709768695000,826.0
1709768700000,841.0
1709768705000,837.0
1709768710000,844.0
1709768715000,841.0
1709768720000,836.0
1709768725000,846.0
1709768730000,851.0
1709768735000,0.0
1709768740000,0.0
1709768745000,
1709768790000,0.0
1709768795000,0.0
1709768800000,69.0
1709768805000,34.0
1709768810000,25.0
1709768815000,120.0
1709768820000,170.0
1709768825000,269.0
1709768830000,310.0
1709768835000,352.0
1709768840000,378.0
1709768845000,395.0
1709768850000,412.0
1709768855000,429.0
1709768860000,481.0
1709768865000,534.0
1709768870000,598.0
1709768875000,635.0
1709768880000,676.0
1709768885000,672.0
1709768890000,690.0
1709768895000,699.0
1709768900000,726.0
1709768905000,747.0
1709768910000,759.0
1709768915000,782.0
1709768920000,801.0
1709768925000,797.0
1709768930000,804.0
1709768935000,810.0
1709768940000,795.0
1709768945000,804.0
1709768950000,805.0
1709768955000,808.0
1709768960000,791.0
1709768965000,788.0
1709768970000,797.0
1709768975000,778.0
1709768980000,777.0
1709768985000,795.0
1709768990000,785.0
1709768995000,781.0
1709769000000,794.0
1709769005000,792.0
1709769010000,798.0
1709769015000,791.0
1709769020000,748.0
1709769025000,691.0
1709769030000,639.0
1709769035000,598.0
1709769040000,529.0
1709769045000,482.0
1709769050000,432.0
1709769055000,397.0
1709769060000,349.0
1709769065000,321.0
1709769070000,256.0
1709769075000,216.0
1709769080000,220.0
1709769085000,221.0
1709769090000,219.0
1709769095000,227.0
1709769100000,232.0
1709769105000,233.0
1709769110000,239.0
1709769115000,223.0
1709769120000,231.0
1709769125000,211.0
1709769130000,219.0
1709769135000,213.0
1709769140000,211.0
1709769145000,211.0
1709769150000,204.0
1709769155000,202.0
1709769160000,207.0
1709769165000,194.0
1709769170000,189.0
1709769175000,204.0
1709769180000,181.0
