,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709766560000,0.0,,,,,
1709766565000,201.0666666666,,,,,
1709766570000,775.0166666666,,,,,
1709766575000,775.0166666666,,,,,
1709766580000,775.0166666666,,,,,
1709766585000,2803.45,,,,,
1709766590000,4249.71666667,,,,,
1709766595000,6971.71666666,,,,,
1709766600000,10325.8,,,,,
1709766605000,13523.15,,,,,
1709766610000,15894.98333333,,,,,
1709766615000,19084.13333333,,,,,
1709766620000,22000.8,,,,,
1709766625000,25149.61666666,,,,,
1709766630000,27241.816666659997,,,,,
1709766635000,30638.3,,,,,
1709766640000,34189.11666666,,,,,
1709766645000,35906.966666659995,,,,,
1709766650000,37234.483333330005,,,,,
1709766655000,37823.01666666,,,,,
1709766660000,38225.483333330005,,,,,
1709766665000,38469.2,,,,,
1709766670000,39537.58333333,,,,,
1709766675000,39519.7,,,,,
1709766680000,40279.93333333,,,,,
1709766685000,39935.716666659995,,,,,
1709766690000,41281.01666666,,,,,
1709766695000,41353.65,,,,,
1709766700000,41045.733333330005,,,,,
1709766705000,40876.61666666,,,,,
1709766710000,41376.0,,,,,
1709766715000,41816.8,,,,,
1709766720000,41673.01666666,,,,,
1709766725000,41799.78333333,,,,,
1709766730000,40943.31666666,,,,,
1709766735000,40648.36666666,,,,,
1709766740000,40304.88333333,,,,,
1709766745000,40408.41666666,,,,,
1709766750000,40079.18333333,,,,,
1709766755000,39510.716666659995,,,,,
1709766760000,39995.4,,,,,
1709766765000,39317.6,,,,,
1709766770000,39490.13333333,,,,,
1709766775000,39240.56666666,,,,,
1709766780000,38893.58333333,,,,,
1709766785000,38336.2,,,,,
1709766790000,39153.43333333,,,,,
1709766795000,39461.01666666,,,,,
1709766800000,39249.86666666,,,,,
1709766805000,39993.25,,,,,
1709766810000,38878.15,,,,,
1709766815000,39006.233333330005,,,,,
1709766820000,38940.76666666,,,,,
1709766825000,38767.76666666,,,,,
1709766830000,38861.36666666,,,,,
1709766835000,37495.03333333,,,,,
1709766840000,37467.75,,,,,
1709766845000,37660.26666666,,,,,
1709766850000,37859.2,,,,,
1709766855000,37757.61666666,,,,,
1709766860000,38007.81666666,,,,,
1709766865000,37462.53333333,,,,,
1709766870000,37111.18333333,,,,,
1709766875000,37006.01666666,,,,,
1709766880000,36593.36666666,,,,,
1709766885000,37253.35,,,,,
1709766890000,37505.65,,,,,
1709766895000,38263.43333333,,,,,
1709766900000,38536.78333333,,,,,
1709766905000,38407.15,,,,,
1709766910000,37733.716666659995,,,,,
1709766915000,38627.3,,,,,
1709766920000,38572.2,,,,,
1709766925000,38649.5,,,,,
1709766930000,39533.716666659995,,,,,
1709766935000,40017.13333333,,,,,
1709766940000,,,,,,
1709766985000,0.0,0.0,,,,
1709766990000,0.0,0.0,,,,
1709766995000,134.4333333333,125.2,,,,
1709767000000,899.05,492.5333333333,,,,
1709767005000,2460.4833333333,1248.7333333333,,,,
1709767010000,3972.98333333,2042.2,,,,
1709767015000,7263.86666666,3642.51666667,,,,
1709767020000,10564.91666666,5135.48333333,,,,
1709767025000,12772.4,6241.2,,,,
1709767030000,15495.48333333,7571.66666666,,,,
1709767035000,18923.766666659998,9195.85,,,,
1709767040000,22231.66666666,10741.86666666,,,,
1709767045000,23873.86666666,11534.616666659998,,,,
1709767050000,24042.28333333,11667.616666659998,,,,
1709767055000,26683.2,12863.766666659998,,,,
1709767060000,28119.133333330003,13500.81666666,,,,
1709767065000,29758.333333330003,14290.18333333,,,,
1709767070000,31622.53333333,15247.1,,,,
1709767075000,31602.816666659997,15148.216666659999,,,,
1709767080000,31437.65,15211.633333329999,,,,
1709767085000,32459.23333333,15575.133333329999,,,,
1709767090000,32070.566666659997,15469.98333333,,,,
1709767095000,31911.883333330003,15363.16666666,,,,
1709767100000,31799.083333330003,15377.716666659999,,,,
1709767105000,33365.33333333,16131.81666666,,,,
1709767110000,35812.18333333,17174.95,,,,
1709767115000,36459.7,17615.1,,,,
1709767120000,37846.86666666,18247.28333333,,,,
1709767125000,36315.81666666,17566.08333333,,,,
1709767130000,35626.75,17122.16666666,,,,
1709767135000,35582.15,17110.78333333,,,,
1709767140000,34044.85,16388.7,,,,
1709767145000,33756.83333333,16259.8,,,,
1709767150000,34798.3,16683.43333333,,,,
1709767155000,33348.38333333,16073.23333333,,,,
1709767160000,32149.433333330002,15368.9,,,,
