Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,1000.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,201.0666666666,,,,,,836.0,,,,,,72.0,168.0,-1.0,-1.0,1
10,775.0166666666,,,,,,918.0,,,,,,36.0,122.0,755495.0,3446.0,1
15,775.0166666666,,,,,,626.0,,,,,,24.0,81.0,1388274.0,311.0,1
20,775.0166666666,,,,,,464.0,,,,,,18.0,61.0,1388274.0,246.0,1
25,2803.45,,,,,,482.0,,,,,,122.0,148.0,1388274.0,321.0,1
30,4249.71666667,,,,,,566.0,,,,,,264.0,286.0,4731251.0,1420.0,1
35,6971.71666666,,,,,,628.0,,,,,,362.0,380.0,4684224.0,1018.0,1
40,10325.8,,,,,,674.0,,,,,,463.0,476.0,7453338.0,2180.0,1
45,13523.15,,,,,,711.0,,,,,,515.0,527.0,9527930.0,1297.0,1
50,15894.98333333,,,,,,740.0,,,,,,558.0,567.0,7636238.0,2623.0,1
55,19084.13333333,,,,,,763.0,,,,,,589.0,600.0,2944384.0,1219.0,1
60,22000.8,,,,,,783.0,,,,,,620.0,626.0,8195423.0,1406.0,1
65,25149.61666666,,,,,,797.0,,,,,,711.0,709.0,6375931.0,2619.0,1
70,27241.816666659997,,,,,,797.0,,,,,,801.0,795.0,2740187.0,1553.0,1
75,30638.3,,,,,,877.0,,,,,,879.0,871.0,5584451.0,1137.0,1
80,34189.11666666,,,,,,962.0,,,,,,955.0,944.0,7882194.0,1324.0,1
85,35906.966666659995,,,,,,999.0,,,,,,985.0,980.0,4760087.0,1256.0,1
90,37234.483333330005,,,,,,1000.0,,,,,,985.0,978.0,8020370.0,2300.0,1
95,37823.01666666,,,,,,1000.0,,,,,,980.0,978.0,11020725.0,1431.0,1
100,38225.483333330005,,,,,,1000.0,,,,,,960.0,959.0,3326937.0,1819.0,1
105,38469.2,,,,,,1000.0,,,,,,968.0,964.0,6509171.0,1181.0,1
110,39537.58333333,,,,,,1000.0,,,,,,976.0,978.0,9576794.0,1518.0,1
115,39519.7,,,,,,1000.0,,,,,,992.0,995.0,3458090.0,849.0,1
120,40279.93333333,,,,,,1000.0,,,,,,1000.0,1000.0,6406145.0,1682.0,1
125,39935.716666659995,,,,,,1000.0,,,,,,999.0,1000.0,9373019.0,2385.0,1
130,41281.01666666,,,,,,1000.0,,,,,,1000.0,1000.0,7055384.0,1220.0,1
135,41353.65,,,,,,1000.0,,,,,,1000.0,1000.0,3979918.0,1723.0,1
140,41045.733333330005,,,,,,1000.0,,,,,,1000.0,1000.0,10200598.0,1224.0,1
145,40876.61666666,,,,,,1000.0,,,,,,1000.0,1000.0,8289889.0,2224.0,1
150,41376.0,,,,,,1000.0,,,,,,1000.0,1000.0,4224508.0,911.0,1
155,41816.8,,,,,,1000.0,,,,,,1000.0,1000.0,7452582.0,1036.0,1
160,41673.01666666,,,,,,1000.0,,,,,,1000.0,1000.0,9362206.0,1303.0,1
165,41799.78333333,,,,,,1000.0,,,,,,1000.0,1000.0,5324278.0,1161.0,1
170,40943.31666666,,,,,,1000.0,,,,,,1000.0,993.0,8598306.0,2222.0,1
175,40648.36666666,,,,,,1000.0,,,,,,991.0,978.0,11151777.0,1125.0,1
180,40304.88333333,,,,,,1000.0,,,,,,978.0,966.0,3282320.0,1355.0,1
185,40408.41666666,,,,,,1000.0,,,,,,961.0,952.0,6772378.0,2535.0,1
190,40079.18333333,,,,,,1000.0,,,,,,940.0,933.0,9297228.0,1123.0,1
195,39510.716666659995,,,,,,1000.0,,,,,,935.0,930.0,4338827.0,897.0,1
200,39995.4,,,,,,1000.0,,,,,,947.0,940.0,7680783.0,1121.0,1
205,39317.6,,,,,,1000.0,,,,,,946.0,941.0,11089299.0,2324.0,1
210,39490.13333333,,,,,,1000.0,,,,,,963.0,955.0,8966130.0,1645.0,1
215,39240.56666666,,,,,,1000.0,,,,,,976.0,967.0,6799884.0,1147.0,1
220,38893.58333333,,,,,,1000.0,,,,,,980.0,974.0,6799884.0,1147.0,1
225,38336.2,,,,,,1000.0,,,,,,985.0,977.0,8915887.0,1343.0,1
230,39153.43333333,,,,,,1000.0,,,,,,986.0,983.0,4489363.0,1518.0,1
235,39461.01666666,,,,,,1000.0,,,,,,999.0,994.0,7678722.0,2717.0,1
240,39249.86666666,,,,,,1000.0,,,,,,998.0,997.0,9850716.0,1532.0,1
245,39993.25,,,,,,1000.0,,,,,,995.0,992.0,5490466.0,1100.0,1
250,38878.15,,,,,,1000.0,,,,,,997.0,1000.0,9088366.0,2260.0,1
255,39006.233333330005,,,,,,1000.0,,,,,,999.0,1000.0,12137168.0,1429.0,1
260,38940.76666666,,,,,,1000.0,,,,,,985.0,985.0,4586773.0,995.0,1
265,38767.76666666,,,,,,1000.0,,,,,,987.0,982.0,8363425.0,2282.0,1
270,38861.36666666,,,,,,1000.0,,,,,,972.0,969.0,10707128.0,1208.0,1
275,37495.03333333,,,,,,1000.0,,,,,,961.0,959.0,10010444.0,1744.0,1
280,37467.75,,,,,,1000.0,,,,,,959.0,962.0,6792941.0,1516.0,1
285,37660.26666666,,,,,,1000.0,,,,,,975.0,974.0,9638396.0,2617.0,1
290,37859.2,,,,,,1000.0,,,,,,983.0,983.0,7342010.0,1299.0,1
295,37757.61666666,,,,,,1000.0,,,,,,966.0,972.0,7552915.0,1206.0,1
300,38007.81666666,,,,,,1000.0,,,,,,977.0,984.0,7552915.0,1206.0,1
305,37462.53333333,,,,,,1000.0,,,,,,988.0,991.0,8300396.0,1224.0,1
310,37111.18333333,,,,,,1000.0,,,,,,986.0,986.0,3821214.0,2318.0,1
315,37006.01666666,,,,,,1000.0,,,,,,985.0,981.0,5953713.0,1525.0,1
320,36593.36666666,,,,,,1000.0,,,,,,1000.0,1000.0,8396857.0,2019.0,1
325,37253.35,,,,,,1000.0,,,,,,1000.0,1000.0,4274408.0,1026.0,1
330,37505.65,,,,,,1000.0,,,,,,1000.0,1000.0,7343973.0,1116.0,1
335,38263.43333333,,,,,,1000.0,,,,,,1000.0,1000.0,10631094.0,2324.0,1
340,38536.78333333,,,,,,1000.0,,,,,,1000.0,1000.0,4767948.0,1525.0,1
345,38407.15,,,,,,1000.0,,,,,,995.0,990.0,7427659.0,2370.0,1
350,37733.716666659995,,,,,,1000.0,,,,,,992.0,986.0,9698724.0,1778.0,1
355,38627.3,,,,,,1000.0,,,,,,992.0,983.0,8256252.0,1217.0,1
360,38572.2,,,,,,1000.0,,,,,,987.0,967.0,7795671.0,2026.0,1
365,38649.5,,,,,,1000.0,,,,,,990.0,968.0,10665697.0,1184.0,1
370,39533.716666659995,,,,,,1000.0,,,,,,997.0,976.0,9000550.0,2215.0,1
375,40017.13333333,,,,,,1000.0,,,,,,1000.0,989.0,8638125.0,1127.0,1
380,,,,,,,,,,,,,,,4359095.0,1057.0,0
385,,,,,,,,,,,,,,,,,0
425,0.0,0.0,,,,,,,,,,,0.0,0.0,,,2
430,0.0,0.0,,,,,1000.0,1000.0,,,,,0.0,0.0,-1.0,-1.0,2
435,134.4333333333,125.2,,,,,679.0,276.0,,,,,134.0,17.0,-1.0,-1.0,2
440,899.05,492.5333333333,,,,,840.0,450.0,,,,,480.0,365.0,-1.0,-1.0,2
445,2460.4833333333,1248.7333333333,,,,,893.0,454.0,,,,,603.0,465.0,4609780.0,2565.0,2
450,3972.98333333,2042.2,,,,,920.0,466.0,,,,,730.0,592.0,8297000.0,3264.0,2
455,7263.86666666,3642.51666667,,,,,936.0,446.0,,,,,813.0,651.0,10451848.0,1945.0,2
460,10564.91666666,5135.48333333,,,,,947.0,438.0,,,,,833.0,690.0,16288915.0,1461.0,2
465,12772.4,6241.2,,,,,955.0,430.0,,,,,852.0,720.0,24272848.0,2467.0,2
470,15495.48333333,7571.66666666,,,,,960.0,425.0,,,,,857.0,726.0,29736515.0,2561.0,2
475,18923.766666659998,9195.85,,,,,965.0,425.0,,,,,874.0,745.0,14330272.0,1364.0,2
480,22231.66666666,10741.86666666,,,,,968.0,424.0,,,,,869.0,744.0,29763945.0,1763.0,2
485,23873.86666666,11534.616666659998,,,,,971.0,434.0,,,,,874.0,748.0,37695465.0,2861.0,2
490,24042.28333333,11667.616666659998,,,,,974.0,478.0,,,,,900.0,784.0,37695465.0,2861.0,2
495,26683.2,12863.766666659998,,,,,1000.0,490.0,,,,,966.0,855.0,33048474.0,1762.0,2
500,28119.133333330003,13500.81666666,,,,,1000.0,472.0,,,,,971.0,860.0,36132622.0,1505.0,2
505,29758.333333330003,14290.18333333,,,,,1000.0,467.0,,,,,988.0,874.0,8229459.0,1456.0,2
510,31622.53333333,15247.1,,,,,1000.0,459.0,,,,,981.0,865.0,15474554.0,1263.0,2
515,31602.816666659997,15148.216666659999,,,,,1000.0,468.0,,,,,972.0,862.0,23138590.0,1563.0,2
520,31437.65,15211.633333329999,,,,,1000.0,468.0,,,,,971.0,856.0,16126487.0,1461.0,2
525,32459.23333333,15575.133333329999,,,,,1000.0,478.0,,,,,973.0,850.0,24398194.0,2162.0,2
530,32070.566666659997,15469.98333333,,,,,1000.0,477.0,,,,,976.0,845.0,31447129.0,1643.0,2
535,31911.883333330003,15363.16666666,,,,,1000.0,472.0,,,,,968.0,833.0,38686142.0,3062.0,2
540,31799.083333330003,15377.716666659999,,,,,1000.0,483.0,,,,,977.0,843.0,30734172.0,1592.0,2
545,33365.33333333,16131.81666666,,,,,1000.0,475.0,,,,,971.0,840.0,38167007.0,1863.0,2
550,35812.18333333,17174.95,,,,,1000.0,426.0,,,,,947.0,799.0,47227711.0,2961.0,2
555,36459.7,17615.1,,,,,1000.0,429.0,,,,,950.0,798.0,31071720.0,2058.0,2
560,37846.86666666,18247.28333333,,,,,1000.0,432.0,,,,,963.0,809.0,45849253.0,2082.0,2
565,36315.81666666,17566.08333333,,,,,1000.0,444.0,,,,,947.0,800.0,54691214.0,3170.0,2
570,35626.75,17122.16666666,,,,,1000.0,440.0,,,,,939.0,795.0,39758085.0,2664.0,2
575,35582.15,17110.78333333,,,,,1000.0,440.0,,,,,939.0,805.0,44915999.0,1747.0,2
580,34044.85,16388.7,,,,,1000.0,437.0,,,,,943.0,806.0,52488130.0,1847.0,2
585,33756.83333333,16259.8,,,,,1000.0,426.0,,,,,953.0,815.0,46889088.0,2862.0,2
590,34798.3,16683.43333333,,,,,1000.0,430.0,,,,,953.0,825.0,52032528.0,2040.0,2
595,33348.38333333,16073.23333333,,,,,1000.0,453.0,,,,,952.0,834.0,61289339.0,3181.0,2
600,32149.433333330002,15368.9,,,,,1000.0,440.0,,,,,971.0,837.0,66884572.0,3263.0,2
605,31926.11666666,15166.383333329999,,,,,1000.0,445.0,,,,,976.0,835.0,59240633.0,2506.0,2
