,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1709753310000,0.0
1709753315000,0.0
1709753320000,12.0
1709753325000,8.0
1709753330000,6.0
1709753335000,4.0
1709753340000,55.0
1709753345000,175.0
1709753350000,271.0
1709753355000,338.0
1709753360000,403.0
1709753365000,449.0
1709753370000,508.0
1709753375000,588.0
1709753380000,661.0
1709753385000,741.0
1709753390000,818.0
1709753395000,898.0
1709753400000,951.0
1709753405000,953.0
1709753410000,973.0
1709753415000,983.0
1709753420000,985.0
1709753425000,990.0
1709753430000,973.0
1709753435000,972.0
1709753440000,979.0
1709753445000,982.0
1709753450000,993.0
1709753455000,1000.0
1709753460000,1000.0
1709753465000,1000.0
1709753470000,982.0
1709753475000,978.0
1709753480000,976.0
1709753485000,976.0
1709753490000,997.0
1709753495000,1000.0
1709753500000,1000.0
1709753505000,1000.0
1709753510000,992.0
1709753515000,977.0
1709753520000,965.0
1709753525000,973.0
1709753530000,980.0
1709753535000,982.0
1709753540000,979.0
1709753545000,986.0
1709753550000,963.0
1709753555000,964.0
1709753560000,947.0
1709753565000,950.0
1709753570000,1000.0
1709753575000,1000.0
1709753580000,1000.0
1709753585000,1000.0
1709753590000,1000.0
1709753595000,1000.0
1709753600000,1000.0
1709753605000,1000.0
1709753610000,1000.0
1709753615000,1000.0
1709753620000,1000.0
1709753625000,1000.0
1709753630000,973.0
1709753635000,973.0
1709753640000,973.0
1709753645000,986.0
1709753650000,996.0
1709753655000,1000.0
1709753660000,1000.0
1709753665000,1000.0
1709753670000,1000.0
1709753675000,1000.0
1709753680000,1000.0
1709753685000,
1709753730000,0.0
1709753735000,0.0
1709753740000,110.0
1709753745000,426.0
1709753750000,573.0
1709753755000,702.0
1709753760000,725.0
1709753765000,719.0
1709753770000,746.0
1709753775000,841.0
1709753780000,859.0
1709753785000,858.0
1709753790000,857.0
1709753795000,863.0
1709753800000,932.0
1709753805000,932.0
1709753810000,932.0
1709753815000,916.0
1709753820000,918.0
1709753825000,935.0
1709753830000,929.0
1709753835000,871.0
1709753840000,857.0
1709753845000,852.0
1709753850000,856.0
1709753855000,854.0
1709753860000,857.0
1709753865000,866.0
1709753870000,864.0
1709753875000,854.0
1709753880000,859.0
1709753885000,859.0
1709753890000,855.0
1709753895000,854.0
1709753900000,855.0
1709753905000,861.0
1709753910000,858.0
1709753915000,842.0
1709753920000,841.0
1709753925000,853.0
1709753930000,855.0
1709753935000,865.0
1709753940000,861.0
1709753945000,859.0
1709753950000,867.0
1709753955000,860.0
1709753960000,855.0
1709753965000,857.0
1709753970000,876.0
1709753975000,899.0
1709753980000,903.0
1709753985000,903.0
1709753990000,914.0
1709753995000,1000.0
1709754000000,1000.0
1709754005000,1000.0
1709754010000,1000.0
1709754015000,1000.0
1709754020000,1000.0
1709754025000,1000.0
1709754030000,1000.0
1709754035000,1000.0
1709754040000,1000.0
1709754045000,1000.0
1709754050000,1000.0
1709754055000,895.0
1709754060000,875.0
1709754065000,866.0
1709754070000,860.0
1709754075000,853.0
1709754080000,857.0
1709754085000,855.0
1709754090000,842.0
1709754095000,836.0
1709754100000,837.0
1709754105000,833.0
1709754110000,837.0
1709754115000,833.0
1709754120000,834.0
1709754125000,839.0
1709754130000,0.0
1709754135000,1000.0
1709754140000,904.0
1709754145000,
1709754190000,0.0
1709754195000,0.0
1709754200000,160.0
1709754205000,440.0
1709754210000,897.0
1709754215000,974.0
1709754220000,946.0
1709754225000,940.0
1709754230000,924.0
1709754235000,897.0
1709754240000,882.0
1709754245000,885.0
1709754250000,871.0
1709754255000,934.0
1709754260000,973.0
1709754265000,957.0
1709754270000,834.0
1709754275000,800.0
1709754280000,799.0
1709754285000,791.0
1709754290000,793.0
1709754295000,793.0
1709754300000,800.0
1709754305000,787.0
1709754310000,784.0
1709754315000,784.0
1709754320000,782.0
1709754325000,775.0
1709754330000,769.0
1709754335000,769.0
1709754340000,728.0
1709754345000,728.0
1709754350000,718.0
1709754355000,712.0
1709754360000,722.0
1709754365000,714.0
1709754370000,719.0
1709754375000,719.0
1709754380000,753.0
1709754385000,792.0
1709754390000,1000.0
1709754395000,1000.0
1709754400000,1000.0
1709754405000,1000.0
1709754410000,1000.0
1709754415000,1000.0
1709754420000,1000.0
1709754425000,1000.0
1709754430000,1000.0
1709754435000,1000.0
1709754440000,1000.0
1709754445000,1000.0
1709754450000,1000.0
1709754455000,780.0
1709754460000,780.0
1709754465000,771.0
1709754470000,786.0
1709754475000,787.0
1709754480000,790.0
1709754485000,809.0
1709754490000,826.0
1709754495000,844.0
1709754500000,816.0
1709754505000,798.0
1709754510000,799.0
1709754515000,789.0
1709754520000,821.0
1709754525000,821.0
1709754530000,804.0
1709754535000,814.0
1709754540000,830.0
1709754545000,823.0
1709754550000,823.0
1709754555000,840.0
1709754560000,836.0
1709754565000,834.0
1709754570000,841.0
1709754575000,854.0
1709754580000,850.0
1709754585000,851.0
1709754590000,877.0
1709754595000,890.0
1709754600000,897.0
1709754605000,913.0
1709754610000,
1709754655000,0.0
1709754660000,0.0
1709754665000,72.0
1709754670000,151.0
1709754675000,152.0
1709754680000,227.0
1709754685000,282.0
1709754690000,330.0
1709754695000,372.0
1709754700000,388.0
1709754705000,414.0
1709754710000,441.0
1709754715000,437.0
1709754720000,472.0
1709754725000,488.0
1709754730000,515.0
1709754735000,559.0
