,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4
Timestamp,,,,,
1702910075000,1000.0,,,,
1702910080000,0.0,,,,
1702910085000,0.0,,,,
1702910090000,63.0,,,,
1702910095000,171.0,,,,
1702910100000,244.0,,,,
1702910105000,370.0,,,,
1702910110000,460.0,,,,
1702910115000,527.0,,,,
1702910120000,580.0,,,,
1702910125000,622.0,,,,
1702910130000,656.0,,,,
1702910135000,685.0,,,,
1702910140000,777.0,,,,
1702910145000,861.0,,,,
1702910150000,920.0,,,,
1702910155000,962.0,,,,
1702910160000,1000.0,,,,
1702910165000,1000.0,,,,
1702910170000,1000.0,,,,
1702910175000,1000.0,,,,
1702910180000,1000.0,,,,
1702910185000,1000.0,,,,
1702910190000,1000.0,,,,
1702910195000,1000.0,,,,
1702910200000,1000.0,,,,
1702910205000,1000.0,,,,
1702910210000,1000.0,,,,
1702910215000,1000.0,,,,
1702910220000,1000.0,,,,
1702910225000,1000.0,,,,
1702910230000,1000.0,,,,
1702910235000,1000.0,,,,
1702910240000,1000.0,,,,
1702910245000,1000.0,,,,
1702910250000,1000.0,,,,
1702910255000,1000.0,,,,
1702910260000,1000.0,,,,
1702910265000,1000.0,,,,
1702910270000,1000.0,,,,
1702910275000,1000.0,,,,
1702910280000,1000.0,,,,
1702910285000,1000.0,,,,
1702910290000,1000.0,,,,
1702910295000,1000.0,,,,
1702910300000,1000.0,,,,
1702910305000,1000.0,,,,
1702910310000,1000.0,,,,
1702910315000,1000.0,,,,
1702910320000,1000.0,,,,
1702910325000,1000.0,,,,
1702910330000,1000.0,,,,
1702910335000,1000.0,,,,
1702910340000,1000.0,,,,
1702910345000,1000.0,,,,
1702910350000,1000.0,,,,
1702910355000,1000.0,,,,
1702910360000,1000.0,,,,
1702910365000,1000.0,,,,
1702910370000,1000.0,,,,
1702910375000,1000.0,,,,
1702910380000,1000.0,,,,
1702910385000,1000.0,,,,
1702910390000,1000.0,,,,
1702910395000,1000.0,,,,
1702910400000,1000.0,,,,
1702910405000,1000.0,,,,
1702910410000,1000.0,,,,
1702910415000,1000.0,,,,
1702910420000,1000.0,,,,
1702910425000,1000.0,,,,
1702910430000,1000.0,,,,
1702910435000,1000.0,,,,
1702910440000,1000.0,,,,
1702910445000,1000.0,,,,
1702910450000,,,,,
1702910500000,1000.0,,,,
1702910505000,1000.0,1000.0,,,
1702910510000,528.0,165.0,,,
1702910515000,764.0,454.0,,,
1702910520000,843.0,585.0,,,
1702910525000,882.0,651.0,,,
1702910530000,906.0,678.0,,,
1702910535000,922.0,702.0,,,
1702910540000,933.0,704.0,,,
1702910545000,941.0,720.0,,,
1702910550000,948.0,726.0,,,
1702910555000,953.0,736.0,,,
1702910560000,958.0,750.0,,,
1702910565000,961.0,759.0,,,
1702910570000,1000.0,818.0,,,
1702910575000,1000.0,815.0,,,
1702910580000,1000.0,816.0,,,
1702910585000,1000.0,819.0,,,
1702910590000,1000.0,829.0,,,
1702910595000,1000.0,834.0,,,
1702910600000,1000.0,843.0,,,
1702910605000,1000.0,847.0,,,
1702910610000,1000.0,853.0,,,
1702910615000,1000.0,850.0,,,
1702910620000,1000.0,851.0,,,
1702910625000,1000.0,853.0,,,
1702910630000,1000.0,854.0,,,
1702910635000,1000.0,866.0,,,
1702910640000,1000.0,865.0,,,
1702910645000,1000.0,862.0,,,
1702910650000,1000.0,860.0,,,
1702910655000,1000.0,857.0,,,
1702910660000,1000.0,866.0,,,
1702910665000,1000.0,865.0,,,
1702910670000,1000.0,866.0,,,
1702910675000,1000.0,872.0,,,
1702910680000,1000.0,872.0,,,
1702910685000,1000.0,870.0,,,
1702910690000,1000.0,865.0,,,
1702910695000,1000.0,869.0,,,
1702910700000,1000.0,870.0,,,
1702910705000,1000.0,875.0,,,
1702910710000,1000.0,878.0,,,
1702910715000,1000.0,878.0,,,
1702910720000,1000.0,878.0,,,
1702910725000,1000.0,875.0,,,
1702910730000,1000.0,874.0,,,
1702910735000,1000.0,874.0,,,
1702910740000,1000.0,874.0,,,
1702910745000,1000.0,877.0,,,
1702910750000,1000.0,879.0,,,
1702910755000,1000.0,877.0,,,
1702910760000,1000.0,872.0,,,
1702910765000,1000.0,870.0,,,
1702910770000,1000.0,868.0,,,
1702910775000,1000.0,867.0,,,
1702910780000,1000.0,863.0,,,
1702910785000,1000.0,868.0,,,
1702910790000,1000.0,868.0,,,
1702910795000,1000.0,876.0,,,
1702910800000,1000.0,877.0,,,
1702910805000,1000.0,877.0,,,
1702910810000,1000.0,874.0,,,
1702910815000,1000.0,874.0,,,
1702910820000,1000.0,881.0,,,
1702910825000,1000.0,882.0,,,
1702910830000,1000.0,881.0,,,
1702910835000,1000.0,883.0,,,
1702910840000,1000.0,884.0,,,
1702910845000,1000.0,887.0,,,
1702910850000,1000.0,887.0,,,
1702910855000,1000.0,880.0,,,
1702910860000,1000.0,880.0,,,
1702910865000,1000.0,883.0,,,
1702910870000,1000.0,887.0,,,
1702910875000,1000.0,887.0,,,
1702910880000,1000.0,887.0,,,
1702910885000,1000.0,887.0,,,
1702910890000,1000.0,886.0,,,
1702910895000,1000.0,886.0,,,
1702910900000,,,,,
1702910945000,,1000.0,,,
1702910950000,557.0,462.0,455.0,,
1702910955000,779.0,608.0,551.0,,
1702910960000,853.0,677.0,615.0,,
1702910965000,890.0,711.0,647.0,,
1702910970000,912.0,716.0,653.0,,
1702910975000,927.0,723.0,661.0,,
1702910980000,937.0,743.0,678.0,,
1702910985000,945.0,755.0,683.0,,
1702910990000,951.0,768.0,701.0,,
1702910995000,956.0,781.0,712.0,,
1702911000000,960.0,791.0,722.0,,
1702911005000,964.0,798.0,731.0,,
1702911010000,1000.0,834.0,762.0,,
1702911015000,1000.0,854.0,784.0,,
1702911020000,1000.0,862.0,792.0,,
1702911025000,1000.0,869.0,799.0,,
1702911030000,1000.0,885.0,815.0,,
1702911035000,1000.0,900.0,828.0,,
1702911040000,1000.0,905.0,838.0,,
1702911045000,1000.0,909.0,841.0,,
1702911050000,1000.0,915.0,837.0,,
1702911055000,1000.0,920.0,842.0,,
1702911060000,1000.0,923.0,845.0,,
1702911065000,1000.0,929.0,846.0,,
1702911070000,1000.0,928.0,848.0,,
1702911075000,1000.0,926.0,845.0,,
1702911080000,1000.0,929.0,847.0,,
1702911085000,1000.0,933.0,849.0,,
1702911090000,1000.0,934.0,848.0,,
1702911095000,1000.0,937.0,849.0,,
1702911100000,1000.0,942.0,852.0,,
1702911105000,1000.0,948.0,860.0,,
1702911110000,1000.0,947.0,865.0,,
1702911115000,1000.0,946.0,865.0,,
1702911120000,1000.0,944.0,864.0,,
1702911125000,1000.0,946.0,865.0,,
1702911130000,1000.0,946.0,865.0,,
1702911135000,1000.0,946.0,865.0,,
1702911140000,1000.0,946.0,866.0,,
1702911145000,1000.0,946.0,867.0,,
1702911150000,1000.0,949.0,867.0,,
1702911155000,1000.0,947.0,866.0,,
1702911160000,1000.0,943.0,864.0,,
1702911165000,1000.0,946.0,872.0,,
1702911170000,1000.0,953.0,873.0,,
1702911175000,1000.0,954.0,874.0,,
1702911180000,1000.0,958.0,877.0,,
1702911185000,1000.0,957.0,876.0,,
1702911190000,1000.0,957.0,876.0,,
1702911195000,1000.0,955.0,875.0,,
1702911200000,1000.0,956.0,874.0,,
1702911205000,1000.0,956.0,874.0,,
1702911210000,1000.0,948.0,870.0,,
1702911215000,1000.0,946.0,869.0,,
1702911220000,1000.0,946.0,870.0,,
1702911225000,1000.0,941.0,862.0,,
1702911230000,1000.0,930.0,855.0,,
1702911235000,1000.0,923.0,852.0,,
1702911240000,1000.0,923.0,851.0,,
1702911245000,1000.0,921.0,850.0,,
1702911250000,1000.0,925.0,850.0,,
1702911255000,1000.0,925.0,850.0,,
1702911260000,1000.0,924.0,853.0,,
1702911265000,1000.0,923.0,853.0,,
1702911270000,1000.0,928.0,859.0,,
1702911275000,1000.0,931.0,860.0,,
1702911280000,1000.0,929.0,857.0,,
1702911285000,1000.0,931.0,858.0,,
1702911290000,1000.0,935.0,862.0,,
1702911295000,1000.0,940.0,865.0,,
