Timestamp,flink_jobmanager_job_lastCheckpointDuration
0,-1.0
5,16.0
10,16.0
15,15.0
20,374.0
25,691.0
30,19.0
35,22.0
40,369.0
45,355.0
50,355.0
55,378.0
60,371.0
65,372.0
70,374.0
75,370.0
80,381.0
85,371.0
90,357.0
95,407.0
100,390.0
105,367.0
110,384.0
115,362.0
120,369.0
125,335.0
130,360.0
135,352.0
140,367.0
145,340.0
150,371.0
155,373.0
160,356.0
165,361.0
170,394.0
175,355.0
180,335.0
185,353.0
190,368.0
195,340.0
200,371.0
205,372.0
210,349.0
215,370.0
220,352.0
225,371.0
230,358.0
235,354.0
240,358.0
245,345.0
250,382.0
255,399.0
260,345.0
265,338.0
270,336.0
275,359.0
280,352.0
285,379.0
290,379.0
295,377.0
300,356.0
305,546.0
310,378.0
315,369.0
320,367.0
325,352.0
330,367.0
335,390.0
340,353.0
345,401.0
350,346.0
355,347.0
360,356.0
365,359.0
370,372.0
375,356.0
380,337.0
385,
430,-1.0
435,580.0
440,494.0
445,413.0
450,477.0
455,376.0
460,357.0
465,603.0
470,779.0
475,434.0
480,597.0
485,476.0
490,334.0
495,383.0
500,394.0
505,324.0
510,383.0
515,405.0
520,346.0
525,359.0
530,377.0
535,353.0
540,365.0
545,390.0
550,333.0
555,380.0
560,376.0
565,392.0
570,342.0
575,359.0
580,351.0
585,386.0
590,349.0
595,359.0
600,527.0
605,339.0
610,355.0
615,320.0
620,341.0
625,346.0
630,354.0
635,365.0
640,418.0
645,349.0
650,366.0
655,317.0
660,387.0
665,357.0
670,355.0
675,346.0
680,345.0
685,365.0
690,393.0
695,349.0
700,311.0
705,322.0
710,342.0
715,338.0
720,351.0
725,332.0
730,392.0
735,377.0
740,320.0
745,351.0
750,343.0
755,336.0
760,329.0
765,594.0
770,589.0
775,389.0
780,388.0
785,390.0
790,325.0
795,351.0
800,351.0
805,349.0
810,357.0
815,363.0
820,364.0
825,
870,-1.0
875,-1.0
880,346.0
885,421.0
890,479.0
895,377.0
900,364.0
905,420.0
910,387.0
915,486.0
920,444.0
925,379.0
930,371.0
935,378.0
940,361.0
945,399.0
950,372.0
955,370.0
960,374.0
965,657.0
970,386.0
975,382.0
980,407.0
985,428.0
990,376.0
995,359.0
1000,370.0
1005,365.0
1010,382.0
1015,385.0
1020,343.0
1025,386.0
1030,347.0
1035,358.0
1040,422.0
1045,379.0
1050,330.0
1055,360.0
1060,399.0
1065,386.0
1070,369.0
1075,391.0
1080,344.0
1085,606.0
1090,428.0
1095,349.0
1100,350.0
1105,373.0
1110,373.0
1115,369.0
1120,454.0
1125,387.0
1130,374.0
1135,578.0
1140,351.0
1145,366.0
1150,392.0
1155,377.0
1160,446.0
1165,342.0
1170,384.0
1175,402.0
1180,381.0
1185,377.0
1190,343.0
1195,387.0
1200,337.0
1205,378.0
1210,332.0
1215,358.0
1220,348.0
1225,376.0
1230,386.0
1235,342.0
1240,371.0
1245,378.0
1250,335.0
1255,362.0
1260,573.0
1265,
1310,-1.0
1315,-1.0
1320,679.0
1325,462.0
1330,470.0
1335,397.0
1340,411.0
1345,426.0
1350,600.0
1355,447.0
1360,458.0
1365,391.0
1370,446.0
1375,388.0
1380,387.0
1385,360.0
1390,359.0
1395,401.0
1400,374.0
1405,381.0
1410,346.0
1415,374.0
1420,390.0
1425,394.0
1430,383.0
1435,357.0
1440,358.0
1445,363.0
1450,574.0
1455,363.0
1460,316.0
1465,302.0
1470,318.0
1475,327.0
1480,361.0
1485,371.0
1490,302.0
1495,360.0
1500,310.0
1505,356.0
1510,376.0
1515,297.0
1520,279.0
1525,368.0
1530,392.0
1535,323.0
1540,363.0
1545,294.0
1550,355.0
1555,380.0
1560,329.0
1565,580.0
1570,355.0
1575,377.0
1580,353.0
1585,349.0
1590,350.0
1595,319.0
1600,367.0
1605,352.0
1610,362.0
1615,348.0
1620,376.0
1625,298.0
1630,323.0
1635,321.0
1640,386.0
1645,460.0
1650,421.0
1655,350.0
1660,321.0
1665,324.0
1670,388.0
1675,284.0
1680,364.0
1685,351.0
1690,379.0
1695,359.0
1700,363.0
1705,
1750,-1.0
1755,-1.0
1760,627.0
1765,470.0
1770,458.0
1775,625.0
1780,554.0
1785,459.0
1790,725.0
1795,430.0
1800,394.0
1805,397.0
1810,401.0
1815,390.0
1820,390.0
1825,347.0
1830,386.0
1835,395.0
1840,391.0
1845,390.0
1850,663.0
1855,424.0
1860,379.0
1865,372.0
1870,386.0
1875,369.0
1880,383.0
1885,374.0
1890,388.0
1895,408.0
1900,376.0
1905,376.0
1910,392.0
1915,382.0
1920,411.0
1925,369.0
1930,395.0
1935,356.0
1940,383.0
1945,381.0
1950,364.0
