,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1702974420000,0.0,,,,,,
1702974425000,0.0,,,,,,
1702974430000,0.0,,,,,,
1702974435000,0.0,,,,,,
1702974440000,0.0,,,,,,
1702974445000,38.5166666667,,,,,,
1702974450000,1061.3333333333,,,,,,
1702974455000,1482.3833333332998,,,,,,
1702974460000,2876.65,,,,,,
1702974465000,4696.71666667,,,,,,
1702974470000,6470.366666670001,,,,,,
1702974475000,8182.383333329999,,,,,,
1702974480000,10025.75,,,,,,
1702974485000,11726.15,,,,,,
1702974490000,13430.95,,,,,,
1702974495000,15307.98333333,,,,,,
1702974500000,17117.066666659997,,,,,,
1702974505000,18856.16666666,,,,,,
1702974510000,19566.21666666,,,,,,
1702974515000,20881.733333329998,,,,,,
1702974520000,21331.15,,,,,,
1702974525000,21313.316666659997,,,,,,
1702974530000,21327.016666659998,,,,,,
1702974535000,21480.36666666,,,,,,
1702974540000,21464.566666659997,,,,,,
1702974545000,21595.16666666,,,,,,
1702974550000,21779.96666666,,,,,,
1702974555000,21780.66666666,,,,,,
1702974560000,21829.016666659998,,,,,,
1702974565000,21897.83333333,,,,,,
1702974570000,21949.71666666,,,,,,
1702974575000,22076.41666666,,,,,,
1702974580000,22100.5,,,,,,
1702974585000,22165.2,,,,,,
1702974590000,22171.266666659998,,,,,,
1702974595000,22178.71666666,,,,,,
1702974600000,22252.55,,,,,,
1702974605000,22286.516666659998,,,,,,
1702974610000,22263.1,,,,,,
1702974615000,22270.016666659998,,,,,,
1702974620000,22281.6,,,,,,
1702974625000,22313.96666666,,,,,,
1702974630000,22412.7,,,,,,
1702974635000,22437.36666666,,,,,,
1702974640000,22459.233333329998,,,,,,
1702974645000,22387.483333329998,,,,,,
1702974650000,22450.93333333,,,,,,
1702974655000,22465.766666659998,,,,,,
1702974660000,22436.516666659998,,,,,,
1702974665000,22346.483333329998,,,,,,
1702974670000,22265.33333333,,,,,,
1702974675000,22280.733333329998,,,,,,
1702974680000,22277.41666666,,,,,,
1702974685000,22248.66666666,,,,,,
1702974690000,22261.516666659998,,,,,,
1702974695000,22269.96666666,,,,,,
1702974700000,22279.233333329998,,,,,,
1702974705000,22319.96666666,,,,,,
1702974710000,22316.6,,,,,,
1702974715000,22322.21666666,,,,,,
1702974720000,22271.88333333,,,,,,
1702974725000,22348.65,,,,,,
1702974730000,22388.05,,,,,,
1702974735000,22369.65,,,,,,
1702974740000,22393.61666666,,,,,,
1702974745000,22343.28333333,,,,,,
1702974750000,22262.2,,,,,,
1702974755000,22187.766666659998,,,,,,
1702974760000,22166.05,,,,,,
1702974765000,22205.05,,,,,,
1702974770000,22219.53333333,,,,,,
1702974775000,22184.483333329998,,,,,,
1702974780000,22260.9,,,,,,
1702974785000,22313.45,,,,,,
1702974790000,22394.25,,,,,,
1702974795000,22416.4,,,,,,
1702974800000,22411.016666659998,,,,,,
1702974805000,,,,,,,
1702974850000,0.0,0.0,,,,,
1702974855000,0.0,0.0,,,,,
1702974860000,545.15,601.55,,,,,
1702974865000,2022.4833333333,2058.8,,,,,
1702974870000,3658.91666667,3710.78333333,,,,,
1702974875000,5326.4,5373.53333333,,,,,
1702974880000,7052.65,7087.75,,,,,
1702974885000,8640.73333333,8676.33333333,,,,,
1702974890000,9884.91666666,9966.9,,,,,
1702974895000,11281.35,11324.05,,,,,
1702974900000,12860.216666659999,12914.48333333,,,,,
1702974905000,14361.866666659998,14414.216666659999,,,,,
1702974910000,16030.66666666,16056.68333333,,,,,
1702974915000,17726.86666666,17768.91666666,,,,,
1702974920000,18900.21666666,18882.08333333,,,,,
1702974925000,19211.61666666,19208.03333333,,,,,
1702974930000,19174.88333333,19145.95,,,,,
1702974935000,19262.41666666,19243.816666659997,,,,,
1702974940000,19319.15,19325.233333329998,,,,,
1702974945000,19504.45,19489.16666666,,,,,
1702974950000,19798.33333333,19749.45,,,,,
1702974955000,20120.91666666,20106.18333333,,,,,
1702974960000,20349.25,20333.33333333,,,,,
1702974965000,20555.13333333,20552.11666666,,,,,
1702974970000,20690.85,20695.83333333,,,,,
1702974975000,20759.25,20752.63333333,,,,,
1702974980000,20844.816666659997,20865.65,,,,,
1702974985000,20865.96666666,20882.45,,,,,
1702974990000,20886.316666659997,20891.66666666,,,,,
1702974995000,20826.0,20831.16666666,,,,,
1702975000000,20752.53333333,20750.33333333,,,,,
1702975005000,20803.21666666,20817.45,,,,,
1702975010000,21063.816666659997,21061.53333333,,,,,
1702975015000,21069.83333333,21070.63333333,,,,,
1702975020000,21081.65,21058.91666666,,,,,
1702975025000,21126.03333333,21116.16666666,,,,,
1702975030000,21129.4,21130.5,,,,,
1702975035000,21088.316666659997,21093.516666659998,,,,,
1702975040000,21093.816666659997,21074.816666659997,,,,,
1702975045000,21067.1,21071.15,,,,,
1702975050000,21245.63333333,21258.0,,,,,
1702975055000,21341.566666659997,21338.86666666,,,,,
1702975060000,21399.0,21424.6,,,,,
1702975065000,21266.46666666,21268.483333329998,,,,,
1702975070000,21296.33333333,21299.58333333,,,,,
1702975075000,21394.016666659998,21393.71666666,,,,,
1702975080000,21392.03333333,21411.566666659997,,,,,
1702975085000,21391.516666659998,21407.316666659997,,,,,
1702975090000,21385.66666666,21382.03333333,,,,,
1702975095000,21408.483333329998,21424.03333333,,,,,
1702975100000,21369.15,21377.36666666,,,,,
1702975105000,21352.816666659997,21354.68333333,,,,,
1702975110000,21357.45,21358.8,,,,,
1702975115000,21410.233333329998,21395.316666659997,,,,,
1702975120000,21511.03333333,21478.566666659997,,,,,
1702975125000,21637.88333333,21634.86666666,,,,,
1702975130000,21661.16666666,21664.85,,,,,
1702975135000,21649.016666659998,21651.516666659998,,,,,
1702975140000,21668.3,21687.983333329998,,,,,
1702975145000,21758.3,21732.53333333,,,,,
1702975150000,21731.53333333,21741.733333329998,,,,,
1702975155000,21765.25,21745.3,,,,,
1702975160000,21758.516666659998,21755.2,,,,,
1702975165000,21788.983333329998,21770.233333329998,,,,,
1702975170000,21780.45,21776.6,,,,,
1702975175000,21708.41666666,21721.2,,,,,
1702975180000,21681.53333333,21688.96666666,,,,,
1702975185000,21679.53333333,21686.65,,,,,
1702975190000,21466.2,21501.8,,,,,
1702975195000,21422.65,21424.0,,,,,
1702975200000,21411.5,21401.4,,,,,
1702975205000,21383.35,21401.733333329998,,,,,
1702975210000,21441.93333333,21425.95,,,,,
1702975215000,21434.55,21428.2,,,,,
1702975220000,21501.16666666,21513.58333333,,,,,
1702975225000,21533.68333333,21543.68333333,,,,,
1702975230000,21555.35,21545.38333333,,,,,
1702975235000,21598.066666659997,21602.75,,,,,
1702975240000,21576.96666666,21582.75,,,,,
1702975245000,,,,,,,
1702975290000,0.0,,0.0,,,,
1702975295000,1.233333333333,0.0,0.0,,,,
1702975300000,699.05,21.9,15.066666666666,,,,
1702975305000,2144.0666666666,861.7833333333,869.6666666666,,,,
1702975310000,3607.31666667,2294.0833333333,2303.4833333333,,,,
1702975315000,5049.31666667,3725.65,3733.38333333,,,,
1702975320000,6575.16666667,5193.38333333,5195.66666667,,,,
1702975325000,7940.28333333,6730.383333329999,6731.58333333,,,,
1702975330000,9411.6,8081.2,8095.683333329999,,,,
1702975335000,10935.95,9559.033333329999,9544.71666666,,,,
1702975340000,12440.73333333,11096.65,11097.4,,,,
1702975345000,13860.56666666,12603.016666659998,12600.866666659998,,,,
