Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,1000.0,,,,,,0.0,-1.0,-1.0,1
5,0.0,,,,,,702.0,,,,,,0.0,-1.0,-1.0,1
10,0.0,,,,,,340.0,,,,,,0.0,1381.0,17.0,1
15,0.0,,,,,,221.0,,,,,,0.0,1381.0,16.0,1
20,173.45,,,,,,221.0,,,,,,0.0,1381.0,41.0,1
25,845.7,,,,,,300.0,,,,,,11.0,1381.0,23.0,1
30,845.7,,,,,,244.0,,,,,,9.0,1381.0,13.0,1
35,845.7,,,,,,204.0,,,,,,8.0,1381.0,13.0,1
40,1350.95,,,,,,214.0,,,,,,30.0,1381.0,12.0,1
45,3113.7333333333,,,,,,302.0,,,,,,131.0,1381.0,381.0,1
50,5024.25,,,,,,371.0,,,,,,214.0,1381.0,342.0,1
55,6980.55,,,,,,429.0,,,,,,278.0,1381.0,358.0,1
60,8930.01666666,,,,,,476.0,,,,,,337.0,1381.0,428.0,1
65,10827.61666666,,,,,,501.0,,,,,,417.0,1381.0,347.0,1
70,12675.8,,,,,,586.0,,,,,,494.0,1381.0,338.0,1
75,14548.216666659999,,,,,,671.0,,,,,,573.0,1381.0,454.0,1
80,16281.16666666,,,,,,736.0,,,,,,654.0,1381.0,346.0,1
85,17328.18333333,,,,,,768.0,,,,,,729.0,1381.0,335.0,1
90,19272.68333333,,,,,,855.0,,,,,,808.0,1381.0,340.0,1
95,21195.03333333,,,,,,941.0,,,,,,889.0,1381.0,336.0,1
100,22671.316666659997,,,,,,1000.0,,,,,,954.0,1381.0,361.0,1
105,22776.28333333,,,,,,1000.0,,,,,,956.0,1381.0,380.0,1
110,22831.066666659997,,,,,,1000.0,,,,,,956.0,1381.0,335.0,1
115,22906.58333333,,,,,,1000.0,,,,,,959.0,1381.0,336.0,1
120,22978.96666666,,,,,,1000.0,,,,,,957.0,1381.0,344.0,1
125,23054.9,,,,,,1000.0,,,,,,957.0,1381.0,368.0,1
130,23228.78333333,,,,,,1000.0,,,,,,961.0,1381.0,350.0,1
135,23189.36666666,,,,,,1000.0,,,,,,963.0,1381.0,350.0,1
140,23209.766666659998,,,,,,1000.0,,,,,,963.0,1381.0,542.0,1
145,23365.683333330002,,,,,,1000.0,,,,,,960.0,1381.0,409.0,1
150,23441.03333333,,,,,,1000.0,,,,,,961.0,1381.0,345.0,1
155,23533.48333333,,,,,,1000.0,,,,,,959.0,1381.0,338.0,1
160,23569.933333330002,,,,,,1000.0,,,,,,958.0,1381.0,343.0,1
165,23705.21666666,,,,,,1000.0,,,,,,958.0,1381.0,339.0,1
170,23758.333333330003,,,,,,1000.0,,,,,,957.0,1381.0,359.0,1
175,23746.8,,,,,,1000.0,,,,,,957.0,1381.0,340.0,1
180,23563.78333333,,,,,,1000.0,,,,,,958.0,1381.0,368.0,1
185,23623.016666659998,,,,,,1000.0,,,,,,957.0,1381.0,339.0,1
190,23620.95,,,,,,1000.0,,,,,,957.0,1381.0,338.0,1
195,23799.48333333,,,,,,1000.0,,,,,,956.0,1381.0,342.0,1
200,23907.03333333,,,,,,1000.0,,,,,,954.0,1381.0,359.0,1
205,24071.583333330003,,,,,,1000.0,,,,,,956.0,1381.0,338.0,1
210,24080.86666666,,,,,,1000.0,,,,,,958.0,1381.0,327.0,1
215,24104.1,,,,,,1000.0,,,,,,958.0,1381.0,328.0,1
220,24090.21666666,,,,,,1000.0,,,,,,958.0,1381.0,330.0,1
225,24098.95,,,,,,1000.0,,,,,,958.0,1381.0,384.0,1
230,24107.383333330003,,,,,,1000.0,,,,,,957.0,1381.0,319.0,1
235,24070.45,,,,,,1000.0,,,,,,959.0,1381.0,332.0,1
240,24261.5,,,,,,1000.0,,,,,,958.0,1381.0,339.0,1
245,24117.3,,,,,,1000.0,,,,,,957.0,1381.0,362.0,1
250,24122.183333330002,,,,,,1000.0,,,,,,958.0,1381.0,357.0,1
255,24014.91666666,,,,,,1000.0,,,,,,958.0,1381.0,335.0,1
260,23880.183333330002,,,,,,1000.0,,,,,,958.0,1381.0,553.0,1
265,23851.7,,,,,,1000.0,,,,,,960.0,1381.0,367.0,1
270,23849.53333333,,,,,,1000.0,,,,,,959.0,1381.0,347.0,1
275,23832.833333330003,,,,,,1000.0,,,,,,959.0,1381.0,342.0,1
280,23855.7,,,,,,1000.0,,,,,,958.0,1381.0,326.0,1
285,23782.55,,,,,,1000.0,,,,,,959.0,1381.0,374.0,1
290,23738.05,,,,,,1000.0,,,,,,960.0,1381.0,429.0,1
295,23792.316666659997,,,,,,1000.0,,,,,,960.0,1381.0,340.0,1
300,23804.6,,,,,,1000.0,,,,,,960.0,1381.0,336.0,1
305,23922.21666666,,,,,,1000.0,,,,,,962.0,1381.0,379.0,1
310,23930.433333330002,,,,,,1000.0,,,,,,961.0,1381.0,333.0,1
315,24050.5,,,,,,1000.0,,,,,,962.0,1381.0,339.0,1
320,24186.6,,,,,,1000.0,,,,,,963.0,1381.0,343.0,1
325,24205.083333330003,,,,,,1000.0,,,,,,962.0,1381.0,346.0,1
330,24190.3,,,,,,1000.0,,,,,,961.0,1381.0,341.0,1
335,24179.5,,,,,,1000.0,,,,,,962.0,1381.0,352.0,1
340,24180.75,,,,,,1000.0,,,,,,961.0,1381.0,338.0,1
345,24276.183333330002,,,,,,1000.0,,,,,,962.0,1381.0,338.0,1
350,24321.16666666,,,,,,1000.0,,,,,,961.0,1381.0,336.0,1
355,24310.883333330003,,,,,,1000.0,,,,,,961.0,1381.0,343.0,1
360,24294.9,,,,,,1000.0,,,,,,960.0,1381.0,316.0,1
365,24249.183333330002,,,,,,1000.0,,,,,,960.0,1381.0,359.0,1
370,24238.066666659997,,,,,,1000.0,,,,,,961.0,1381.0,402.0,1
375,24263.73333333,,,,,,1000.0,,,,,,959.0,1381.0,329.0,1
380,,,,,,,,,,,,,0.0,1381.0,332.0,0
385,0.0,,,,,,1000.0,,,,,,0.0,1381.0,375.0,1
390,,,,,,,,,,,,,,1381.0,333.0,0
395,,,,,,,,,,,,,,,,0
435,,0.0,,,,,,,,,,,,,,1
440,0.0,0.0,,,,,1000.0,1000.0,,,,,0.0,-1.0,-1.0,2
445,0.0,520.6166666666,,,,,1000.0,247.0,,,,,0.0,-1.0,-1.0,2
450,433.9166666666,1940.1833333332997,,,,,519.0,479.0,,,,,443.0,1381.0,459.0,2
455,1869.8,3607.68333333,,,,,760.0,574.0,,,,,666.0,1381.0,395.0,2
460,3531.5,5232.86666667,,,,,840.0,615.0,,,,,746.0,1381.0,356.0,2
465,5154.93333333,6846.4,,,,,880.0,639.0,,,,,778.0,1381.0,495.0,2
470,6750.11666666,8532.81666666,,,,,904.0,663.0,,,,,792.0,1381.0,366.0,2
475,8420.83333333,10076.6,,,,,920.0,677.0,,,,,804.0,1381.0,329.0,2
480,9968.41666666,11505.96666666,,,,,932.0,676.0,,,,,816.0,1381.0,413.0,2
485,11433.96666666,13112.75,,,,,940.0,682.0,,,,,825.0,1381.0,586.0,2
