Time,Parallelism,Throughput_OUT,Throughput_IN
1706085706,1.0,1130.7,1130.7
1706085716,1.0,3911.53333333,3911.56666667
1706085726,1.0,7591.61666666,7591.65
1706085736,1.0,11364.61666666,11364.65
1706085746,1.0,15116.266666659998,15116.3
1706085756,1.0,18702.51666666,18702.55
1706085766,1.0,21278.33333333,21278.36666666
1706085776,1.0,22258.55,22258.55
1706085786,1.0,22260.01666666,22260.0
1706085796,1.0,22192.03333333,22192.03333333
1706085806,1.0,22391.31666666,22391.31666666
1706085816,1.0,22741.51666666,22741.51666666
1706085826,1.0,22748.06666666,22748.06666666
1706085836,1.0,22924.83333333,22924.83333333
1706085846,1.0,23179.45,23179.48333333
1706085856,1.0,23414.68333333,23414.68333333
1706085866,1.0,23388.883333330003,23388.883333330003
1706085876,1.0,23414.383333330003,23414.383333330003
1706085886,1.0,23671.95,23671.95
1706085896,1.0,23634.45,23634.43333333
1706085906,1.0,23590.41666666,23590.4
1706085916,1.0,23624.383333330003,23624.383333330003
1706085926,1.0,23654.31666666,23654.31666666
1706085936,1.0,23565.883333330003,23565.883333330003
1706086006,2.0,2855.4333333333,0.0
1706086016,2.0,9288.35,2855.4666666666
1706086026,2.0,15898.25,9288.4
1706086036,2.0,21682.78333333,15898.28333333
1706086046,2.0,28009.85,21682.83333333
1706086056,2.0,34805.733333330005,28009.883333330003
1706086066,2.0,38411.06666666,34805.76666666
1706086076,2.0,38652.45,38411.05
1706086086,2.0,39062.16666666,38652.43333333
1706086096,2.0,39612.18333333,39062.16666666
1706086106,2.0,40233.21666666,39612.15
1706086116,2.0,40115.46666666,40233.233333330005
1706086126,2.0,40689.31666666,40115.46666666
1706086136,2.0,41032.733333330005,40689.31666666
1706086146,2.0,41202.01666666,41032.75
1706086156,2.0,41807.95,41202.01666666
1706086166,2.0,42041.76666666,41807.983333330005
1706086176,2.0,42554.11666666,42041.75
1706086186,2.0,42472.33333333,42554.11666666
1706086196,2.0,42747.7,42472.35
1706086206,2.0,42825.1,42747.68333333
1706086216,2.0,43142.26666666,42825.08333333
1706086226,2.0,43103.26666666,43142.25
1706086236,2.0,43159.51666666,43103.26666666
1706086246,2.0,43355.6,43159.51666666
1706086256,2.0,43191.68333333,43355.61666666
1706086266,1.0,21486.65,43191.68333333
1706086316,3.0,88.9833333333,21486.65
1706086336,3.0,13184.96666666,89.0
1706086346,3.0,22293.06666666,4220.23333333
1706086356,3.0,31125.96666666,13185.016666659998
1706086366,3.0,40303.81666666,22293.06666666
1706086376,3.0,49195.8,31126.01666666
1706086386,3.0,55090.63333333,40303.85
1706086396,3.0,56398.55,49195.83333333
1706086406,3.0,56956.46666666,55090.63333333
1706086416,3.0,57411.13333333,56398.53333333
1706086426,3.0,57735.66666666001,56956.483333330005
1706086436,3.0,58148.05,57411.13333333
1706086446,3.0,58579.43333333,57735.65
1706086456,3.0,58755.36666666,58148.016666660005
1706086466,3.0,59418.55,58579.43333333
1706086476,3.0,60644.25,58755.38333333
1706086486,3.0,61551.516666660005,59418.55
1706086496,3.0,62752.2,60644.233333330005
1706086506,3.0,62684.733333330005,61551.516666660005
1706086516,3.0,62818.21666666,62752.21666666
1706086526,3.0,62975.25,62684.733333330005
1706086536,3.0,62708.483333330005,62818.21666666
1706086546,3.0,61897.55,62975.266666660005
1706086556,3.0,61261.78333333,62708.46666666
1706086566,3.0,61044.31666666,61897.56666666
1706086576,3.0,60799.71666666,61261.78333333
1706086586,1.0,20254.9,61044.3
1706086636,4.0,176.1,60799.733333330005
1706086646,4.0,5241.3,20254.9
1706086666,4.0,27331.81666666,176.1333333333
1706086676,4.0,38139.78333333,5241.33333333
1706086686,4.0,49631.5,16066.616666659998
1706086696,4.0,62306.61666666,27331.833333330003
1706086706,4.0,69859.23333333,38139.83333333
1706086716,4.0,71856.01666666,49631.516666660005
1706086726,4.0,73526.98333333,62306.61666666
1706086736,4.0,74813.7,69859.25
1706086746,4.0,76174.36666666,71856.01666666
1706086756,4.0,75963.0,73527.01666666
1706086766,4.0,76202.96666666001,74813.7
1706086776,4.0,76617.05,76174.38333333
1706086786,4.0,76643.43333333,75963.01666666
1706086796,4.0,77679.21666666001,76202.96666666001
1706086806,4.0,78211.3,76617.03333333001
1706086816,4.0,79040.2,76643.4
1706086826,4.0,79585.15,77679.21666666001
1706086836,4.0,79703.46666666001,78211.31666666
1706086846,4.0,79969.13333333,79040.2
1706086856,4.0,80342.38333333,79585.15
1706086866,4.0,79987.4,79703.48333333
1706086876,4.0,79736.05,79969.16666666
1706086886,4.0,79590.76666666,80342.38333333
1706086896,4.0,79534.51666666,79987.38333333
1706086906,3.0,19884.88333333,79736.03333333001
1706086916,1.0,673.5333333333,79590.73333333
1706086966,5.0,216.6666666666,79534.5
1706086976,5.0,7380.83333333,19884.86666666
1706086986,5.0,20981.33333333,673.55
1706087006,5.0,47688.06666666,216.6833333333
1706087016,5.0,62280.71666666,7380.9
1706087026,5.0,77911.56666666,20981.43333333
1706087036,5.0,86992.95,34308.55
1706087046,5.0,89885.43333333,47688.13333333
1706087056,5.0,93107.11666666,62280.78333333
1706087066,5.0,95636.81666666,77911.63333333
1706087076,5.0,97426.18333333,86992.95
1706087086,5.0,97757.96666666,89885.41666666
1706087096,5.0,98051.83333333,93107.1
1706087106,5.0,97984.63333333,95636.81666666
1706087116,5.0,97846.21666666,97426.21666666
1706087126,5.0,98719.06666666,97758.0
1706087136,5.0,98954.11666666,98051.81666666
1706087146,5.0,99444.55,97984.65
1706087156,5.0,99628.0,97846.26666666
1706087166,5.0,99993.93333333,98719.1
1706087176,5.0,100161.61666666,98954.1
1706087186,5.0,100128.31666666,99444.51666666
1706087196,5.0,100079.41666666,99628.03333333
1706087206,5.0,99186.53333333,99993.91666666
1706087216,5.0,97508.48333333,100161.63333333
1706087226,5.0,96845.61666666,100128.3
1706087236,1.0,19346.81666666,100079.4
1706087286,6.0,374.0,99186.53333333
1706087296,6.0,9075.9,97508.45
1706087306,6.0,23216.61666666,96845.6
1706087316,6.0,36989.43333333,19346.8
1706087336,6.0,67309.18333333,374.0333333333
1706087346,6.0,83689.41666665999,9075.98333333
1706087356,6.0,91925.85,23216.65
1706087366,6.0,94647.68333333,36989.5
1706087376,6.0,98260.98333333,52296.98333333
1706087386,6.0,99631.78333333,67309.3
1706087396,6.0,100942.83333333,83689.45
1706087406,6.0,101092.13333333,91925.86666666
1706087416,6.0,101788.61666666,94647.73333333
1706087426,6.0,101620.53333333,98260.95
1706087436,6.0,101537.26666666,99631.76666666
1706087446,6.0,102461.18333333,100942.75
1706087456,6.0,103589.96666666,101092.11666666
1706087466,6.0,103300.4,101788.6
1706087476,6.0,102589.86666666,101620.55
1706087486,6.0,103772.75,101537.31666666
1706087496,6.0,104253.03333333,102461.2
1706087506,6.0,104520.5,103590.0
1706087516,6.0,104879.68333333,103300.38333333
1706087526,6.0,106019.01666666,102589.86666666
1706087536,6.0,106460.45,103772.71666666
1706087546,6.0,105114.75,104253.05
1706087556,5.0,0.0,104520.53333333
1706087616,7.0,204.5,104879.68333333
1706087626,7.0,10401.0,106019.08333333
1706087636,7.0,25096.86666666,106460.41666666
1706087646,7.0,40255.45,105114.76666666
1706087656,7.0,56737.23333333,0.0
1706087676,7.0,92117.53333333,204.5166666666
1706087686,7.0,100921.85,10401.06666666
1706087696,7.0,105235.15,25096.9
1706087706,7.0,108290.35,40255.51666666
1706087716,7.0,107975.68333333,56737.3
1706087726,7.0,110030.98333333,73730.95
1706087736,7.0,110604.9,92117.6
1706087746,7.0,110607.86666666,100921.83333333
1706087756,7.0,110244.13333333,105235.18333333
1706087766,7.0,111167.93333333,108290.3
1706087776,7.0,114495.48333333,107975.65
1706087786,7.0,114657.2,110031.0
1706087796,7.0,114443.78333333,110604.88333333
1706087806,7.0,114929.36666666,110607.88333333
1706087816,7.0,115718.08333333,110244.15
1706087826,7.0,116233.41666666,111167.98333333
1706087836,7.0,116275.08333333,114495.51666666
1706087846,7.0,116336.53333333,114657.18333333
1706087856,7.0,116864.78333333,114443.78333333
1706087866,7.0,117153.6,114929.36666666
1706087876,7.0,115564.43333333,115718.08333333
