Time,Parallelism,Throughput_OUT,Throughput_IN
1707263004,1.0,0.0,0.0
1707263009,1.0,49.5833333333,49.6
1707263014,1.0,984.35,984.35
1707263019,1.0,984.35,984.35
1707263024,1.0,2414.0833333333,2414.1
1707263029,1.0,4309.46666667,4309.48333333
1707263034,1.0,6111.6,6111.61666667
1707263039,1.0,8000.35,8000.35
1707263044,1.0,9820.91666666,9820.93333333
1707263049,1.0,11646.08333333,11646.1
1707263054,1.0,13438.15,13438.16666666
1707263059,1.0,15226.55,15226.56666666
1707263064,1.0,17121.58333333,17121.6
1707263069,1.0,18971.15,18971.15
1707263074,1.0,19807.38333333,19807.4
1707263079,1.0,21656.31666666,21656.33333333
1707263084,1.0,22094.98333333,22094.98333333
1707263089,1.0,22148.13333333,22148.13333333
1707263094,1.0,22262.23333333,22262.23333333
1707263099,1.0,22322.61666666,22322.63333333
1707263104,1.0,22430.18333333,22430.18333333
1707263109,1.0,22542.53333333,22542.53333333
1707263114,1.0,22693.75,22693.75
1707263119,1.0,22844.26666666,22844.26666666
1707263124,1.0,22888.73333333,22888.73333333
1707263129,1.0,22815.83333333,22815.83333333
1707263134,1.0,22830.45,22830.45
1707263139,1.0,22891.06666666,22891.06666666
1707263144,1.0,22967.01666666,22967.01666666
1707263149,1.0,22982.26666666,22982.26666666
1707263154,1.0,23016.78333333,23016.78333333
1707263159,1.0,23017.85,23017.85
1707263164,1.0,22938.16666666,22938.16666666
1707263169,1.0,22960.93333333,22960.93333333
1707263174,1.0,22965.71666666,22965.71666666
1707263179,1.0,22962.41666666,22962.41666666
1707263184,1.0,22841.43333333,22841.43333333
1707263189,1.0,22915.48333333,22915.48333333
1707263194,1.0,23053.23333333,23053.23333333
1707263199,1.0,23105.53333333,23105.53333333
1707263204,1.0,23115.96666666,23115.96666666
1707263209,1.0,23110.73333333,23110.73333333
1707263214,1.0,23117.88333333,23117.88333333
1707263219,1.0,23118.05,23118.05
1707263224,1.0,23205.05,23205.05
1707263229,1.0,23182.55,23182.55
1707263234,1.0,23068.03333333,23068.01666666
1707263239,1.0,23053.18333333,23053.18333333
1707263244,1.0,23174.1,23174.1
1707263249,1.0,23232.91666666,23232.91666666
1707263254,1.0,23250.45,23250.45
1707263259,1.0,22977.98333333,22977.96666666
1707263264,1.0,22528.91666666,22528.91666666
1707263269,1.0,22512.83333333,22512.83333333
1707263274,1.0,22526.15,22526.15
1707263279,1.0,22518.41666666,22518.41666666
1707263334,2.0,0.0,0.0
1707263339,2.0,1110.1833333333,0.0
1707263344,2.0,4146.46666667,1110.2
1707263349,2.0,7523.05,4146.48333333
1707263354,2.0,10866.9,7523.1
1707263359,2.0,14177.7,10866.91666666
1707263364,2.0,16590.65,14177.7
1707263369,2.0,19578.71666666,16590.68333333
1707263374,2.0,22556.2,19578.75
1707263379,2.0,25622.5,22556.23333333
1707263384,2.0,28690.56666666,25622.53333333
1707263389,2.0,32012.8,28690.58333333
1707263394,2.0,35419.56666666,32012.85
1707263399,2.0,37913.56666666,35419.58333333
1707263404,2.0,38392.7,37913.58333333
1707263409,2.0,37733.7,38392.68333333
1707263414,2.0,37905.61666666,37733.66666666
1707263419,2.0,38147.33333333,37905.63333333
1707263424,2.0,39254.4,38147.35
1707263429,2.0,39482.61666666,39254.4
1707263434,2.0,39086.25,39482.61666666
1707263439,2.0,39659.733333330005,39086.25
1707263444,2.0,40213.58333333,39659.71666666
1707263449,2.0,40535.65,40213.6
1707263454,2.0,40788.28333333,40535.63333333
1707263459,2.0,40876.53333333,40788.3
1707263464,2.0,41058.51666666,40876.51666666
1707263469,2.0,41936.983333330005,41058.56666666
1707263474,2.0,42082.01666666,41937.0
1707263479,2.0,42146.08333333,42082.0
1707263484,2.0,42312.53333333,42146.1
1707263489,2.0,42811.33333333,42312.53333333
1707263494,2.0,43780.88333333,42811.31666666
1707263499,2.0,43741.85,43780.88333333
1707263504,2.0,43737.08333333,43741.85
1707263509,2.0,43643.05,43737.08333333
1707263514,2.0,43599.33333333,43643.05
1707263519,2.0,43345.16666666,43599.33333333
1707263524,2.0,43258.33333333,43345.18333333
1707263529,2.0,43245.93333333,43258.33333333
1707263534,2.0,43280.81666666,43245.93333333
1707263539,2.0,43329.68333333,43280.85
1707263544,2.0,43371.08333333,43329.66666666
1707263549,2.0,43344.93333333,43371.08333333
1707263554,2.0,43444.61666666,43344.93333333
1707263559,2.0,43542.1,43444.61666666
1707263564,2.0,43637.983333330005,43542.13333333
1707263569,2.0,43678.88333333,43637.983333330005
1707263574,2.0,43184.18333333,43678.85
1707263579,2.0,43348.26666666,43184.18333333
1707263584,2.0,43427.5,43348.26666666
1707263589,2.0,43176.05,43427.5
1707263594,2.0,43016.233333330005,43176.03333333
1707263599,2.0,42857.6,43016.233333330005
1707263604,2.0,42778.63333333,42857.61666666
1707263609,2.0,42707.983333330005,42778.61666666
1707263614,2.0,42689.733333330005,42708.01666666
1707263619,2.0,42687.11666666,42689.733333330005
1707263669,3.0,0.0,42687.1
1707263679,3.0,1989.4166666666,0.0
1707263684,3.0,6455.733333329999,0.0
1707263689,3.0,11148.31666666,1989.45
1707263694,3.0,15738.48333333,6455.766666670001
1707263699,3.0,20107.76666666,11148.35
1707263704,3.0,24498.333333330003,15738.5
1707263709,3.0,29002.53333333,20107.8
1707263714,3.0,33469.06666666,24498.36666666
1707263719,3.0,36563.233333330005,29002.55
1707263724,3.0,41010.16666666,33469.1
1707263729,3.0,45203.58333333,36563.28333333
1707263734,3.0,50589.6,41010.18333333
1707263739,3.0,53872.86666666,45203.61666666
1707263744,3.0,54809.16666666001,50589.63333333
1707263749,3.0,55406.56666666,53872.85
1707263754,3.0,56230.56666666,54809.15
1707263759,3.0,57110.45,55406.56666666
1707263764,3.0,58029.766666660005,56230.56666666
1707263769,3.0,58299.81666666,57110.45
1707263774,3.0,59004.36666666,58029.75
1707263779,3.0,61219.21666666,58299.83333333
1707263784,3.0,62029.71666666,59004.35
1707263789,3.0,61501.81666666,61219.2
1707263794,3.0,61626.3,62029.75
1707263799,3.0,61598.8,61501.81666666
1707263804,3.0,61531.483333330005,61626.3
1707263809,3.0,61538.33333333,61598.8
1707263814,3.0,60842.983333330005,61531.483333330005
1707263819,3.0,60887.21666666,61538.33333333
1707263824,3.0,60969.05,60843.03333333
1707263829,3.0,61343.2,60887.21666666
1707263834,3.0,61389.81666666,60969.05
1707263839,3.0,61160.08333333,61343.2
1707263844,3.0,61188.96666666,61389.83333333
1707263849,3.0,62785.9,61160.08333333
1707263854,3.0,62683.58333333,61188.96666666
1707263859,3.0,62372.233333330005,62785.9
1707263864,3.0,62220.66666666001,62683.58333333
1707263869,3.0,62091.1,62372.28333333
1707263874,3.0,62734.266666660005,62220.66666666001
1707263879,3.0,62750.28333333,62091.1
1707263884,3.0,61360.35,62734.266666660005
1707263889,3.0,61321.983333330005,62750.3
1707263894,3.0,61467.2,61360.36666666
1707263899,3.0,61465.16666666001,61322.0
