Time,Parallelism,Throughput_OUT,Throughput_IN
1707950372,1.0,0.0,0.0
1707950377,1.0,0.0,0.0
1707950382,1.0,0.0,0.0
1707950387,1.0,0.0,0.0
1707950392,1.0,0.0,0.0
1707950397,1.0,0.0,1278.6
1707950402,1.0,0.0,2372.7666666666
1707950407,1.0,0.0,7006.83333333
1707950412,1.0,0.0,7006.83333333
1707950417,1.0,0.0,16947.48333333
1707950422,1.0,0.0,18816.46666666
1707950427,1.0,0.0,24427.21666666
1707950432,1.0,0.0,25773.5
1707950437,1.0,0.0,28325.21666666
1707950442,1.0,24.25,32063.83333333
1707950447,1.0,45.0666666667,33775.03333332999
1707950452,1.0,431.7166666666,39408.15
1707950457,1.0,1724.2,38219.8
1707950462,1.0,1724.2,40299.1
1707950467,1.0,3020.2166666666,38906.85
1707950472,1.0,5107.33333333,36264.93333333
1707950477,1.0,5107.33333333,36264.93333333
1707950482,1.0,6711.05,27675.71666666
1707950487,1.0,6826.83333333,22064.96666666
1707950492,1.0,6826.83333333,21050.85
1707950497,1.0,6826.83333333,19676.01666666
1707950502,1.0,6802.58333333,21650.31666666
1707950507,1.0,6781.76666666,20518.75
1707950512,1.0,6395.116666670001,18995.08333333
1707950517,1.0,6395.116666670001,18995.08333333
1707950522,1.0,5102.63333333,21403.06666666
1707950527,1.0,5102.63333333,21403.06666666
1707950532,1.0,3806.61666667,22096.65
1707950537,1.0,1719.5,23385.86666666
1707950542,1.0,170.9333333333,22974.35
1707950547,1.0,170.9333333333,22974.35
1707950552,1.0,0.0,24171.33333333
1707950557,1.0,0.0,26585.61666666
1707950562,1.0,0.0,30503.78333333
1707950567,1.0,0.0,26785.66666666
1707950572,1.0,0.0,32713.83333333
1707950577,1.0,0.0,28905.06666666
1707950582,1.0,0.0,28905.06666666
1707950587,1.0,0.0,30060.383333329995
1707950592,1.0,0.0,31980.03333333
1707950597,1.0,0.0,30690.81666666
1707950602,1.0,0.0,30690.81666666
1707950607,1.0,0.0,30690.81666666
1707950612,1.0,0.0,30461.05
1707950617,1.0,0.0,28341.9
1707950622,1.0,0.0,30127.0
1707950627,1.0,0.0,28696.25
1707950632,1.0,0.0,28279.95
1707950637,1.0,0.0,30377.25
1707950642,1.0,0.0,30377.25
1707950647,1.0,0.0,30067.83333333
1707950652,1.0,0.0,25126.45
1707950657,1.0,0.0,25126.45
1707950662,1.0,0.0,25126.45
1707950667,1.0,0.0,27039.63333333
1707950672,1.0,0.0,27039.63333333
1707950677,1.0,0.0,32010.41666666
1707950682,1.0,0.0,30000.6
1707950687,1.0,0.0,30958.06666666
1707950692,1.0,0.0,30186.0
