,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1707958310000,0.0
1707958315000,0.0
1707958320000,0.0
1707958325000,0.0
1707958330000,0.0
1707958335000,0.0
1707958340000,4.0
1707958345000,128.0
1707958350000,239.0
1707958355000,303.0
1707958360000,373.0
1707958365000,411.0
1707958370000,464.0
1707958375000,581.0
1707958380000,664.0
1707958385000,747.0
1707958390000,972.0
1707958395000,1000.0
1707958400000,1000.0
1707958405000,1000.0
1707958410000,1000.0
1707958415000,1000.0
1707958420000,1000.0
1707958425000,1000.0
1707958430000,1000.0
1707958435000,1000.0
1707958440000,1000.0
1707958445000,1000.0
1707958450000,1000.0
1707958455000,1000.0
1707958460000,1000.0
1707958465000,1000.0
1707958470000,1000.0
1707958475000,1000.0
1707958480000,1000.0
1707958485000,1000.0
1707958490000,1000.0
1707958495000,1000.0
1707958500000,1000.0
1707958505000,1000.0
1707958510000,1000.0
1707958515000,1000.0
1707958520000,1000.0
1707958525000,1000.0
1707958530000,1000.0
1707958535000,1000.0
1707958540000,1000.0
1707958545000,1000.0
1707958550000,1000.0
1707958555000,1000.0
1707958560000,1000.0
1707958565000,1000.0
1707958570000,1000.0
1707958575000,1000.0
1707958580000,1000.0
1707958585000,1000.0
1707958590000,1000.0
1707958595000,1000.0
1707958600000,1000.0
1707958605000,1000.0
1707958610000,1000.0
1707958615000,1000.0
1707958620000,1000.0
1707958625000,1000.0
1707958630000,1000.0
1707958635000,1000.0
1707958640000,1000.0
1707958645000,1000.0
1707958650000,1000.0
1707958655000,1000.0
1707958660000,1000.0
1707958665000,1000.0
1707958670000,1000.0
1707958675000,1000.0
1707958680000,1000.0
1707958685000,1000.0
1707958690000,
1707958740000,0.0
1707958745000,0.0
1707958750000,0.0
1707958755000,429.0
1707958760000,788.0
1707958765000,743.0
1707958770000,720.0
1707958775000,723.0
1707958780000,691.0
1707958785000,731.0
1707958790000,761.0
1707958795000,959.0
1707958800000,936.0
1707958805000,910.0
1707958810000,1000.0
1707958815000,996.0
1707958820000,949.0
1707958825000,968.0
1707958830000,1000.0
1707958835000,1000.0
1707958840000,1000.0
1707958845000,1000.0
1707958850000,1000.0
1707958855000,1000.0
1707958860000,1000.0
1707958865000,1000.0
1707958870000,1000.0
1707958875000,1000.0
1707958880000,1000.0
1707958885000,1000.0
1707958890000,1000.0
1707958895000,1000.0
1707958900000,1000.0
1707958905000,1000.0
1707958910000,1000.0
1707958915000,1000.0
1707958920000,1000.0
1707958925000,1000.0
1707958930000,1000.0
1707958935000,1000.0
1707958940000,1000.0
1707958945000,1000.0
1707958950000,1000.0
1707958955000,1000.0
1707958960000,1000.0
1707958965000,1000.0
1707958970000,1000.0
1707958975000,1000.0
1707958980000,1000.0
1707958985000,1000.0
1707958990000,1000.0
1707958995000,1000.0
1707959000000,1000.0
1707959005000,1000.0
1707959010000,1000.0
1707959015000,1000.0
1707959020000,1000.0
1707959025000,1000.0
1707959030000,1000.0
1707959035000,1000.0
1707959040000,1000.0
1707959045000,1000.0
1707959050000,1000.0
1707959055000,1000.0
1707959060000,1000.0
1707959065000,1000.0
1707959070000,1000.0
1707959075000,1000.0
1707959080000,1000.0
1707959085000,1000.0
1707959090000,1000.0
1707959095000,1000.0
1707959100000,1000.0
1707959105000,1000.0
1707959110000,1000.0
1707959115000,1000.0
1707959120000,1000.0
1707959125000,1000.0
1707959130000,1000.0
1707959135000,1000.0
1707959140000,
1707959190000,0.0
1707959195000,0.0
1707959200000,0.0
1707959205000,453.0
1707959210000,928.0
1707959215000,854.0
1707959220000,825.0
1707959225000,806.0
1707959230000,851.0
1707959235000,906.0
1707959240000,914.0
1707959245000,914.0
1707959250000,905.0
1707959255000,896.0
1707959260000,966.0
1707959265000,988.0
1707959270000,935.0
1707959275000,951.0
1707959280000,954.0
1707959285000,963.0
1707959290000,941.0
1707959295000,913.0
1707959300000,901.0
1707959305000,944.0
1707959310000,952.0
1707959315000,955.0
1707959320000,958.0
1707959325000,983.0
1707959330000,998.0
1707959335000,1000.0
1707959340000,1000.0
1707959345000,1000.0
1707959350000,1000.0
1707959355000,1000.0
1707959360000,1000.0
1707959365000,965.0
1707959370000,983.0
1707959375000,994.0
1707959380000,991.0
1707959385000,942.0
1707959390000,895.0
1707959395000,934.0
1707959400000,942.0
1707959405000,932.0
1707959410000,916.0
1707959415000,908.0
1707959420000,906.0
1707959425000,918.0
1707959430000,890.0
1707959435000,922.0
1707959440000,952.0
1707959445000,965.0
1707959450000,971.0
1707959455000,920.0
1707959460000,914.0
1707959465000,920.0
1707959470000,934.0
1707959475000,948.0
1707959480000,946.0
1707959485000,985.0
1707959490000,999.0
1707959495000,964.0
1707959500000,936.0
1707959505000,970.0
1707959510000,984.0
1707959515000,989.0
1707959520000,1000.0
1707959525000,999.0
1707959530000,990.0
1707959535000,986.0
1707959540000,996.0
1707959545000,973.0
1707959550000,965.0
1707959555000,1000.0
1707959560000,1000.0
1707959565000,997.0
1707959570000,988.0
1707959575000,997.0
1707959580000,974.0
1707959585000,977.0
1707959590000,
1707959635000,0.0
1707959640000,0.0
1707959645000,58.0
1707959650000,549.0
1707959655000,602.0
1707959660000,514.0
1707959665000,467.0
1707959670000,413.0
1707959675000,436.0
1707959680000,476.0
1707959685000,478.0
1707959690000,505.0
1707959695000,506.0
1707959700000,479.0
1707959705000,502.0
1707959710000,465.0
1707959715000,484.0
1707959720000,506.0
1707959725000,516.0
1707959730000,540.0
1707959735000,531.0
1707959740000,528.0
1707959745000,550.0
1707959750000,539.0
1707959755000,533.0
1707959760000,547.0
1707959765000,588.0
1707959770000,613.0
1707959775000,583.0
1707959780000,603.0
1707959785000,612.0
1707959790000,617.0
1707959795000,623.0
1707959800000,619.0
1707959805000,628.0
1707959810000,663.0
1707959815000,659.0
1707959820000,648.0
1707959825000,627.0
1707959830000,614.0
1707959835000,631.0
1707959840000,602.0
1707959845000,612.0
1707959850000,636.0
1707959855000,634.0
1707959860000,612.0
1707959865000,583.0
1707959870000,551.0
1707959875000,606.0
1707959880000,611.0
1707959885000,600.0
1707959890000,586.0
1707959895000,552.0
1707959900000,590.0
1707959905000,572.0
1707959910000,541.0
1707959915000,543.0
1707959920000,571.0
1707959925000,602.0
1707959930000,587.0
1707959935000,572.0
1707959940000,576.0
1707959945000,577.0
1707959950000,605.0
1707959955000,625.0
1707959960000,593.0
1707959965000,606.0
1707959970000,630.0
1707959975000,631.0
1707959980000,600.0
1707959985000,569.0
1707959990000,594.0
1707959995000,614.0
1707960000000,609.0
1707960005000,604.0
1707960010000,575.0
1707960015000,586.0
1707960020000,580.0
1707960025000,579.0
1707960030000,587.0
1707960035000,
1707960085000,0.0
1707960090000,0.0
1707960095000,120.0
1707960100000,500.0
1707960105000,371.0
1707960110000,371.0
1707960115000,397.0
1707960120000,390.0
1707960125000,377.0
1707960130000,371.0
1707960135000,392.0
1707960140000,404.0
1707960145000,420.0
1707960150000,419.0
1707960155000,447.0
1707960160000,412.0
1707960165000,438.0
1707960170000,450.0
1707960175000,459.0
1707960180000,453.0
1707960185000,445.0
1707960190000,454.0
1707960195000,447.0
1707960200000,460.0
1707960205000,460.0
1707960210000,456.0
1707960215000,456.0
1707960220000,461.0
1707960225000,476.0
1707960230000,486.0
1707960235000,497.0
1707960240000,509.0
1707960245000,518.0
1707960250000,528.0
1707960255000,516.0
1707960260000,496.0
1707960265000,494.0
1707960270000,529.0
1707960275000,548.0
1707960280000,554.0
1707960285000,533.0
1707960290000,534.0
1707960295000,505.0
1707960300000,536.0
1707960305000,575.0
1707960310000,554.0
1707960315000,570.0
1707960320000,578.0
1707960325000,565.0
1707960330000,534.0
1707960335000,519.0
1707960340000,513.0
1707960345000,535.0
1707960350000,526.0
1707960355000,545.0
1707960360000,543.0
1707960365000,506.0
1707960370000,509.0
1707960375000,508.0
1707960380000,526.0
1707960385000,542.0
1707960390000,567.0
1707960395000,577.0
1707960400000,584.0
1707960405000,572.0
1707960410000,570.0
1707960415000,562.0
1707960420000,554.0
1707960425000,563.0
1707960430000,549.0
1707960435000,561.0
1707960440000,556.0
1707960445000,552.0
1707960450000,531.0
1707960455000,518.0
1707960460000,500.0
1707960465000,498.0
1707960470000,507.0
1707960475000,498.0
1707960480000,509.0
1707960485000,513.0
1707960490000,509.0
1707960495000,482.0
1707960500000,488.0
1707960505000,488.0
1707960510000,478.0
1707960515000,481.0
1707960520000,496.0
1707960525000,515.0
1707960530000,516.0
1707960535000,531.0
1707960540000,514.0
1707960545000,510.0
1707960550000,513.0
1707960555000,537.0
1707960560000,548.0
1707960565000,549.0
1707960570000,574.0
1707960575000,575.0
1707960580000,562.0
1707960585000,540.0
1707960590000,535.0
1707960595000,519.0
1707960600000,532.0
1707960605000,
1707960655000,0.0
1707960660000,0.0
1707960665000,28.0
1707960670000,136.0
1707960675000,152.0
1707960680000,164.0
1707960685000,221.0
1707960690000,240.0
1707960695000,249.0
1707960700000,263.0
1707960705000,288.0
1707960710000,329.0
1707960715000,328.0
1707960720000,328.0
1707960725000,369.0
1707960730000,428.0
1707960735000,445.0
1707960740000,445.0
1707960745000,476.0
1707960750000,475.0
1707960755000,475.0
1707960760000,507.0
1707960765000,517.0
1707960770000,514.0
1707960775000,488.0
1707960780000,514.0
1707960785000,514.0
1707960790000,503.0
1707960795000,480.0
1707960800000,491.0
1707960805000,488.0
1707960810000,481.0
1707960815000,517.0
1707960820000,491.0
1707960825000,496.0
1707960830000,507.0
1707960835000,494.0
1707960840000,502.0
1707960845000,502.0
1707960850000,522.0
1707960855000,522.0
1707960860000,527.0
1707960865000,516.0
1707960870000,541.0
1707960875000,506.0
1707960880000,525.0
1707960885000,513.0
1707960890000,515.0
1707960895000,520.0
1707960900000,504.0
1707960905000,522.0
1707960910000,503.0
1707960915000,510.0
1707960920000,512.0
1707960925000,508.0
1707960930000,507.0
1707960935000,499.0
1707960940000,496.0
1707960945000,492.0
1707960950000,491.0
1707960955000,497.0
1707960960000,494.0
1707960965000,499.0
1707960970000,492.0
1707960975000,495.0
1707960980000,479.0
