,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1
Timestamp,,
1707939615000,0.0,
1707939620000,0.0,
1707939625000,663.5,
1707939630000,663.6,
1707939635000,663.6,
1707939640000,663.6,
1707939645000,6405.03333333,
1707939650000,12897.55,
1707939655000,19951.45,
1707939660000,27639.23333333,
1707939665000,36884.75,
1707939670000,45401.833333329996,
1707939675000,54450.63333333,
1707939680000,63590.7,
1707939685000,72016.31666665999,
1707939690000,81157.55,
1707939695000,89896.26666666,
1707939700000,98905.0,
1707939705000,102488.53333333,
1707939710000,104898.8,
1707939715000,106513.1,
1707939720000,107610.9,
1707939725000,107684.9,
1707939730000,108361.3,
1707939735000,108534.33333333,
1707939740000,106370.06666665999,
1707939745000,106638.0,
1707939750000,106480.73333332999,
1707939755000,106943.25,
1707939760000,107035.43333333,
1707939765000,107070.76666666,
1707939770000,107404.48333332999,
1707939775000,107591.73333332999,
1707939780000,108084.31666665999,
1707939785000,108169.95,
1707939790000,108124.36666665999,
1707939795000,107614.2,
1707939800000,109643.7,
1707939805000,109636.83333333,
1707939810000,109204.66666665999,
1707939815000,109379.23333332999,
1707939820000,108983.8,
1707939825000,108261.7,
1707939830000,108076.81666665999,
1707939835000,108580.88333333,
1707939840000,108576.91666665999,
1707939845000,108559.31666665999,
1707939850000,108369.63333333,
1707939855000,109008.65,
1707939860000,108532.8,
1707939865000,108575.25,
1707939870000,109087.33333333,
1707939875000,108802.43333333,
1707939880000,108878.83333333,
1707939885000,109558.51666666,
1707939890000,109419.93333333,
1707939895000,109420.8,
1707939900000,109459.63333333,
1707939905000,109439.88333333,
1707939910000,109725.3,
1707939915000,109830.55,
1707939920000,110649.9,
1707939925000,110302.51666666,
1707939930000,110236.26666666,
1707939935000,110450.66666665999,
1707939940000,111010.08333333,
1707939945000,111027.86666665999,
1707939950000,111577.51666666,
1707939955000,111656.11666665999,
1707939960000,111648.21666666,
1707939965000,111637.68333333,
1707939970000,111622.73333332999,
1707939975000,111653.75,
1707939980000,110618.95,
1707939985000,109177.9,
1707939990000,109478.48333332999,
1707939995000,,
1707940040000,0.0,0.0
1707940045000,149.5666666666,273.6
1707940050000,2146.9333333332997,2393.7166666666
1707940055000,6869.35,7275.0
1707940060000,12394.16666666,12818.68333333
1707940065000,16977.516666659998,17290.16666666
1707940070000,22280.6,22709.16666666
1707940075000,28262.98333333,28667.8
1707940080000,33888.35,34231.01666666
1707940085000,39438.08333333,39823.716666659995
1707940090000,45625.983333330005,46058.58333333
1707940095000,52384.41666666001,52780.63333333
1707940100000,58958.4,59427.13333333
1707940105000,65536.93333333,65862.26666666
1707940110000,69888.53333333001,70129.41666666
1707940115000,72043.91666666,72047.7
1707940120000,73200.11666666,73185.0
1707940125000,75452.38333333,75602.93333333
1707940130000,76256.46666666001,76328.48333333
1707940135000,77146.3,77121.65
1707940140000,77830.23333333,77889.36666666
1707940145000,79047.58333333,79054.9
1707940150000,79604.58333333,79548.38333333
1707940155000,79475.83333333,79515.01666666
1707940160000,79846.76666666,79790.28333333001
1707940165000,80158.65,80192.71666666001
1707940170000,80756.71666666001,80739.03333333001
1707940175000,80827.28333333001,80876.85
1707940180000,80984.51666666,81057.56666666
1707940185000,81075.51666666,81124.05
1707940190000,81987.5,81913.23333333
1707940195000,82101.96666666001,82230.21666666001
1707940200000,82534.61666666,82509.9
1707940205000,82774.95,82869.95
1707940210000,83095.98333333,83090.45
1707940215000,83522.71666666001,83492.46666666001
1707940220000,83387.21666666001,83455.23333333
1707940225000,83079.36666666,83073.1
1707940230000,82849.91666666,82866.13333333
1707940235000,83025.16666666,83042.66666666
1707940240000,83218.98333333,83159.5
1707940245000,83240.66666666,83128.95
1707940250000,82682.28333333001,82721.68333333
1707940255000,82792.23333333,82773.01666666
1707940260000,82975.35,83105.56666666
1707940265000,83118.7,83126.1
1707940270000,83382.2,83499.08333333
1707940275000,83755.86666666,83750.56666666
1707940280000,84079.76666666,84003.73333333
1707940285000,84762.86666666,84746.3
1707940290000,85301.16666666,85303.03333333001
1707940295000,85537.68333333,85538.1
1707940300000,85769.93333333,85847.11666666
1707940305000,85965.31666666,85968.03333333001
1707940310000,86426.81666666,86470.5
1707940315000,86417.95,86421.91666666
1707940320000,86012.21666666001,86001.8
1707940325000,85885.71666666001,85839.06666666
1707940330000,85203.06666666,85184.46666666001
1707940335000,84662.56666666,84745.13333333
1707940340000,84134.93333333,84187.58333333
1707940345000,83431.95,83398.53333333001
1707940350000,82992.53333333001,82901.4
1707940355000,82386.68333333,82377.18333333
1707940360000,81828.16666666,81696.98333333
1707940365000,81220.95,81281.66666666
1707940370000,81151.03333333001,81065.25
1707940375000,79689.26666666,79688.78333333001
1707940380000,80213.73333333,80133.81666666
1707940385000,80243.86666666,80282.03333333001
1707940390000,80501.18333333,80444.75
1707940395000,80770.58333333,80752.81666666
1707940400000,81023.68333333,80745.78333333001
1707940405000,79386.05,79436.26666666
1707940410000,79639.23333333,79717.7
1707940415000,79942.25,79929.46666666001
1707940420000,80282.23333333,80307.56666666
1707940425000,80507.95,80567.35
1707940430000,80791.86666666,80863.45
