Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,1000.0,,0.0,,,1
5,0.0,,679.0,,0.0,,,1
10,663.5,,414.0,,0.0,,,1
15,663.6,,270.0,,0.0,,,1
20,663.6,,198.0,,0.0,,,1
25,663.6,,157.0,,0.0,,,1
30,6405.03333333,,255.0,,53.0,,,1
35,12897.55,,347.0,,119.0,,,1
40,19951.45,,421.0,,171.0,,,1
45,27639.23333333,,484.0,,214.0,,,1
50,36884.75,,532.0,,251.0,,,1
55,45401.833333329996,,570.0,,280.0,,,1
60,54450.63333333,,605.0,,310.0,,,1
65,63590.7,,630.0,,366.0,,,1
70,72016.31666665999,,700.0,,419.0,,,1
75,81157.55,,785.0,,479.0,,,1
80,89896.26666666,,868.0,,537.0,,,1
85,98905.0,,952.0,,594.0,,,1
90,102488.53333333,,972.0,,625.0,,,1
95,104898.8,,980.0,,636.0,,,1
100,106513.1,,984.0,,648.0,,,1
105,107610.9,,984.0,,652.0,,,1
110,107684.9,,986.0,,662.0,,,1
115,108361.3,,990.0,,674.0,,,1
120,108534.33333333,,990.0,,678.0,,,1
125,106370.06666665999,,970.0,,664.0,,,1
130,106638.0,,971.0,,673.0,,,1
135,106480.73333332999,,970.0,,668.0,,,1
140,106943.25,,971.0,,669.0,,,1
145,107035.43333333,,971.0,,669.0,,,1
150,107070.76666666,,971.0,,668.0,,,1
155,107404.48333332999,,971.0,,669.0,,,1
160,107591.73333332999,,969.0,,667.0,,,1
165,108084.31666665999,,971.0,,677.0,,,1
170,108169.95,,971.0,,676.0,,,1
175,108124.36666665999,,971.0,,677.0,,,1
180,107614.2,,972.0,,679.0,,,1
185,109643.7,,992.0,,697.0,,,1
190,109636.83333333,,992.0,,693.0,,,1
195,109204.66666665999,,992.0,,689.0,,,1
200,109379.23333332999,,991.0,,688.0,,,1
205,108983.8,,992.0,,691.0,,,1
210,108261.7,,992.0,,694.0,,,1
215,108076.81666665999,,991.0,,696.0,,,1
220,108580.88333333,,993.0,,701.0,,,1
225,108576.91666665999,,993.0,,695.0,,,1
230,108559.31666665999,,993.0,,698.0,,,1
235,108369.63333333,,993.0,,698.0,,,1
240,109008.65,,993.0,,695.0,,,1
245,108532.8,,987.0,,690.0,,,1
250,108575.25,,987.0,,688.0,,,1
255,109087.33333333,,988.0,,695.0,,,1
260,108802.43333333,,988.0,,693.0,,,1
265,108878.83333333,,988.0,,692.0,,,1
270,109558.51666666,,987.0,,693.0,,,1
275,109419.93333333,,988.0,,695.0,,,1
280,109420.8,,988.0,,694.0,,,1
285,109459.63333333,,988.0,,696.0,,,1
290,109439.88333333,,989.0,,694.0,,,1
295,109725.3,,988.0,,693.0,,,1
300,109830.55,,988.0,,697.0,,,1
305,110649.9,,993.0,,700.0,,,1
310,110302.51666666,,993.0,,704.0,,,1
315,110236.26666666,,993.0,,699.0,,,1
320,110450.66666665999,,994.0,,703.0,,,1
325,111010.08333333,,994.0,,700.0,,,1
330,111027.86666665999,,994.0,,699.0,,,1
335,111577.51666666,,994.0,,697.0,,,1
340,111656.11666665999,,994.0,,698.0,,,1
345,111648.21666666,,995.0,,700.0,,,1
350,111637.68333333,,995.0,,702.0,,,1
355,111622.73333332999,,995.0,,701.0,,,1
360,111653.75,,995.0,,699.0,,,1
365,110618.95,,986.0,,692.0,,,1
370,109177.9,,969.0,,677.0,,,1
375,109478.48333332999,,970.0,,685.0,,,1
380,,,,,,,,0
425,0.0,0.0,,1000.0,0.0,,,2
430,149.5666666666,273.6,583.0,228.0,60.0,,,2
435,2146.9333333332997,2393.7166666666,791.0,218.0,92.0,,,2
440,6869.35,7275.0,856.0,289.0,211.0,,,2
445,12394.16666666,12818.68333333,883.0,348.0,240.0,,,2
450,16977.516666659998,17290.16666666,901.0,362.0,257.0,,,2
455,22280.6,22709.16666666,913.0,379.0,278.0,,,2
460,28262.98333333,28667.8,917.0,400.0,285.0,,,2
465,33888.35,34231.01666666,924.0,417.0,295.0,,,2
470,39438.08333333,39823.716666659995,928.0,424.0,298.0,,,2
475,45625.983333330005,46058.58333333,931.0,434.0,298.0,,,2
480,52384.41666666001,52780.63333333,932.0,447.0,299.0,,,2
485,58958.4,59427.13333333,932.0,459.0,296.0,,,2
490,65536.93333333,65862.26666666,961.0,488.0,313.0,,,2
