Timestamp,flink_jobmanager_job_lastCheckpointDuration
1707943663,-1.0
1707943668,-1.0
1707943673,-1.0
1707943678,-1.0
1707943683,-1.0
1707943688,-1.0
1707943693,232.0
1707943698,232.0
1707943703,232.0
1707943708,232.0
1707943713,232.0
1707943718,232.0
1707943723,54.0
1707943728,54.0
1707943733,54.0
1707943738,54.0
1707943743,54.0
1707943748,54.0
1707943753,69.0
1707943758,69.0
1707943763,69.0
1707943768,69.0
1707943773,69.0
1707943778,69.0
1707943783,48.0
1707943788,48.0
1707943793,48.0
1707943798,48.0
1707943803,48.0
1707943808,48.0
1707943813,71.0
1707943818,71.0
1707943823,71.0
1707943828,71.0
1707943833,71.0
1707943838,71.0
1707943843,127.0
1707943848,127.0
1707943853,127.0
1707943858,127.0
1707943863,127.0
1707943868,127.0
1707943873,73.0
1707943878,73.0
1707943883,73.0
1707943888,73.0
1707943893,73.0
1707943898,73.0
1707943903,69.0
1707943908,69.0
1707943913,69.0
1707943918,69.0
1707943923,69.0
1707943928,69.0
1707943933,55.0
1707943938,55.0
1707943943,55.0
1707943948,55.0
1707943953,55.0
1707943958,55.0
1707943963,45.0
1707943968,45.0
1707943973,45.0
1707943978,45.0
1707943983,45.0
1707943988,45.0
1707943168,-1.0
1707943173,-1.0
1707943178,-1.0
1707943183,-1.0
1707943188,-1.0
1707943193,-1.0
1707943198,-1.0
1707943203,889.0
1707943208,889.0
1707943213,889.0
1707943218,889.0
1707943223,889.0
1707943228,889.0
1707943233,166.0
1707943238,166.0
1707943243,166.0
1707943248,166.0
1707943253,166.0
1707943258,166.0
1707943263,101.0
1707943268,101.0
1707943273,101.0
1707943278,101.0
1707943283,101.0
1707943288,101.0
1707943293,161.0
1707943298,161.0
1707943303,161.0
1707943308,161.0
1707943313,161.0
1707943318,161.0
1707943323,105.0
1707943328,105.0
1707943333,105.0
1707943338,105.0
1707943343,105.0
1707943348,105.0
1707943353,99.0
1707943358,99.0
1707943363,99.0
1707943368,99.0
1707943373,99.0
1707943378,99.0
1707943383,99.0
1707943388,99.0
1707943393,99.0
1707943398,99.0
1707943403,99.0
1707943408,99.0
1707943413,59.0
1707943418,59.0
1707943423,59.0
1707943428,59.0
1707943433,59.0
1707943438,59.0
1707943443,99.0
1707943448,99.0
1707943453,99.0
1707943458,99.0
1707943463,99.0
1707943468,99.0
1707943473,11.0
1707943478,11.0
1707943483,11.0
1707943488,11.0
1707943493,11.0
1707943498,11.0
1707943503,95.0
1707943508,95.0
1707943513,95.0
1707943518,95.0
1707943523,95.0
1707943528,95.0
1707943533,106.0
1707943538,106.0
1707943543,106.0
1707943548,106.0
1707943553,106.0
1707943558,106.0
1707943563,93.0
1707943568,93.0
1707943573,93.0
1707943578,93.0
1707943583,93.0
1707943588,93.0
1707943593,105.0
1707943598,105.0
1707943603,105.0
1707943608,105.0
1707943613,
