,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,0
Timestamp,
1707943170000,0.0
1707943175000,0.0
1707943180000,0.0
1707943185000,0.0
1707943190000,0.0
1707943195000,0.0
1707943200000,37.0
1707943205000,93.0
1707943210000,145.0
1707943215000,186.0
1707943220000,220.0
1707943225000,244.0
1707943230000,267.0
1707943235000,279.0
1707943240000,322.0
1707943245000,366.0
1707943250000,406.0
1707943255000,453.0
1707943260000,479.0
1707943265000,488.0
1707943270000,494.0
1707943275000,496.0
1707943280000,497.0
1707943285000,504.0
1707943290000,505.0
1707943295000,515.0
1707943300000,514.0
1707943305000,512.0
1707943310000,512.0
1707943315000,508.0
1707943320000,512.0
1707943325000,513.0
1707943330000,512.0
1707943335000,510.0
1707943340000,512.0
1707943345000,511.0
1707943350000,510.0
1707943355000,510.0
1707943360000,512.0
1707943365000,515.0
1707943370000,515.0
1707943375000,515.0
1707943380000,513.0
1707943385000,517.0
1707943390000,511.0
1707943395000,511.0
1707943400000,509.0
1707943405000,509.0
1707943410000,512.0
1707943415000,510.0
1707943420000,510.0
1707943425000,508.0
1707943430000,510.0
1707943435000,509.0
1707943440000,507.0
1707943445000,504.0
1707943450000,509.0
1707943455000,510.0
1707943460000,511.0
1707943465000,510.0
1707943470000,505.0
1707943475000,504.0
1707943480000,495.0
1707943485000,494.0
1707943490000,494.0
1707943495000,493.0
1707943500000,496.0
1707943505000,498.0
1707943510000,496.0
1707943515000,499.0
1707943520000,498.0
1707943525000,499.0
1707943530000,501.0
1707943535000,502.0
1707943540000,511.0
1707943545000,510.0
1707943550000,512.0
1707943555000,511.0
1707943560000,509.0
1707943565000,508.0
1707943570000,510.0
1707943575000,509.0
1707943580000,507.0
1707943585000,506.0
1707943590000,506.0
1707943595000,507.0
1707943600000,506.0
1707943605000,507.0
1707943610000,
1707943660000,0.0
1707943665000,0.0
1707943670000,0.0
1707943675000,14.0
1707943680000,33.0
1707943685000,37.0
1707943690000,34.0
1707943695000,53.0
1707943700000,50.0
1707943705000,46.0
1707943710000,49.0
1707943715000,48.0
1707943720000,50.0
1707943725000,53.0
1707943730000,62.0
1707943735000,66.0
1707943740000,67.0
1707943745000,70.0
1707943750000,75.0
1707943755000,70.0
1707943760000,74.0
1707943765000,80.0
1707943770000,84.0
1707943775000,92.0
1707943780000,99.0
1707943785000,108.0
1707943790000,111.0
1707943795000,116.0
1707943800000,120.0
1707943805000,125.0
1707943810000,132.0
1707943815000,139.0
1707943820000,140.0
1707943825000,146.0
1707943830000,149.0
1707943835000,149.0
1707943840000,148.0
1707943845000,144.0
1707943850000,153.0
1707943855000,154.0
1707943860000,156.0
1707943865000,159.0
1707943870000,157.0
1707943875000,159.0
1707943880000,169.0
1707943885000,167.0
1707943890000,165.0
1707943895000,162.0
1707943900000,162.0
1707943905000,163.0
1707943910000,160.0
1707943915000,162.0
1707943920000,165.0
1707943925000,162.0
1707943930000,166.0
1707943935000,164.0
1707943940000,159.0
1707943945000,159.0
1707943950000,154.0
1707943955000,159.0
1707943960000,160.0
1707943965000,160.0
1707943970000,155.0
1707943975000,154.0
1707943980000,149.0
1707943985000,148.0
1707943990000,143.0
