,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1
Timestamp,,
1707944310000,1000.0,
1707944315000,0.0,
1707944320000,0.0,
1707944325000,0.0,
1707944330000,0.0,
1707944335000,0.0,
1707944340000,51.0,
1707944345000,157.0,
1707944350000,256.0,
1707944355000,335.0,
1707944360000,397.0,
1707944365000,450.0,
1707944370000,493.0,
1707944375000,585.0,
1707944380000,657.0,
1707944385000,735.0,
1707944390000,819.0,
1707944395000,902.0,
1707944400000,952.0,
1707944405000,967.0,
1707944410000,969.0,
1707944415000,969.0,
1707944420000,972.0,
1707944425000,971.0,
1707944430000,972.0,
1707944435000,972.0,
1707944440000,973.0,
1707944445000,973.0,
1707944450000,973.0,
1707944455000,974.0,
1707944460000,973.0,
1707944465000,950.0,
1707944470000,950.0,
1707944475000,950.0,
1707944480000,949.0,
1707944485000,949.0,
1707944490000,951.0,
1707944495000,950.0,
1707944500000,950.0,
1707944505000,951.0,
1707944510000,951.0,
1707944515000,951.0,
1707944520000,951.0,
1707944525000,975.0,
1707944530000,976.0,
1707944535000,976.0,
1707944540000,975.0,
1707944545000,976.0,
1707944550000,975.0,
1707944555000,976.0,
1707944560000,977.0,
1707944565000,977.0,
1707944570000,977.0,
1707944575000,976.0,
1707944580000,978.0,
1707944585000,968.0,
1707944590000,967.0,
1707944595000,967.0,
1707944600000,968.0,
1707944605000,967.0,
1707944610000,966.0,
1707944615000,965.0,
1707944620000,965.0,
1707944625000,965.0,
1707944630000,965.0,
1707944635000,965.0,
1707944640000,963.0,
1707944645000,974.0,
1707944650000,965.0,
1707944655000,965.0,
1707944660000,967.0,
1707944665000,965.0,
1707944670000,966.0,
1707944675000,966.0,
1707944680000,964.0,
1707944685000,,
1707944690000,1000.0,
1707944695000,885.0,
1707944700000,,
1707944745000,1000.0,1000.0
1707944750000,1000.0,66.0
1707944755000,570.0,223.0
1707944760000,780.0,333.0
1707944765000,843.0,341.0
1707944770000,811.0,391.0
1707944775000,844.0,408.0
1707944780000,866.0,421.0
1707944785000,881.0,438.0
1707944790000,893.0,446.0
1707944795000,902.0,434.0
1707944800000,876.0,436.0
1707944805000,886.0,450.0
1707944810000,893.0,495.0
1707944815000,923.0,518.0
1707944820000,918.0,526.0
1707944825000,915.0,549.0
1707944830000,936.0,551.0
1707944835000,934.0,562.0
1707944840000,932.0,572.0
1707944845000,929.0,576.0
1707944850000,927.0,582.0
1707944855000,924.0,608.0
1707944860000,951.0,621.0
1707944865000,948.0,622.0
1707944870000,947.0,623.0
1707944875000,948.0,622.0
1707944880000,946.0,620.0
1707944885000,948.0,617.0
1707944890000,948.0,619.0
1707944895000,947.0,620.0
1707944900000,946.0,620.0
1707944905000,945.0,621.0
1707944910000,944.0,624.0
1707944915000,943.0,624.0
1707944920000,942.0,619.0
1707944925000,929.0,621.0
1707944930000,927.0,625.0
1707944935000,926.0,624.0
1707944940000,929.0,625.0
1707944945000,927.0,628.0
1707944950000,926.0,625.0
1707944955000,921.0,625.0
1707944960000,922.0,627.0
1707944965000,924.0,627.0
1707944970000,925.0,631.0
1707944975000,925.0,634.0
1707944980000,922.0,640.0
1707944985000,932.0,640.0
1707944990000,934.0,640.0
1707944995000,936.0,635.0
1707945000000,937.0,633.0
1707945005000,939.0,632.0
1707945010000,938.0,634.0
1707945015000,943.0,634.0
1707945020000,941.0,632.0
1707945025000,940.0,632.0
1707945030000,940.0,625.0
1707945035000,943.0,620.0
1707945040000,946.0,619.0
1707945045000,945.0,615.0
1707945050000,944.0,615.0
1707945055000,944.0,615.0
1707945060000,942.0,611.0
1707945065000,943.0,610.0
1707945070000,944.0,610.0
1707945075000,945.0,608.0
1707945080000,947.0,608.0
1707945085000,949.0,606.0
1707945090000,950.0,609.0
1707945095000,949.0,610.0
1707945100000,948.0,605.0
1707945105000,950.0,604.0
1707945110000,950.0,601.0
1707945115000,951.0,607.0
1707945120000,952.0,610.0
1707945125000,950.0,611.0
1707945130000,948.0,605.0
1707945135000,936.0,
