,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1708036715000,0.0
1708036720000,
1708036725000,0.0
1708036730000,0.0
1708036735000,0.0
1708036740000,0.0
1708036745000,52.0
1708036750000,132.0
1708036755000,263.0
1708036760000,448.0
1708036765000,503.0
1708036770000,561.0
1708036775000,604.0
1708036780000,631.0
1708036785000,655.0
1708036790000,779.0
1708036795000,849.0
1708036800000,930.0
1708036805000,1000.0
1708036810000,1000.0
1708036815000,1000.0
1708036820000,1000.0
1708036825000,1000.0
1708036830000,1000.0
1708036835000,1000.0
1708036840000,1000.0
1708036845000,1000.0
1708036850000,1000.0
1708036855000,1000.0
1708036860000,1000.0
1708036865000,1000.0
1708036870000,1000.0
1708036875000,1000.0
1708036880000,1000.0
1708036885000,1000.0
1708036890000,1000.0
1708036895000,1000.0
1708036900000,1000.0
1708036905000,1000.0
1708036910000,1000.0
1708036915000,1000.0
1708036920000,1000.0
1708036925000,1000.0
1708036930000,1000.0
1708036935000,1000.0
1708036940000,1000.0
1708036945000,1000.0
1708036950000,946.0
1708036955000,1000.0
1708036960000,1000.0
1708036965000,1000.0
1708036970000,1000.0
1708036975000,1000.0
1708036980000,1000.0
1708036985000,1000.0
1708036990000,1000.0
1708036995000,1000.0
1708037000000,1000.0
1708037005000,1000.0
1708037010000,1000.0
1708037015000,1000.0
1708037020000,1000.0
1708037025000,1000.0
1708037030000,1000.0
1708037035000,1000.0
1708037040000,1000.0
1708037045000,1000.0
1708037050000,1000.0
1708037055000,1000.0
1708037060000,1000.0
1708037065000,1000.0
1708037070000,1000.0
1708037075000,1000.0
1708037080000,1000.0
1708037085000,1000.0
1708037090000,1000.0
1708037095000,1000.0
1708037100000,1000.0
1708037105000,
1708037155000,0.0
1708037160000,0.0
1708037165000,399.0
1708037170000,570.0
1708037175000,607.0
1708037180000,653.0
1708037185000,681.0
1708037190000,709.0
1708037195000,756.0
1708037200000,754.0
1708037205000,762.0
1708037210000,769.0
1708037215000,776.0
1708037220000,845.0
1708037225000,871.0
1708037230000,873.0
1708037235000,896.0
1708037240000,997.0
1708037245000,1000.0
1708037250000,1000.0
1708037255000,1000.0
1708037260000,1000.0
1708037265000,1000.0
1708037270000,1000.0
1708037275000,1000.0
1708037280000,1000.0
1708037285000,1000.0
1708037290000,1000.0
1708037295000,1000.0
1708037300000,1000.0
1708037305000,1000.0
1708037310000,1000.0
1708037315000,1000.0
1708037320000,1000.0
1708037325000,1000.0
1708037330000,1000.0
1708037335000,1000.0
1708037340000,1000.0
1708037345000,983.0
1708037350000,976.0
1708037355000,1000.0
1708037360000,1000.0
1708037365000,1000.0
1708037370000,1000.0
1708037375000,1000.0
1708037380000,1000.0
1708037385000,1000.0
1708037390000,1000.0
1708037395000,1000.0
1708037400000,1000.0
1708037405000,1000.0
1708037410000,1000.0
1708037415000,1000.0
1708037420000,1000.0
1708037425000,1000.0
1708037430000,1000.0
1708037435000,1000.0
1708037440000,1000.0
1708037445000,1000.0
1708037450000,1000.0
1708037455000,1000.0
1708037460000,1000.0
1708037465000,1000.0
1708037470000,1000.0
1708037475000,1000.0
1708037480000,1000.0
1708037485000,1000.0
1708037490000,1000.0
1708037495000,1000.0
1708037500000,1000.0
1708037505000,1000.0
1708037510000,1000.0
1708037515000,1000.0
1708037520000,1000.0
1708037525000,1000.0
1708037530000,1000.0
1708037535000,1000.0
1708037540000,1000.0
1708037545000,1000.0
1708037550000,1000.0
1708037555000,
1708037605000,0.0
1708037610000,0.0
1708037615000,61.0
1708037620000,230.0
1708037625000,319.0
1708037630000,352.0
1708037635000,394.0
1708037640000,420.0
1708037645000,415.0
1708037650000,480.0
1708037655000,497.0
1708037660000,574.0
1708037665000,623.0
1708037670000,647.0
1708037675000,702.0
1708037680000,722.0
1708037685000,732.0
1708037690000,743.0
1708037695000,734.0
1708037700000,741.0
1708037705000,773.0
1708037710000,782.0
1708037715000,849.0
1708037720000,859.0
1708037725000,867.0
1708037730000,884.0
1708037735000,892.0
1708037740000,898.0
1708037745000,901.0
1708037750000,909.0
1708037755000,947.0
1708037760000,1000.0
1708037765000,1000.0
1708037770000,1000.0
1708037775000,1000.0
1708037780000,1000.0
1708037785000,1000.0
1708037790000,1000.0
1708037795000,1000.0
1708037800000,1000.0
1708037805000,1000.0
1708037810000,1000.0
1708037815000,1000.0
1708037820000,1000.0
1708037825000,1000.0
1708037830000,1000.0
1708037835000,1000.0
1708037840000,1000.0
1708037845000,1000.0
1708037850000,971.0
1708037855000,982.0
1708037860000,978.0
1708037865000,981.0
1708037870000,970.0
1708037875000,978.0
1708037880000,983.0
1708037885000,991.0
1708037890000,993.0
1708037895000,1000.0
1708037900000,958.0
1708037905000,927.0
1708037910000,994.0
1708037915000,975.0
1708037920000,976.0
1708037925000,964.0
1708037930000,954.0
1708037935000,923.0
1708037940000,899.0
1708037945000,885.0
1708037950000,877.0
1708037955000,907.0
1708037960000,928.0
1708037965000,958.0
1708037970000,903.0
1708037975000,910.0
1708037980000,915.0
1708037985000,912.0
1708037990000,928.0
1708037995000,924.0
1708038000000,919.0
1708038005000,
1708038055000,0.0
1708038060000,0.0
1708038065000,99.0
1708038070000,540.0
1708038075000,394.0
1708038080000,337.0
1708038085000,330.0
1708038090000,348.0
1708038095000,335.0
1708038100000,304.0
1708038105000,277.0
1708038110000,297.0
1708038115000,341.0
1708038120000,385.0
1708038125000,394.0
1708038130000,383.0
1708038135000,408.0
1708038140000,462.0
1708038145000,514.0
1708038150000,577.0
1708038155000,585.0
1708038160000,588.0
1708038165000,587.0
1708038170000,555.0
1708038175000,528.0
1708038180000,522.0
1708038185000,564.0
1708038190000,545.0
1708038195000,584.0
1708038200000,571.0
1708038205000,562.0
1708038210000,545.0
1708038215000,695.0
1708038220000,715.0
1708038225000,742.0
1708038230000,759.0
1708038235000,737.0
1708038240000,708.0
1708038245000,716.0
1708038250000,717.0
1708038255000,691.0
1708038260000,682.0
1708038265000,658.0
1708038270000,661.0
1708038275000,630.0
1708038280000,633.0
1708038285000,632.0
1708038290000,625.0
1708038295000,638.0
1708038300000,641.0
1708038305000,649.0
1708038310000,651.0
1708038315000,652.0
1708038320000,657.0
1708038325000,657.0
1708038330000,662.0
1708038335000,637.0
1708038340000,620.0
1708038345000,600.0
1708038350000,598.0
1708038355000,612.0
1708038360000,636.0
1708038365000,629.0
1708038370000,627.0
1708038375000,636.0
1708038380000,666.0
1708038385000,702.0
1708038390000,694.0
1708038395000,748.0
1708038400000,750.0
1708038405000,756.0
1708038410000,754.0
1708038415000,748.0
1708038420000,750.0
1708038425000,745.0
1708038430000,740.0
1708038435000,730.0
1708038440000,699.0
1708038445000,696.0
1708038450000,696.0
1708038455000,
1708038500000,0.0
1708038505000,0.0
1708038510000,152.0
1708038515000,242.0
1708038520000,198.0
1708038525000,172.0
1708038530000,149.0
1708038535000,129.0
1708038540000,241.0
1708038545000,295.0
1708038550000,341.0
1708038555000,358.0
1708038560000,369.0
1708038565000,386.0
1708038570000,430.0
1708038575000,487.0
1708038580000,486.0
1708038585000,486.0
1708038590000,484.0
1708038595000,515.0
1708038600000,495.0
1708038605000,479.0
1708038610000,459.0
1708038615000,446.0
1708038620000,466.0
1708038625000,478.0
1708038630000,510.0
1708038635000,557.0
1708038640000,565.0
1708038645000,565.0
1708038650000,577.0
1708038655000,576.0
1708038660000,563.0
1708038665000,568.0
1708038670000,585.0
1708038675000,605.0
1708038680000,583.0
1708038685000,565.0
1708038690000,527.0
1708038695000,524.0
1708038700000,523.0
1708038705000,521.0
1708038710000,528.0
1708038715000,535.0
1708038720000,531.0
1708038725000,519.0
1708038730000,503.0
1708038735000,492.0
1708038740000,513.0
1708038745000,529.0
1708038750000,567.0
1708038755000,567.0
1708038760000,571.0
1708038765000,573.0
1708038770000,574.0
1708038775000,570.0
1708038780000,573.0
1708038785000,574.0
1708038790000,584.0
1708038795000,588.0
1708038800000,565.0
1708038805000,548.0
1708038810000,512.0
1708038815000,485.0
1708038820000,499.0
1708038825000,499.0
1708038830000,495.0
1708038835000,500.0
1708038840000,496.0
1708038845000,512.0
1708038850000,521.0
1708038855000,532.0
1708038860000,532.0
1708038865000,529.0
1708038870000,540.0
1708038875000,548.0
1708038880000,543.0
1708038885000,545.0
1708038890000,548.0
1708038895000,
1708038900000,0.0
1708038905000,951.0
1708038910000,0.0
1708038915000,0.0
1708038920000,
1708038925000,0.0
1708038930000,
1708038935000,0.0
1708038940000,941.0
1708038945000,
1708038950000,841.0
1708038955000,
1708039005000,0.0
1708039010000,0.0
1708039015000,273.0
1708039020000,211.0
1708039025000,240.0
1708039030000,227.0
1708039035000,273.0
1708039040000,397.0
1708039045000,425.0
1708039050000,479.0
1708039055000,480.0
1708039060000,469.0
1708039065000,500.0
1708039070000,521.0
1708039075000,550.0
1708039080000,582.0
1708039085000,608.0
1708039090000,656.0
1708039095000,673.0
1708039100000,626.0
1708039105000,611.0
1708039110000,595.0
1708039115000,620.0
1708039120000,626.0
1708039125000,625.0
1708039130000,616.0
1708039135000,615.0
1708039140000,620.0
1708039145000,627.0
1708039150000,636.0
1708039155000,620.0
1708039160000,620.0
1708039165000,621.0
1708039170000,616.0
1708039175000,624.0
1708039180000,626.0
1708039185000,635.0
1708039190000,670.0
1708039195000,674.0
1708039200000,672.0
1708039205000,657.0
1708039210000,635.0
1708039215000,654.0
1708039220000,680.0
1708039225000,681.0
1708039230000,670.0
1708039235000,648.0
1708039240000,694.0
1708039245000,671.0
1708039250000,628.0
1708039255000,626.0
1708039260000,619.0
1708039265000,615.0
1708039270000,613.0
1708039275000,622.0
1708039280000,637.0
1708039285000,681.0
1708039290000,672.0
1708039295000,666.0
1708039300000,662.0
1708039305000,650.0
1708039310000,655.0
1708039315000,661.0
1708039320000,659.0
1708039325000,663.0
1708039330000,660.0
1708039335000,646.0
1708039340000,644.0
1708039345000,605.0
1708039350000,611.0
1708039355000,607.0
1708039360000,609.0
1708039365000,718.0
1708039370000,757.0
1708039375000,797.0
1708039380000,803.0
1708039385000,831.0
1708039390000,865.0
1708039395000,895.0
1708039400000,
1708039405000,0.0
1708039410000,0.0
1708039415000,0.0
1708039420000,
1708039425000,0.0
1708039430000,0.0
1708039435000,
1708039480000,0.0
1708039485000,0.0
1708039490000,0.0
1708039495000,279.0
1708039500000,216.0
1708039505000,162.0
1708039510000,137.0
1708039515000,120.0
1708039520000,181.0
1708039525000,238.0
1708039530000,242.0
1708039535000,220.0
1708039540000,222.0
1708039545000,238.0
1708039550000,274.0
1708039555000,264.0
1708039560000,276.0
1708039565000,300.0
1708039570000,319.0
1708039575000,344.0
1708039580000,342.0
1708039585000,350.0
1708039590000,399.0
1708039595000,402.0
1708039600000,408.0
1708039605000,403.0
1708039610000,383.0
1708039615000,392.0
1708039620000,406.0
1708039625000,424.0
1708039630000,429.0
1708039635000,424.0
1708039640000,428.0
1708039645000,412.0
1708039650000,382.0
1708039655000,436.0
1708039660000,421.0
1708039665000,417.0
1708039670000,434.0
1708039675000,414.0
1708039680000,405.0
1708039685000,391.0
1708039690000,390.0
1708039695000,393.0
1708039700000,395.0
1708039705000,376.0
1708039710000,384.0
1708039715000,383.0
1708039720000,377.0
1708039725000,381.0
1708039730000,375.0
1708039735000,375.0
1708039740000,375.0
1708039745000,371.0
1708039750000,372.0
1708039755000,382.0
1708039760000,373.0
1708039765000,396.0
1708039770000,407.0
1708039775000,380.0
1708039780000,380.0
1708039785000,370.0
1708039790000,366.0
1708039795000,370.0
1708039800000,371.0
1708039805000,376.0
1708039810000,375.0
1708039815000,377.0
1708039820000,375.0
1708039825000,362.0
1708039830000,353.0
1708039835000,377.0
1708039840000,382.0
1708039845000,406.0
1708039850000,425.0
1708039855000,439.0
1708039860000,450.0
1708039865000,463.0
1708039870000,476.0
1708039875000,481.0
1708039880000,
1708039885000,680.0
1708039890000,
1708039895000,0.0
1708039900000,1000.0
1708039905000,
1708039910000,1000.0
1708039915000,
1708039965000,0.0
1708039970000,0.0
1708039975000,59.0
1708039980000,144.0
1708039985000,150.0
1708039990000,127.0
1708039995000,171.0
1708040000000,233.0
1708040005000,257.0
1708040010000,268.0
1708040015000,295.0
1708040020000,277.0
1708040025000,285.0
1708040030000,313.0
1708040035000,325.0
1708040040000,332.0
1708040045000,357.0
1708040050000,391.0
1708040055000,393.0
1708040060000,366.0
1708040065000,360.0
1708040070000,369.0
1708040075000,371.0
1708040080000,369.0
1708040085000,377.0
1708040090000,369.0
