,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7,8,9,10,11
Timestamp,,,,,,,,,,,,
1708040380000,1000.0,,,,,,,,,,,
1708040385000,546.0,,,,,,,,,,,
1708040390000,367.0,,,,,,,,,,,
1708040395000,234.0,,,,,,,,,,,
1708040400000,168.0,,,,,,,,,,,
1708040405000,257.0,,,,,,,,,,,
1708040410000,368.0,,,,,,,,,,,
1708040415000,459.0,,,,,,,,,,,
1708040420000,514.0,,,,,,,,,,,
1708040425000,567.0,,,,,,,,,,,
1708040430000,611.0,,,,,,,,,,,
1708040435000,646.0,,,,,,,,,,,
1708040440000,676.0,,,,,,,,,,,
1708040445000,713.0,,,,,,,,,,,
1708040450000,781.0,,,,,,,,,,,
1708040455000,862.0,,,,,,,,,,,
1708040460000,948.0,,,,,,,,,,,
1708040465000,980.0,,,,,,,,,,,
1708040470000,987.0,,,,,,,,,,,
1708040475000,987.0,,,,,,,,,,,
1708040480000,995.0,,,,,,,,,,,
1708040485000,993.0,,,,,,,,,,,
1708040490000,991.0,,,,,,,,,,,
1708040495000,990.0,,,,,,,,,,,
1708040500000,990.0,,,,,,,,,,,
1708040505000,968.0,,,,,,,,,,,
1708040510000,968.0,,,,,,,,,,,
1708040515000,972.0,,,,,,,,,,,
1708040520000,972.0,,,,,,,,,,,
1708040525000,972.0,,,,,,,,,,,
1708040530000,972.0,,,,,,,,,,,
1708040535000,972.0,,,,,,,,,,,
1708040540000,972.0,,,,,,,,,,,
1708040545000,974.0,,,,,,,,,,,
1708040550000,976.0,,,,,,,,,,,
1708040555000,975.0,,,,,,,,,,,
1708040560000,975.0,,,,,,,,,,,
1708040565000,995.0,,,,,,,,,,,
1708040570000,994.0,,,,,,,,,,,
1708040575000,994.0,,,,,,,,,,,
1708040580000,994.0,,,,,,,,,,,
1708040585000,995.0,,,,,,,,,,,
1708040590000,995.0,,,,,,,,,,,
1708040595000,995.0,,,,,,,,,,,
1708040600000,995.0,,,,,,,,,,,
1708040605000,993.0,,,,,,,,,,,
1708040610000,993.0,,,,,,,,,,,
1708040615000,995.0,,,,,,,,,,,
1708040620000,995.0,,,,,,,,,,,
1708040625000,990.0,,,,,,,,,,,
1708040630000,982.0,,,,,,,,,,,
1708040635000,982.0,,,,,,,,,,,
1708040640000,982.0,,,,,,,,,,,
1708040645000,982.0,,,,,,,,,,,
1708040650000,982.0,,,,,,,,,,,
1708040655000,982.0,,,,,,,,,,,
1708040660000,982.0,,,,,,,,,,,
1708040665000,983.0,,,,,,,,,,,
1708040670000,983.0,,,,,,,,,,,
1708040675000,983.0,,,,,,,,,,,
1708040680000,982.0,,,,,,,,,,,
1708040685000,989.0,,,,,,,,,,,
1708040690000,996.0,,,,,,,,,,,
1708040695000,996.0,,,,,,,,,,,
1708040700000,996.0,,,,,,,,,,,
1708040705000,997.0,,,,,,,,,,,
1708040710000,995.0,,,,,,,,,,,
1708040715000,995.0,,,,,,,,,,,
1708040720000,995.0,,,,,,,,,,,
1708040725000,996.0,,,,,,,,,,,
1708040730000,994.0,,,,,,,,,,,
1708040735000,994.0,,,,,,,,,,,
1708040740000,995.0,,,,,,,,,,,
1708040745000,996.0,,,,,,,,,,,
1708040750000,994.0,,,,,,,,,,,
1708040755000,994.0,,,,,,,,,,,
1708040760000,,,,,,,,,,,,
1708040810000,1000.0,,,,,,,,,,,
1708040815000,721.0,1000.0,,,,,,,,,,
1708040820000,861.0,554.0,,,,,,,,,,
1708040825000,907.0,393.0,,,,,,,,,,
1708040830000,931.0,380.0,,,,,,,,,,
1708040835000,945.0,464.0,,,,,,,,,,
1708040840000,954.0,568.0,,,,,,,,,,
1708040845000,961.0,500.0,,,,,,,,,,
1708040850000,966.0,540.0,,,,,,,,,,
1708040855000,966.0,565.0,,,,,,,,,,
1708040860000,969.0,556.0,,,,,,,,,,
1708040865000,969.0,566.0,,,,,,,,,,
1708040870000,973.0,545.0,,,,,,,,,,
1708040875000,995.0,564.0,,,,,,,,,,
1708040880000,991.0,572.0,,,,,,,,,,
1708040885000,991.0,614.0,,,,,,,,,,
1708040890000,988.0,649.0,,,,,,,,,,
1708040895000,988.0,637.0,,,,,,,,,,
1708040900000,986.0,638.0,,,,,,,,,,
1708040905000,986.0,646.0,,,,,,,,,,
1708040910000,985.0,659.0,,,,,,,,,,
1708040915000,984.0,646.0,,,,,,,,,,
1708040920000,985.0,677.0,,,,,,,,,,
1708040925000,986.0,680.0,,,,,,,,,,
1708040930000,982.0,702.0,,,,,,,,,,
1708040935000,982.0,677.0,,,,,,,,,,
1708040940000,984.0,705.0,,,,,,,,,,
1708040945000,983.0,687.0,,,,,,,,,,
1708040950000,985.0,702.0,,,,,,,,,,
1708040955000,984.0,699.0,,,,,,,,,,
1708040960000,986.0,691.0,,,,,,,,,,
1708040965000,984.0,717.0,,,,,,,,,,
1708040970000,985.0,710.0,,,,,,,,,,
1708040975000,985.0,722.0,,,,,,,,,,
1708040980000,985.0,715.0,,,,,,,,,,
1708040985000,982.0,723.0,,,,,,,,,,
1708040990000,984.0,718.0,,,,,,,,,,
1708040995000,984.0,757.0,,,,,,,,,,
1708041000000,986.0,718.0,,,,,,,,,,
1708041005000,986.0,759.0,,,,,,,,,,
1708041010000,986.0,719.0,,,,,,,,,,
1708041015000,987.0,748.0,,,,,,,,,,
1708041020000,988.0,718.0,,,,,,,,,,
1708041025000,990.0,732.0,,,,,,,,,,
1708041030000,988.0,725.0,,,,,,,,,,
1708041035000,991.0,686.0,,,,,,,,,,
1708041040000,990.0,704.0,,,,,,,,,,
1708041045000,992.0,696.0,,,,,,,,,,
1708041050000,993.0,695.0,,,,,,,,,,
1708041055000,994.0,686.0,,,,,,,,,,
1708041060000,992.0,697.0,,,,,,,,,,
1708041065000,993.0,677.0,,,,,,,,,,
1708041070000,992.0,705.0,,,,,,,,,,
1708041075000,992.0,677.0,,,,,,,,,,
1708041080000,990.0,710.0,,,,,,,,,,
1708041085000,990.0,689.0,,,,,,,,,,
1708041090000,985.0,707.0,,,,,,,,,,
1708041095000,982.0,714.0,,,,,,,,,,
1708041100000,983.0,711.0,,,,,,,,,,
1708041105000,984.0,693.0,,,,,,,,,,
1708041110000,981.0,697.0,,,,,,,,,,
1708041115000,978.0,679.0,,,,,,,,,,
1708041120000,979.0,673.0,,,,,,,,,,
1708041125000,975.0,687.0,,,,,,,,,,
1708041130000,974.0,637.0,,,,,,,,,,
1708041135000,974.0,667.0,,,,,,,,,,
1708041140000,974.0,630.0,,,,,,,,,,
1708041145000,974.0,648.0,,,,,,,,,,
1708041150000,977.0,638.0,,,,,,,,,,
1708041155000,980.0,634.0,,,,,,,,,,
1708041160000,980.0,636.0,,,,,,,,,,
1708041165000,975.0,632.0,,,,,,,,,,
1708041170000,979.0,615.0,,,,,,,,,,
1708041175000,982.0,645.0,,,,,,,,,,
1708041180000,980.0,644.0,,,,,,,,,,
1708041185000,982.0,615.0,,,,,,,,,,
1708041190000,985.0,640.0,,,,,,,,,,
1708041195000,985.0,634.0,,,,,,,,,,
1708041200000,984.0,647.0,,,,,,,,,,
1708041205000,984.0,646.0,,,,,,,,,,
1708041210000,,,,,,,,,,,,
1708041265000,1000.0,1000.0,1000.0,,,,,,,,,
1708041270000,735.0,499.0,372.0,,,,,,,,,
1708041275000,868.0,403.0,282.0,,,,,,,,,
1708041280000,912.0,413.0,282.0,,,,,,,,,
1708041285000,934.0,519.0,397.0,,,,,,,,,
1708041290000,947.0,511.0,390.0,,,,,,,,,
1708041295000,946.0,512.0,385.0,,,,,,,,,
