,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3
Timestamp,,,,
1708175155000,1000.0,,,
1708175160000,643.0,,,
1708175165000,312.0,,,
1708175170000,204.0,,,
1708175175000,339.0,,,
1708175180000,308.0,,,
1708175185000,251.0,,,
1708175190000,213.0,,,
1708175195000,286.0,,,
1708175200000,360.0,,,
1708175205000,423.0,,,
1708175210000,476.0,,,
1708175215000,517.0,,,
1708175220000,632.0,,,
1708175225000,632.0,,,
1708175230000,716.0,,,
1708175235000,738.0,,,
1708175240000,806.0,,,
1708175245000,892.0,,,
1708175250000,977.0,,,
1708175255000,993.0,,,
1708175260000,996.0,,,
1708175265000,995.0,,,
1708175270000,994.0,,,
1708175275000,996.0,,,
1708175280000,996.0,,,
1708175285000,996.0,,,
1708175290000,996.0,,,
1708175295000,996.0,,,
1708175300000,996.0,,,
1708175305000,996.0,,,
1708175310000,994.0,,,
1708175315000,994.0,,,
1708175320000,994.0,,,
1708175325000,995.0,,,
1708175330000,996.0,,,
1708175335000,996.0,,,
1708175340000,996.0,,,
1708175345000,996.0,,,
1708175350000,996.0,,,
1708175355000,996.0,,,
1708175360000,996.0,,,
1708175365000,996.0,,,
1708175370000,998.0,,,
1708175375000,995.0,,,
1708175380000,997.0,,,
1708175385000,997.0,,,
1708175390000,998.0,,,
1708175395000,998.0,,,
1708175400000,998.0,,,
1708175405000,998.0,,,
1708175410000,998.0,,,
1708175415000,997.0,,,
1708175420000,997.0,,,
1708175425000,997.0,,,
1708175430000,997.0,,,
1708175435000,998.0,,,
1708175440000,997.0,,,
1708175445000,997.0,,,
1708175450000,997.0,,,
1708175455000,997.0,,,
1708175460000,997.0,,,
1708175465000,997.0,,,
1708175470000,997.0,,,
1708175475000,997.0,,,
1708175480000,997.0,,,
1708175485000,997.0,,,
1708175490000,997.0,,,
1708175495000,1000.0,,,
1708175500000,1000.0,,,
1708175505000,1000.0,,,
1708175510000,1000.0,,,
1708175515000,1000.0,,,
1708175520000,1000.0,,,
1708175525000,1000.0,,,
1708175530000,1000.0,,,
1708175535000,,,,
1708175540000,1000.0,,,
1708175545000,1000.0,,,
1708175550000,1000.0,,,
1708175555000,1000.0,,,
1708175560000,,,,
1708175610000,1000.0,,,
1708175615000,719.0,628.0,,
1708175620000,860.0,431.0,,
1708175625000,907.0,369.0,,
1708175630000,930.0,467.0,,
1708175635000,944.0,537.0,,
1708175640000,954.0,523.0,,
1708175645000,960.0,562.0,,
1708175650000,965.0,559.0,,
1708175655000,969.0,543.0,,
1708175660000,972.0,550.0,,
1708175665000,975.0,551.0,,
1708175670000,977.0,583.0,,
1708175675000,1000.0,597.0,,
1708175680000,1000.0,619.0,,
1708175685000,1000.0,639.0,,
1708175690000,1000.0,620.0,,
1708175695000,1000.0,603.0,,
1708175700000,1000.0,607.0,,
1708175705000,1000.0,616.0,,
1708175710000,1000.0,620.0,,
1708175715000,1000.0,638.0,,
1708175720000,1000.0,641.0,,
1708175725000,1000.0,640.0,,
1708175730000,1000.0,603.0,,
1708175735000,1000.0,594.0,,
1708175740000,1000.0,623.0,,
1708175745000,1000.0,643.0,,
1708175750000,1000.0,645.0,,
1708175755000,1000.0,640.0,,
1708175760000,1000.0,638.0,,
1708175765000,1000.0,616.0,,
1708175770000,1000.0,640.0,,
1708175775000,1000.0,648.0,,
1708175780000,1000.0,642.0,,
1708175785000,1000.0,642.0,,
1708175790000,1000.0,653.0,,
1708175795000,1000.0,648.0,,
1708175800000,1000.0,647.0,,
1708175805000,1000.0,641.0,,
1708175810000,1000.0,649.0,,
