Time,Parallelism,Throughput_OUT,Throughput_IN
1708175159,1.0,0.0,0.0
1708175164,1.0,0.0,0.0
1708175169,1.0,0.0,0.0
1708175174,1.0,0.0,0.0
1708175179,1.0,27.8,611.7666666666
1708175184,1.0,45.5166666667,838.65
1708175189,1.0,45.5166666667,838.65
1708175194,1.0,45.5166666667,902.0333333333
1708175199,1.0,64.7333333333,3416.26666667
1708175204,1.0,66.7666666666,7678.7
1708175209,1.0,66.7666666666,13696.48333333
1708175214,1.0,274.2,19088.4
1708175219,1.0,1961.5833333333,21339.88333333
1708175224,1.0,1961.5833333333,28796.35
1708175229,1.0,1961.5833333333,28796.35
1708175234,1.0,1961.5833333333,31661.3
1708175239,1.0,2680.0166666666,36460.86666666
1708175244,1.0,7057.05,36233.98333333
1708175249,1.0,11084.61666666,36233.98333333
1708175254,1.0,15110.76666666,36170.6
1708175259,1.0,15378.28333333,34560.25
1708175264,1.0,15376.25,33155.36666666
1708175269,1.0,15376.25,32536.73333333
1708175274,1.0,15168.81666666,29682.41666666
1708175279,1.0,13481.43333333,32407.5
1708175284,1.0,13481.43333333,28892.13333333
1708175289,1.0,13481.43333333,33579.01666666
1708175294,1.0,13481.43333333,35073.46666666
1708175299,1.0,12735.2,36371.85
1708175304,1.0,9562.05,41176.75
1708175309,1.0,9016.43333333,41176.75
1708175314,1.0,7085.45,42646.15
1708175319,1.0,6823.98333333,43890.38333333
1708175324,1.0,6823.98333333,47116.23333333
1708175329,1.0,6823.98333333,48014.36666666
1708175334,1.0,6823.98333333,50217.53333333
1708175339,1.0,6823.98333333,46842.91666666
1708175344,1.0,6823.98333333,48670.23333333
1708175349,1.0,6823.98333333,45037.13333333
1708175354,1.0,6823.98333333,45353.81666666
1708175359,1.0,6823.98333333,45742.05
1708175364,1.0,5652.15,45169.65
1708175369,1.0,2471.6333333333,46265.51666666
1708175374,1.0,376.4666666666,47360.0
1708175379,1.0,351.2,51373.9
1708175384,1.0,351.2,52415.08333333
1708175389,1.0,351.2,50640.96666666
1708175394,1.0,351.2,52737.55
1708175399,1.0,516.85,54356.63333333
1708175404,1.0,1108.15,50636.0
1708175409,1.0,1108.15,52602.05
1708175414,1.0,1108.15,54418.61666666
1708175419,1.0,1108.15,53153.4
1708175424,1.0,1058.3833333333,56570.28333333
1708175429,1.0,756.95,56319.91666666
1708175434,1.0,901.1,54797.3
1708175439,1.0,901.1,53698.28333333
1708175444,1.0,901.1,51538.6
1708175449,1.0,901.1,53857.6
1708175454,1.0,901.1,50351.75
1708175459,1.0,735.45,52727.51666666
1708175464,1.0,144.15,52553.86666666
1708175469,1.0,144.15,48579.56666666
1708175474,1.0,144.15,43797.68333333
1708175479,1.0,144.15,45231.4
1708175484,1.0,144.15,41510.11666666
1708175489,1.0,144.15,45917.66666666
1708175494,1.0,0.0,45583.75
1708175499,1.0,0.0,45663.05
1708175504,1.0,0.0,44306.15
