Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,0.0,0.0,,,1
5,0.0,,,,1000.0,,,,0.0,0.0,,,1
10,0.0,,,,435.0,,,,0.0,0.0,,,1
15,524.7166666666,,,,453.0,,,,0.0,55.0,,,1
20,851.3333333333,,,,355.0,,,,0.0,57.0,,,1
25,851.3333333333,,,,267.0,,,,0.0,43.0,,,1
30,851.3333333333,,,,207.0,,,,0.0,34.0,,,1
35,3867.3,,,,252.0,,,,0.0,119.0,,,1
40,5044.21666667,,,,355.0,,,,51.0,193.0,,,1
45,9786.06666666,,,,434.0,,,,166.0,269.0,,,1
50,14963.85,,,,497.0,,,,258.0,329.0,,,1
55,19456.516666659998,,,,547.0,,,,320.0,379.0,,,1
60,23846.183333330002,,,,588.0,,,,371.0,428.0,,,1
65,27671.433333330002,,,,623.0,,,,418.0,473.0,,,1
70,27671.433333330002,,,,670.0,,,,501.0,557.0,,,1
75,31646.15,,,,714.0,,,,701.0,748.0,,,1
80,33758.03333333,,,,784.0,,,,782.0,824.0,,,1
85,33758.03333333,,,,867.0,,,,865.0,907.0,,,1
90,33758.03333333,,,,953.0,,,,949.0,991.0,,,1
95,30742.066666659997,,,,997.0,,,,1000.0,1000.0,,,1
100,32042.25,,,,999.0,,,,1000.0,1000.0,,,1
105,31241.23333333,,,,1000.0,,,,1000.0,1000.0,,,1
110,26063.45,,,,1000.0,,,,1000.0,1000.0,,,1
115,21570.78333333,,,,1000.0,,,,1000.0,1000.0,,,1
120,17181.11666666,,,,1000.0,,,,1000.0,1000.0,,,1
125,13355.866666659998,,,,1000.0,,,,1000.0,1000.0,,,1
130,16720.15,,,,1000.0,,,,1000.0,1000.0,,,1
135,17674.83333333,,,,1000.0,,,,1000.0,1000.0,,,1
140,21039.05,,,,1000.0,,,,1000.0,1000.0,,,1
145,26024.4,,,,1000.0,,,,1000.0,1000.0,,,1
150,32366.083333330003,,,,1000.0,,,,1000.0,1000.0,,,1
155,37697.58333333,,,,1000.0,,,,1000.0,1000.0,,,1
160,37020.01666666,,,,1000.0,,,,1000.0,1000.0,,,1
165,34351.716666659995,,,,1000.0,,,,1000.0,1000.0,,,1
170,34351.716666659995,,,,1000.0,,,,1000.0,1000.0,,,1
175,39145.83333333,,,,1000.0,,,,1000.0,1000.0,,,1
180,45842.33333333,,,,1000.0,,,,1000.0,1000.0,,,1
185,51535.3,,,,1000.0,,,,1000.0,1000.0,,,1
190,53273.63333333,,,,1000.0,,,,1000.0,1000.0,,,1
195,54362.81666666,,,,1000.0,,,,1000.0,1000.0,,,1
200,53767.91666666001,,,,1000.0,,,,1000.0,1000.0,,,1
205,52860.0,,,,1000.0,,,,1000.0,1000.0,,,1
210,48922.06666666,,,,1000.0,,,,1000.0,1000.0,,,1
215,47990.05,,,,1000.0,,,,1000.0,1000.0,,,1
