Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,0.0,0.0,,,1
5,0.0,,,,,1000.0,,,,,0.0,0.0,,,1
10,0.0,,,,,554.0,,,,,0.0,0.0,,,1
15,390.9166666666,,,,,454.0,,,,,2.0,19.0,,,1
20,830.0,,,,,387.0,,,,,1.0,46.0,,,1
25,830.0,,,,,281.0,,,,,1.0,35.0,,,1
30,830.0,,,,,218.0,,,,,0.0,28.0,,,1
35,1247.8166666666,,,,,193.0,,,,,0.0,30.0,,,1
40,4059.0,,,,,286.0,,,,,38.0,154.0,,,1
45,9726.86666666,,,,,369.0,,,,,187.0,282.0,,,1
50,15138.0,,,,,439.0,,,,,289.0,363.0,,,1
55,20221.3,,,,,495.0,,,,,370.0,420.0,,,1
60,24313.6,,,,,541.0,,,,,430.0,474.0,,,1
65,26623.4,,,,,579.0,,,,,434.0,475.0,,,1
70,26623.4,,,,,617.0,,,,,518.0,559.0,,,1
75,26232.48333333,,,,,671.0,,,,,601.0,639.0,,,1
80,27586.95,,,,,733.0,,,,,864.0,894.0,,,1
85,32555.5,,,,,819.0,,,,,943.0,972.0,,,1
90,32555.5,,,,,905.0,,,,,1000.0,1000.0,,,1
95,32137.683333330002,,,,,983.0,,,,,1000.0,1000.0,,,1
100,29326.5,,,,,996.0,,,,,1000.0,1000.0,,,1
105,23658.633333330003,,,,,1000.0,,,,,1000.0,1000.0,,,1
110,21812.86666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
115,18525.71666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
120,14433.41666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
125,13053.616666659998,,,,,1000.0,,,,,1000.0,1000.0,,,1
130,19142.516666659998,,,,,1000.0,,,,,1000.0,1000.0,,,1
135,24198.98333333,,,,,1000.0,,,,,1000.0,1000.0,,,1
140,27928.25,,,,,1000.0,,,,,1000.0,1000.0,,,1
145,29522.15,,,,,1000.0,,,,,1000.0,1000.0,,,1
150,35936.983333330005,,,,,1000.0,,,,,1000.0,1000.0,,,1
155,36459.16666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
160,36803.31666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
165,42502.36666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
170,39235.06666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
175,37438.91666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
180,37561.36666666,,,,,1000.0,,,,,1000.0,1000.0,,,1
185,37440.216666659995,,,,,1000.0,,,,,1000.0,1000.0,,,1
190,34871.58333333,,,,,1000.0,,,,,1000.0,1000.0,,,1
195,36074.0,,,,,1000.0,,,,,1000.0,1000.0,,,1
