,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1708025260000,0.0
1708025265000,0.0
1708025270000,0.0
1708025275000,58.0
1708025280000,130.0
1708025285000,104.0
1708025290000,86.0
1708025295000,74.0
1708025300000,145.0
1708025305000,229.0
1708025310000,321.0
1708025315000,367.0
1708025320000,419.0
1708025325000,586.0
1708025330000,664.0
1708025335000,725.0
1708025340000,779.0
1708025345000,863.0
1708025350000,1000.0
1708025355000,1000.0
1708025360000,1000.0
1708025365000,1000.0
1708025370000,1000.0
1708025375000,1000.0
1708025380000,1000.0
1708025385000,1000.0
1708025390000,1000.0
1708025395000,1000.0
1708025400000,1000.0
1708025405000,1000.0
1708025410000,1000.0
1708025415000,1000.0
1708025420000,1000.0
1708025425000,1000.0
1708025430000,1000.0
1708025435000,1000.0
1708025440000,1000.0
1708025445000,1000.0
1708025450000,1000.0
1708025455000,1000.0
1708025460000,1000.0
1708025465000,1000.0
1708025470000,1000.0
1708025475000,1000.0
1708025480000,1000.0
1708025485000,1000.0
1708025490000,1000.0
1708025495000,1000.0
1708025500000,1000.0
1708025505000,1000.0
1708025510000,1000.0
1708025515000,1000.0
1708025520000,1000.0
1708025525000,1000.0
1708025530000,1000.0
1708025535000,1000.0
1708025540000,1000.0
1708025545000,1000.0
1708025550000,1000.0
1708025555000,1000.0
1708025560000,1000.0
1708025565000,1000.0
1708025570000,1000.0
1708025575000,1000.0
1708025580000,1000.0
1708025585000,1000.0
1708025590000,1000.0
1708025595000,1000.0
1708025600000,1000.0
1708025605000,1000.0
1708025610000,1000.0
1708025615000,1000.0
1708025620000,1000.0
1708025625000,1000.0
1708025630000,1000.0
1708025635000,1000.0
1708025640000,1000.0
1708025645000,
1708025690000,0.0
1708025695000,0.0
1708025700000,0.0
1708025705000,434.0
1708025710000,837.0
1708025715000,792.0
1708025720000,776.0
1708025725000,750.0
1708025730000,826.0
1708025735000,799.0
1708025740000,770.0
1708025745000,748.0
1708025750000,791.0
1708025755000,785.0
1708025760000,886.0
1708025765000,883.0
1708025770000,856.0
1708025775000,890.0
1708025780000,876.0
1708025785000,909.0
1708025790000,885.0
1708025795000,1000.0
1708025800000,1000.0
1708025805000,1000.0
1708025810000,985.0
1708025815000,974.0
1708025820000,947.0
1708025825000,1000.0
1708025830000,974.0
1708025835000,947.0
1708025840000,971.0
1708025845000,1000.0
1708025850000,1000.0
1708025855000,1000.0
1708025860000,1000.0
1708025865000,1000.0
1708025870000,1000.0
1708025875000,1000.0
1708025880000,1000.0
1708025885000,982.0
1708025890000,1000.0
1708025895000,1000.0
1708025900000,1000.0
1708025905000,971.0
1708025910000,965.0
1708025915000,838.0
1708025920000,1000.0
1708025925000,997.0
1708025930000,1000.0
1708025935000,1000.0
1708025940000,1000.0
1708025945000,1000.0
1708025950000,1000.0
1708025955000,1000.0
1708025960000,987.0
1708025965000,993.0
1708025970000,999.0
1708025975000,1000.0
1708025980000,915.0
1708025985000,918.0
1708025990000,899.0
1708025995000,890.0
1708026000000,853.0
1708026005000,888.0
1708026010000,856.0
1708026015000,887.0
1708026020000,909.0
1708026025000,967.0
1708026030000,967.0
1708026035000,1000.0
1708026040000,1000.0
1708026045000,1000.0
1708026050000,1000.0
1708026055000,1000.0
1708026060000,1000.0
1708026065000,1000.0
1708026070000,1000.0
1708026075000,1000.0
1708026080000,1000.0
1708026085000,1000.0
1708026090000,1000.0
1708026095000,
1708026145000,0.0
1708026150000,139.0
1708026155000,263.0
1708026160000,210.0
1708026165000,263.0
1708026170000,265.0
1708026175000,252.0
1708026180000,357.0
1708026185000,416.0
1708026190000,457.0
1708026195000,480.0
1708026200000,515.0
1708026205000,619.0
1708026210000,705.0
1708026215000,729.0
1708026220000,764.0
1708026225000,775.0
1708026230000,797.0
1708026235000,864.0
1708026240000,856.0
1708026245000,841.0
1708026250000,840.0
1708026255000,834.0
1708026260000,836.0
1708026265000,772.0
1708026270000,886.0
1708026275000,869.0
1708026280000,874.0
1708026285000,870.0
1708026290000,887.0
1708026295000,873.0
1708026300000,861.0
1708026305000,878.0
1708026310000,865.0
1708026315000,869.0
1708026320000,875.0
1708026325000,875.0
1708026330000,875.0
1708026335000,872.0
1708026340000,880.0
1708026345000,910.0
1708026350000,925.0
1708026355000,929.0
1708026360000,918.0
1708026365000,904.0
1708026370000,909.0
1708026375000,932.0
1708026380000,1000.0
1708026385000,1000.0
1708026390000,831.0
1708026395000,848.0
1708026400000,856.0
1708026405000,863.0
1708026410000,870.0
1708026415000,866.0
1708026420000,880.0
1708026425000,880.0
1708026430000,879.0
1708026435000,876.0
1708026440000,801.0
1708026445000,949.0
1708026450000,945.0
1708026455000,925.0
1708026460000,909.0
1708026465000,884.0
1708026470000,866.0
1708026475000,858.0
1708026480000,855.0
1708026485000,859.0
1708026490000,851.0
1708026495000,849.0
1708026500000,849.0
1708026505000,843.0
1708026510000,854.0
1708026515000,857.0
1708026520000,851.0
1708026525000,839.0
1708026530000,819.0
1708026535000,841.0
1708026540000,0.0
1708026545000,596.0
1708026550000,534.0
1708026555000,
1708026605000,0.0
1708026610000,139.0
1708026615000,545.0
1708026620000,493.0
1708026625000,454.0
1708026630000,444.0
1708026635000,497.0
1708026640000,553.0
1708026645000,594.0
1708026650000,596.0
1708026655000,625.0
1708026660000,642.0
1708026665000,663.0
1708026670000,718.0
1708026675000,688.0
1708026680000,785.0
1708026685000,806.0
1708026690000,800.0
1708026695000,762.0
1708026700000,741.0
1708026705000,730.0
1708026710000,782.0
1708026715000,815.0
1708026720000,803.0
1708026725000,795.0
1708026730000,811.0
1708026735000,918.0
1708026740000,849.0
1708026745000,848.0
1708026750000,863.0
1708026755000,912.0
1708026760000,939.0
1708026765000,966.0
1708026770000,966.0
1708026775000,926.0
1708026780000,927.0
1708026785000,921.0
1708026790000,921.0
1708026795000,913.0
1708026800000,910.0
1708026805000,901.0
1708026810000,927.0
1708026815000,918.0
1708026820000,936.0
1708026825000,916.0
1708026830000,864.0
1708026835000,849.0
1708026840000,849.0
1708026845000,857.0
1708026850000,860.0
1708026855000,819.0
1708026860000,816.0
1708026865000,831.0
1708026870000,827.0
1708026875000,833.0
1708026880000,809.0
1708026885000,784.0
1708026890000,801.0
1708026895000,811.0
1708026900000,817.0
1708026905000,820.0
1708026910000,823.0
1708026915000,834.0
1708026920000,835.0
1708026925000,810.0
1708026930000,795.0
1708026935000,787.0
1708026940000,770.0
1708026945000,793.0
1708026950000,803.0
1708026955000,793.0
1708026960000,796.0
1708026965000,793.0
1708026970000,801.0
1708026975000,811.0
1708026980000,817.0
1708026985000,840.0
1708026990000,857.0
1708026995000,863.0
1708027000000,
1708027050000,0.0
1708027055000,0.0
1708027060000,59.0
1708027065000,505.0
1708027070000,592.0
1708027075000,498.0
1708027080000,435.0
1708027085000,469.0
1708027090000,433.0
1708027095000,396.0
1708027100000,399.0
1708027105000,412.0
1708027110000,390.0
1708027115000,396.0
1708027120000,429.0
1708027125000,399.0
1708027130000,366.0
1708027135000,391.0
1708027140000,408.0
1708027145000,407.0
1708027150000,499.0
1708027155000,516.0
1708027160000,514.0
1708027165000,514.0
1708027170000,513.0
1708027175000,509.0
1708027180000,521.0
1708027185000,532.0
1708027190000,544.0
1708027195000,532.0
1708027200000,553.0
1708027205000,555.0
1708027210000,528.0
1708027215000,689.0
1708027220000,698.0
1708027225000,683.0
1708027230000,687.0
1708027235000,675.0
1708027240000,665.0
1708027245000,641.0
1708027250000,642.0
1708027255000,668.0
1708027260000,665.0
1708027265000,717.0
1708027270000,766.0
1708027275000,617.0
1708027280000,609.0
1708027285000,601.0
1708027290000,592.0
1708027295000,611.0
1708027300000,624.0
1708027305000,651.0
1708027310000,648.0
1708027315000,622.0
1708027320000,635.0
1708027325000,578.0
1708027330000,529.0
1708027335000,690.0
1708027340000,687.0
1708027345000,680.0
1708027350000,691.0
1708027355000,673.0
1708027360000,665.0
1708027365000,634.0
1708027370000,640.0
1708027375000,650.0
1708027380000,663.0
1708027385000,696.0
1708027390000,810.0
1708027395000,634.0
1708027400000,632.0
1708027405000,655.0
1708027410000,662.0
1708027415000,689.0
1708027420000,673.0
1708027425000,674.0
1708027430000,665.0
1708027435000,667.0
1708027440000,678.0
1708027445000,
1708027495000,0.0
1708027500000,0.0
1708027505000,80.0
1708027510000,174.0
1708027515000,277.0
1708027520000,293.0
1708027525000,315.0
1708027530000,404.0
1708027535000,437.0
1708027540000,447.0
1708027545000,475.0
1708027550000,504.0
1708027555000,511.0
1708027560000,510.0
1708027565000,563.0
1708027570000,579.0
1708027575000,582.0
1708027580000,606.0
1708027585000,610.0
1708027590000,588.0
1708027595000,597.0
1708027600000,605.0
1708027605000,607.0
1708027610000,588.0
1708027615000,592.0
1708027620000,618.0
1708027625000,609.0
1708027630000,615.0
1708027635000,616.0
1708027640000,617.0
1708027645000,644.0
1708027650000,638.0
1708027655000,642.0
1708027660000,631.0
1708027665000,633.0
1708027670000,665.0
1708027675000,644.0
1708027680000,618.0
1708027685000,603.0
1708027690000,613.0
1708027695000,630.0
1708027700000,619.0
1708027705000,619.0
1708027710000,624.0
1708027715000,624.0
1708027720000,619.0
1708027725000,618.0
1708027730000,584.0
1708027735000,606.0
1708027740000,619.0
1708027745000,628.0
1708027750000,642.0
1708027755000,609.0
1708027760000,611.0
1708027765000,588.0
1708027770000,586.0
1708027775000,567.0
1708027780000,601.0
1708027785000,573.0
1708027790000,579.0
1708027795000,571.0
1708027800000,573.0
1708027805000,566.0
1708027810000,563.0
1708027815000,579.0
1708027820000,593.0
1708027825000,594.0
1708027830000,610.0
1708027835000,606.0
1708027840000,589.0
1708027845000,623.0
1708027850000,622.0
1708027855000,627.0
1708027860000,623.0
1708027865000,638.0
1708027870000,624.0
1708027875000,641.0
1708027880000,638.0
1708027885000,651.0
1708027890000,663.0
1708027895000,
1708027940000,0.0
1708027945000,0.0
1708027950000,64.0
1708027955000,153.0
1708027960000,206.0
1708027965000,189.0
1708027970000,191.0
1708027975000,165.0
1708027980000,152.0
1708027985000,194.0
1708027990000,173.0
1708027995000,196.0
1708028000000,216.0
1708028005000,229.0
1708028010000,262.0
1708028015000,279.0
1708028020000,298.0
1708028025000,346.0
1708028030000,456.0
1708028035000,473.0
1708028040000,489.0
1708028045000,476.0
1708028050000,504.0
1708028055000,500.0
1708028060000,485.0
1708028065000,497.0
1708028070000,481.0
1708028075000,476.0
1708028080000,475.0
1708028085000,480.0
1708028090000,490.0
1708028095000,486.0
1708028100000,481.0
1708028105000,495.0
1708028110000,503.0
1708028115000,500.0
1708028120000,507.0
1708028125000,497.0
1708028130000,496.0
1708028135000,500.0
1708028140000,486.0
1708028145000,487.0
1708028150000,485.0
1708028155000,483.0
1708028160000,476.0
1708028165000,471.0
1708028170000,460.0
1708028175000,475.0
1708028180000,472.0
1708028185000,464.0
1708028190000,475.0
1708028195000,461.0
1708028200000,466.0
1708028205000,468.0
1708028210000,437.0
1708028215000,430.0
1708028220000,432.0
1708028225000,437.0
1708028230000,435.0
1708028235000,429.0
1708028240000,439.0
1708028245000,437.0
1708028250000,429.0
1708028255000,450.0
1708028260000,439.0
1708028265000,437.0
1708028270000,418.0
1708028275000,564.0
1708028280000,564.0
1708028285000,575.0
1708028290000,573.0
1708028295000,567.0
1708028300000,572.0
1708028305000,579.0
1708028310000,586.0
1708028315000,575.0
1708028320000,618.0
1708028325000,682.0
1708028330000,621.0
1708028335000,482.0
1708028340000,507.0
1708028345000,499.0
1708028350000,497.0
1708028355000,490.0
1708028360000,492.0
1708028365000,484.0
1708028370000,484.0
1708028375000,484.0
1708028380000,481.0
1708028385000,464.0
1708028390000,453.0
1708028395000,456.0
1708028400000,438.0
1708028405000,432.0
1708028410000,438.0
1708028415000,456.0
1708028420000,453.0
1708028425000,455.0
1708028430000,471.0
1708028435000,496.0
1708028440000,499.0
1708028445000,500.0
1708028450000,499.0
1708028455000,498.0
1708028460000,
1708028515000,0.0
1708028520000,0.0
1708028525000,56.0
1708028530000,487.0
1708028535000,576.0
1708028540000,514.0
1708028545000,472.0
1708028550000,465.0
1708028555000,461.0
1708028560000,473.0
1708028565000,494.0
1708028570000,466.0
1708028575000,472.0
1708028580000,478.0
1708028585000,532.0
1708028590000,486.0
1708028595000,471.0
1708028600000,478.0
1708028605000,499.0
1708028610000,493.0
1708028615000,486.0
1708028620000,492.0
1708028625000,471.0
1708028630000,481.0
1708028635000,472.0
1708028640000,462.0
1708028645000,441.0
1708028650000,446.0
1708028655000,440.0
1708028660000,456.0
1708028665000,452.0
1708028670000,456.0
1708028675000,467.0
1708028680000,456.0
1708028685000,453.0
1708028690000,465.0
1708028695000,452.0
1708028700000,461.0
1708028705000,466.0
1708028710000,454.0
1708028715000,457.0
1708028720000,435.0
1708028725000,429.0
1708028730000,445.0
1708028735000,438.0
1708028740000,433.0
1708028745000,446.0
1708028750000,444.0
1708028755000,456.0
1708028760000,461.0
1708028765000,459.0
1708028770000,472.0
1708028775000,465.0
1708028780000,463.0
1708028785000,480.0
1708028790000,461.0
1708028795000,469.0
1708028800000,461.0
1708028805000,441.0
1708028810000,441.0
1708028815000,439.0
1708028820000,428.0
1708028825000,439.0
1708028830000,442.0
1708028835000,443.0
1708028840000,451.0
1708028845000,456.0
