,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1708025260000,0.0,,,,,,,
1708025265000,0.0,,,,,,,
1708025270000,0.0,,,,,,,
1708025275000,209.3833333333,,,,,,,
1708025280000,789.9666666666,,,,,,,
1708025285000,789.9666666666,,,,,,,
1708025290000,789.9666666666,,,,,,,
1708025295000,789.9666666666,,,,,,,
1708025300000,2457.4,,,,,,,
1708025305000,6301.433333329999,,,,,,,
1708025310000,10344.83333333,,,,,,,
1708025315000,16464.6,,,,,,,
1708025320000,16464.6,,,,,,,
1708025325000,20723.233333329998,,,,,,,
1708025330000,22311.2,,,,,,,
1708025335000,22925.1,,,,,,,
1708025340000,22344.516666659998,,,,,,,
1708025345000,22344.516666659998,,,,,,,
1708025350000,28156.0,,,,,,,
1708025355000,29092.28333333,,,,,,,
1708025360000,27424.85,,,,,,,
1708025365000,25367.46666666,,,,,,,
1708025370000,23593.15,,,,,,,
1708025375000,19399.816666659997,,,,,,,
1708025380000,23260.98333333,,,,,,,
1708025385000,24147.2,,,,,,,
1708025390000,24006.016666659998,,,,,,,
1708025395000,26918.8,,,,,,,
1708025400000,29935.23333333,,,,,,,
1708025405000,29935.23333333,,,,,,,
1708025410000,27952.7,,,,,,,
1708025415000,29849.183333330002,,,,,,,
1708025420000,29849.183333330002,,,,,,,
1708025425000,30366.933333330002,,,,,,,
1708025430000,29889.833333330003,,,,,,,
1708025435000,27963.4,,,,,,,
1708025440000,25185.23333333,,,,,,,
1708025445000,23479.933333330002,,,,,,,
1708025450000,23194.85,,,,,,,
1708025455000,24837.316666659997,,,,,,,
1708025460000,24897.28333333,,,,,,,
1708025465000,28185.3,,,,,,,
1708025470000,26249.316666659997,,,,,,,
