Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,1000.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,241.0,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,139.0,,,,,,0.0,0.0,22464.0,96.0,1
15,251.1666666666,,,,,,239.0,,,,,,64.0,6.0,160947.0,1228.0,1
20,707.7833333333,,,,,,292.0,,,,,,86.0,47.0,1342566.0,1379.0,1
25,1727.5666666666,,,,,,342.0,,,,,,195.0,38.0,1642334.0,685.0,1
30,2849.6,,,,,,440.0,,,,,,349.0,185.0,2518441.0,1023.0,1
35,5053.08333333,,,,,,516.0,,,,,,434.0,297.0,5120556.0,1468.0,1
40,6471.85,,,,,,576.0,,,,,,496.0,383.0,7410954.0,2524.0,1
45,6797.95,,,,,,623.0,,,,,,550.0,451.0,9608950.0,4922.0,1
50,8550.85,,,,,,661.0,,,,,,589.0,502.0,2329490.0,773.0,1
55,9647.533333329999,,,,,,692.0,,,,,,659.0,589.0,6149629.0,1152.0,1
60,11107.033333329999,,,,,,718.0,,,,,,683.0,621.0,6149629.0,1152.0,1
65,12344.766666659998,,,,,,781.0,,,,,,821.0,756.0,4067287.0,856.0,1
70,13290.366666659998,,,,,,861.0,,,,,,901.0,835.0,5411360.0,949.0,1
75,14965.55,,,,,,908.0,,,,,,1000.0,974.0,9459400.0,1544.0,1
80,14943.75,,,,,,954.0,,,,,,1000.0,1000.0,9459400.0,1544.0,1
85,15832.616666659998,,,,,,992.0,,,,,,1000.0,1000.0,8125971.0,1321.0,1
90,15125.55,,,,,,998.0,,,,,,1000.0,1000.0,11055410.0,5581.0,1
95,14062.55,,,,,,1000.0,,,,,,1000.0,1000.0,12943667.0,1398.0,1
100,14631.883333329999,,,,,,1000.0,,,,,,1000.0,1000.0,7095359.0,1160.0,1
105,14772.98333333,,,,,,1000.0,,,,,,1000.0,1000.0,10195278.0,4435.0,1
110,14723.1,,,,,,1000.0,,,,,,1000.0,1000.0,11831350.0,1440.0,1
115,15370.383333329999,,,,,,1000.0,,,,,,1000.0,1000.0,8413009.0,1230.0,1
