Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 8)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,899.0,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,,459.0,,,,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,,,,315.0,,,,,,,,,0.0,0.0,22464.0,131.0,1
15,0.0,,,,,,,,,234.0,,,,,,,,,0.0,0.0,22464.0,97.0,1
20,59.1,,,,,,,,,248.0,,,,,,,,,0.0,0.0,22464.0,107.0,1
25,563.4833333333,,,,,,,,,364.0,,,,,,,,,116.0,91.0,22464.0,145.0,1
30,999.0166666666,,,,,,,,,398.0,,,,,,,,,158.0,126.0,656224.0,3908.0,1
35,2545.8833333333,,,,,,,,,471.0,,,,,,,,,256.0,229.0,1657279.0,4692.0,1
40,4161.25,,,,,,,,,529.0,,,,,,,,,331.0,307.0,1657279.0,4692.0,1
45,4622.73333333,,,,,,,,,576.0,,,,,,,,,398.0,376.0,5302843.0,4925.0,1
50,6993.11666666,,,,,,,,,614.0,,,,,,,,,455.0,426.0,5302843.0,4925.0,1
55,7588.53333333,,,,,,,,,647.0,,,,,,,,,539.0,508.0,5356627.0,7521.0,1
60,7588.53333333,,,,,,,,,647.0,,,,,,,,,539.0,508.0,3919232.0,8029.0,1
65,10160.81666666,,,,,,,,,655.0,,,,,,,,,615.0,581.0,3919232.0,8029.0,1
