,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1706107140000,1000.0,,,,,,,
1706107145000,493.0,,,,,,,
1706107150000,747.0,,,,,,,
1706107155000,831.0,,,,,,,
1706107160000,874.0,,,,,,,
1706107165000,899.0,,,,,,,
1706107170000,916.0,,,,,,,
1706107175000,928.0,,,,,,,
1706107180000,937.0,,,,,,,
1706107185000,944.0,,,,,,,
1706107190000,950.0,,,,,,,
1706107195000,954.0,,,,,,,
1706107200000,958.0,,,,,,,
1706107205000,1000.0,,,,,,,
1706107210000,1000.0,,,,,,,
1706107215000,1000.0,,,,,,,
1706107220000,1000.0,,,,,,,
1706107225000,1000.0,,,,,,,
1706107230000,1000.0,,,,,,,
1706107235000,1000.0,,,,,,,
1706107240000,1000.0,,,,,,,
1706107245000,1000.0,,,,,,,
1706107250000,1000.0,,,,,,,
1706107255000,1000.0,,,,,,,
1706107260000,1000.0,,,,,,,
1706107265000,1000.0,,,,,,,
1706107270000,1000.0,,,,,,,
1706107275000,1000.0,,,,,,,
1706107280000,1000.0,,,,,,,
1706107285000,1000.0,,,,,,,
1706107290000,1000.0,,,,,,,
1706107295000,1000.0,,,,,,,
1706107300000,1000.0,,,,,,,
1706107305000,1000.0,,,,,,,
1706107310000,1000.0,,,,,,,
1706107315000,1000.0,,,,,,,
1706107320000,1000.0,,,,,,,
1706107325000,1000.0,,,,,,,
1706107330000,1000.0,,,,,,,
1706107335000,1000.0,,,,,,,
1706107340000,1000.0,,,,,,,
1706107345000,1000.0,,,,,,,
1706107350000,1000.0,,,,,,,
1706107355000,1000.0,,,,,,,
1706107360000,1000.0,,,,,,,
1706107365000,1000.0,,,,,,,
1706107370000,1000.0,,,,,,,
