Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,-1.0,-1.0,1
10,2.666666666666,,,,,,,,493.0,,,,,,,,0.0,0.0,22464.0,1707.0,1
15,621.9833333333,,,,,,,,747.0,,,,,,,,369.0,0.0,2301427.0,1819.0,1
20,1943.1,,,,,,,,831.0,,,,,,,,466.0,18.0,5068522.0,1513.0,1
25,3795.3,,,,,,,,874.0,,,,,,,,626.0,270.0,5188253.0,3010.0,1
30,5239.31666667,,,,,,,,899.0,,,,,,,,747.0,466.0,3539740.0,3490.0,1
35,7232.48333333,,,,,,,,916.0,,,,,,,,854.0,626.0,5891035.0,1561.0,1
40,8166.3,,,,,,,,928.0,,,,,,,,922.0,722.0,10599400.0,1707.0,1
45,8731.45,,,,,,,,937.0,,,,,,,,930.0,749.0,4525901.0,2727.0,1
50,10555.8,,,,,,,,944.0,,,,,,,,1000.0,851.0,7424907.0,1193.0,1
55,10555.8,,,,,,,,950.0,,,,,,,,1000.0,866.0,10741253.0,1483.0,1
60,12745.0,,,,,,,,954.0,,,,,,,,1000.0,979.0,10741253.0,1483.0,1
65,13221.16666666,,,,,,,,958.0,,,,,,,,1000.0,1000.0,5552021.0,1000.0,1
70,14730.75,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7961382.0,4907.0,1
75,15824.966666659999,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9843846.0,1501.0,1
80,14936.95,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,6572672.0,1143.0,1
85,14429.7,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,8948455.0,3008.0,1
90,14810.18333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,8948455.0,3008.0,1
95,14536.85,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,3047978.0,1108.0,1
100,13851.116666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7059559.0,1163.0,1
105,15410.55,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7059559.0,1163.0,1
110,14161.116666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,3094941.0,844.0,1
115,15624.3,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7604655.0,1318.0,1
120,15104.98333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7604655.0,1318.0,1
125,15878.08333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,4020955.0,1182.0,1
130,15051.95,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,6366799.0,2844.0,1
135,14756.56666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,11324008.0,1475.0,1
140,15975.283333329999,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,11324008.0,1475.0,1
145,16110.75,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7464345.0,1010.0,1
150,14868.43333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9672151.0,2199.0,1
155,14551.31666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,3477118.0,773.0,1
160,15759.15,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,5895557.0,1933.0,1
165,15265.75,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,5895557.0,1933.0,1
170,16293.05,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,10578306.0,1533.0,1
175,15133.91666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,7809020.0,990.0,1
180,14948.81666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9852542.0,1809.0,1
185,15507.033333329999,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9189223.0,3817.0,1
190,16323.533333329999,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,3772985.0,787.0,1
195,15546.9,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,5948216.0,3608.0,1
200,15025.35,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9043409.0,5785.0,1
205,15097.516666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,8228023.0,5573.0,1
210,16296.4,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,5150722.0,826.0,1
215,16384.58333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,6874833.0,2316.0,1
220,15607.616666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,3581913.0,927.0,1
225,15004.68333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,5768922.0,2111.0,1
230,15281.133333329999,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9056788.0,3997.0,1
235,16417.08333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,4940033.0,2108.0,1
240,16729.733333329998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,4940033.0,2108.0,1
245,16175.66666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,9837292.0,1210.0,1
250,15210.8,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,12148330.0,3011.0,1
255,,,,,,,,,,,,,,,,,,,,,0
300,,0.0,,,,,,,,,,,,,,,,,-1.0,-1.0,1
305,0.0,0.0,,,,,,,1000.0,1000.0,,,,,,,0.0,0.0,-1.0,-1.0,2
310,0.0,0.0,,,,,,,783.0,500.0,,,,,,,0.0,0.0,-1.0,-1.0,2
315,161.4333333333,311.1666666666,,,,,,,852.0,596.0,,,,,,,260.0,241.0,1217030.0,4962.0,2
320,851.8166666666,1054.6166666666,,,,,,,901.0,543.0,,,,,,,332.0,321.0,5848820.0,2256.0,2
325,2092.7,2391.7833333332997,,,,,,,926.0,510.0,,,,,,,437.0,405.0,7845981.0,1654.0,2
330,3241.4,3245.85,,,,,,,941.0,548.0,,,,,,,520.0,495.0,11854782.0,2154.0,2
335,4120.01666667,4459.36666667,,,,,,,951.0,577.0,,,,,,,626.0,590.0,15893660.0,1865.0,2
340,5434.65,5736.66666667,,,,,,,958.0,618.0,,,,,,,715.0,677.0,19498389.0,1753.0,2
345,6562.41666667,6596.516666670001,,,,,,,963.0,632.0,,,,,,,726.0,699.0,13231021.0,1530.0,2
350,7389.55,7772.96666666,,,,,,,967.0,646.0,,,,,,,761.0,736.0,18758467.0,1347.0,2
355,9062.36666666,9107.6,,,,,,,971.0,656.0,,,,,,,815.0,767.0,18758467.0,1347.0,2
360,10044.18333333,10096.86666666,,,,,,,973.0,659.0,,,,,,,832.0,776.0,8038202.0,1234.0,2
365,10794.15,11156.25,,,,,,,976.0,665.0,,,,,,,849.0,795.0,12127876.0,3455.0,2
370,12180.766666659998,12522.83333333,,,,,,,994.0,673.0,,,,,,,930.0,873.0,16386146.0,3653.0,2
375,13173.43333333,13089.766666659998,,,,,,,1000.0,680.0,,,,,,,958.0,899.0,8256082.0,2721.0,2
380,13379.58333333,13478.81666666,,,,,,,1000.0,703.0,,,,,,,993.0,932.0,12085683.0,2858.0,2
385,13331.33333333,13382.6,,,,,,,1000.0,715.0,,,,,,,1000.0,955.0,16023605.0,2878.0,2
390,13486.633333329999,13565.06666666,,,,,,,1000.0,722.0,,,,,,,1000.0,949.0,8530622.0,2454.0,2
395,13508.5,13256.716666659999,,,,,,,1000.0,731.0,,,,,,,987.0,934.0,12483645.0,2252.0,2
400,13353.866666659998,13386.45,,,,,,,1000.0,715.0,,,,,,,984.0,931.0,16102882.0,1855.0,2
405,13535.55,13589.633333329999,,,,,,,1000.0,715.0,,,,,,,991.0,927.0,8887479.0,1115.0,2
410,13627.133333329999,13591.45,,,,,,,1000.0,713.0,,,,,,,984.0,923.0,14390818.0,1155.0,2
415,13398.16666666,13614.25,,,,,,,1000.0,706.0,,,,,,,979.0,939.0,19144214.0,1466.0,2
420,13374.783333329999,13441.516666659998,,,,,,,1000.0,713.0,,,,,,,974.0,937.0,23633669.0,1854.0,2
425,13603.6,13361.8,,,,,,,1000.0,706.0,,,,,,,966.0,933.0,13064128.0,1299.0,2
430,13088.633333329999,12885.08333333,,,,,,,1000.0,719.0,,,,,,,974.0,940.0,17887144.0,1553.0,2
435,12924.65,13171.56666666,,,,,,,1000.0,708.0,,,,,,,1000.0,972.0,21024459.0,1653.0,2
440,13382.366666659998,13317.866666659998,,,,,,,1000.0,704.0,,,,,,,1000.0,973.0,8953425.0,1006.0,2
445,13094.98333333,12885.68333333,,,,,,,1000.0,729.0,,,,,,,1000.0,969.0,14602438.0,1161.0,2
450,13054.4,13559.3,,,,,,,1000.0,714.0,,,,,,,1000.0,998.0,19572992.0,3255.0,2
455,13326.4,13397.5,,,,,,,1000.0,706.0,,,,,,,1000.0,993.0,8541499.0,2861.0,2
460,13061.91666666,13120.2,,,,,,,1000.0,712.0,,,,,,,1000.0,974.0,12430052.0,2869.0,2
465,13134.05,13522.5,,,,,,,1000.0,716.0,,,,,,,1000.0,979.0,16342290.0,2607.0,2
470,13325.15,13137.91666666,,,,,,,1000.0,726.0,,,,,,,1000.0,967.0,9048508.0,2153.0,2
475,12791.533333329999,12942.91666666,,,,,,,1000.0,732.0,,,,,,,1000.0,946.0,12851710.0,1852.0,2
480,13237.55,13590.66666666,,,,,,,1000.0,718.0,,,,,,,1000.0,949.0,16188989.0,1254.0,2
